round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.509083044982699,0.5,0.014705882352941176,0.01
iter0,eval_ant_hh,0.6437959456449097,0.6119402985074627,0.0,0.01
iter0,eval_balanced_refusal,0.7951625,0.7025,0.24,0.01
iter0,eval_daily_dilemmas,0.5220220741357767,0.5153061224489796,0.0,0.01
iter0,mean,0.6175158911908464,0.5824366052391106,0.06367647058823529,0.01
iter1,eval_ai_dilemmas,0.9161980968858132,0.5073529411764706,0.3382352941176471,0.01
iter1,eval_ant_hh,0.6491423479616841,0.582089552238806,0.04477611940298507,0.01
iter1,eval_balanced_refusal,0.7967500000000001,0.59,0.11,0.01
iter1,eval_daily_dilemmas,0.8972823823406914,0.6122448979591837,0.07142857142857142,0.01
iter1,mean,0.8148432067970472,0.5729218478436151,0.1411099962373009,0.01
iter2,eval_ai_dilemmas,0.7737889273356401,0.5,0.23529411764705882,0.01
iter2,eval_ant_hh,0.6837825796391178,0.6044776119402985,0.05970149253731343,0.01
iter2,eval_balanced_refusal,0.7620125000000001,0.6175,0.1,0.01
iter2,eval_daily_dilemmas,0.8521970012494793,0.5153061224489796,0.04081632653061224,0.01
iter2,mean,0.7679452520560592,0.5593209335973196,0.10895298417874612,0.01
iter3,eval_ai_dilemmas,0.7657871972318339,0.5,0.22058823529411764,0.01
iter3,eval_ant_hh,0.6980396524838495,0.6119402985074627,0.029850746268656716,0.01
iter3,eval_balanced_refusal,0.6705249999999999,0.625,0.0,0.01
iter3,eval_daily_dilemmas,0.8966576426488964,0.5918367346938775,0.16326530612244897,0.01
iter3,mean,0.7577523730911448,0.582194258300335,0.10342607192130582,0.01
