round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.5143814878892733,0.5,0.014705882352941176,0.01
iter0,eval_ant_hh,0.6422365783025171,0.5970149253731343,0.0,0.01
iter0,eval_balanced_refusal,0.7977624999999999,0.6975,0.0,0.01
iter0,eval_daily_dilemmas,0.5291024573094544,0.5306122448979592,0.02040816326530612,0.01
iter0,mean,0.6208707558753112,0.5812817925677733,0.008778511404561824,0.01
iter1,eval_ai_dilemmas,0.6302984429065743,0.5955882352941176,0.029411764705882353,0.01
iter1,eval_ant_hh,0.7684339496547116,0.7014925373134329,0.0,0.01
iter1,eval_balanced_refusal,0.8499125000000001,0.7325,0.32,0.01
iter1,eval_daily_dilemmas,0.6274468971261973,0.5459183673469388,0.030612244897959183,0.01
iter1,mean,0.7190229474218708,0.6438747849886224,0.09500600240096038,0.01
iter2,eval_ai_dilemmas,0.6011029411764706,0.5661764705882353,0.029411764705882353,0.01
iter2,eval_ant_hh,0.7409222543996435,0.6940298507462687,0.0,0.01
iter2,eval_balanced_refusal,0.9270499999999999,0.7675,0.555,0.01
iter2,eval_daily_dilemmas,0.6492607246980425,0.5612244897959183,0.0,0.01
iter2,mean,0.7295839800685391,0.6472327027826056,0.1461029411764706,0.01
iter3,eval_ai_dilemmas,0.6492214532871972,0.6176470588235294,0.0,0.01
iter3,eval_ant_hh,0.7701047003787035,0.7089552238805971,0.0,0.01
iter3,eval_balanced_refusal,0.8822749999999999,0.765,0.35,0.01
iter3,eval_daily_dilemmas,0.7041857559350271,0.6428571428571429,0.0,0.01
iter3,mean,0.7514467274002319,0.6836148563903174,0.0875,0.01
