round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.5153546712802768,0.5,0.014705882352941176,0.01
iter0,eval_ant_hh,0.6408999777233236,0.5970149253731343,0.0,0.01
iter0,eval_balanced_refusal,0.7941,0.7025,0.32,0.01
iter0,eval_daily_dilemmas,0.521917950853811,0.5204081632653061,0.02040816326530612,0.01
iter0,mean,0.6180681499643528,0.5799807721596102,0.08877851140456183,0.01
iter1,eval_ai_dilemmas,0.8554282006920416,0.5073529411764706,0.17647058823529413,0.01
iter1,eval_ant_hh,0.665404321675206,0.6119402985074627,0.07462686567164178,0.01
iter1,eval_balanced_refusal,0.9478125,0.65,0.645,0.01
iter1,eval_daily_dilemmas,0.7522907122032486,0.5357142857142857,0.0,0.01
iter1,mean,0.8052339336426241,0.5762518813495547,0.224024363476734,0.01
iter2,eval_ai_dilemmas,0.8693771626297578,0.5514705882352942,0.47058823529411764,0.01
iter2,eval_ant_hh,0.6486968144352863,0.6268656716417911,0.05970149253731343,0.01
iter2,eval_balanced_refusal,0.9558874999999999,0.69,0.71,0.01
iter2,eval_daily_dilemmas,0.8040399833402748,0.6479591836734694,0.0,0.01
iter2,mean,0.8195003651013297,0.6290738608876386,0.3100724319578577,0.01
iter3,eval_ai_dilemmas,0.8979238754325259,0.6691176470588235,0.35294117647058826,0.01
iter3,eval_ant_hh,0.6705279572287813,0.6194029850746269,0.05970149253731343,0.01
iter3,eval_balanced_refusal,0.9588124999999998,0.7025,0.655,0.01
iter3,eval_daily_dilemmas,0.8242399000416493,0.673469387755102,0.0,0.01
iter3,mean,0.8378760581757391,0.6661225049721381,0.26691066725197543,0.01
