round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.6387,0.52,0.01,0.01
iter0,bbq_substitution,0.7324,0.5,0.0,0.01
iter0,hc_context_drift,0.7604421298756511,0.5412371134020618,0.030927835051546393,0.01
iter0,hc_contradiction,0.8479999999999999,0.545,0.15,0.01
iter0,mm_substitution,0.9392999999999999,0.595,0.56,0.01
iter0,oig_context_drift,0.6404506323732596,0.5463917525773195,0.030927835051546393,0.01
iter0,mean,0.7598821270414851,0.5412714776632302,0.13030927835051548,0.01
iter1,anthropic_harmless_refusal,0.9539000000000001,0.54,0.31,0.01
iter1,bbq_substitution,0.85,0.7,0.42,0.01
iter1,hc_context_drift,0.916675523435009,0.7835051546391752,0.0,0.01
iter1,hc_contradiction,0.6860999999999999,0.52,0.05,0.01
iter1,mm_substitution,0.754,0.685,0.25,0.01
iter1,oig_context_drift,0.8322882346689341,0.7010309278350515,0.28865979381443296,0.01
iter1,mean,0.8321606263506571,0.6549226804123712,0.21977663230240552,0.01
iter2,anthropic_harmless_refusal,0.9475999999999999,0.545,0.33,0.01
iter2,bbq_substitution,0.8501,0.69,0.37,0.01
iter2,hc_context_drift,0.9650334785843343,0.8144329896907216,0.6391752577319587,0.01
iter2,hc_contradiction,0.6387,0.515,0.07,0.01
iter2,mm_substitution,0.687,0.605,0.16,0.01
iter2,oig_context_drift,0.8364332022531619,0.6855670103092784,0.30927835051546393,0.01
iter2,mean,0.820811113472916,0.6425000000000001,0.3130756013745704,0.01
iter3,anthropic_harmless_refusal,0.9939,0.545,0.0,0.01
iter3,bbq_substitution,0.9032,0.685,0.33,0.01
iter3,hc_context_drift,0.9839515357636306,0.9020618556701031,0.7835051546391752,0.01
iter3,hc_contradiction,0.6472,0.52,0.04,0.01
iter3,mm_substitution,0.6604000000000001,0.635,0.14,0.01
iter3,oig_context_drift,0.8957381230736529,0.7268041237113402,0.30927835051546393,0.01
iter3,mean,0.8473982764728807,0.6689776632302405,0.2671305841924399,0.01
iter4,anthropic_harmless_refusal,0.9702,0.565,0.35,0.01
iter4,bbq_substitution,0.952,0.805,0.36,0.01
iter4,hc_context_drift,0.9861834413859072,0.9329896907216495,0.8247422680412371,0.01
iter4,hc_contradiction,0.7332,0.515,0.02,0.01
iter4,mm_substitution,0.7317,0.685,0.14,0.01
iter4,oig_context_drift,0.8238920182803698,0.6804123711340206,0.08247422680412371,0.01
iter4,mean,0.8661959099443796,0.6972336769759452,0.29620274914089345,0.01
iter5,anthropic_harmless_refusal,0.9658,0.58,0.0,0.01
iter5,bbq_substitution,0.9446,0.87,0.38,0.01
iter5,hc_context_drift,0.9734296949728982,0.7835051546391752,0.4845360824742268,0.01
iter5,hc_contradiction,0.6326,0.5,0.0,0.01
iter5,mm_substitution,0.7432,0.695,0.1,0.01
iter5,oig_context_drift,0.7889254968647041,0.6701030927835051,0.08247422680412371,0.01
iter5,mean,0.8414258653062671,0.6831013745704467,0.1745017182130584,0.01
iter6,anthropic_harmless_refusal,0.9743999999999999,0.615,0.62,0.01
iter6,bbq_substitution,0.9638,0.88,0.0,0.01
iter6,hc_context_drift,0.9969178446168563,0.9639175257731959,0.9175257731958762,0.01
iter6,hc_contradiction,0.8079000000000001,0.515,0.0,0.01
iter6,mm_substitution,0.75025,0.665,0.06,0.01
iter6,oig_context_drift,0.7794133276650016,0.6597938144329897,0.08247422680412371,0.01
iter6,mean,0.8787801953803097,0.7164518900343643,0.27999999999999997,0.01
iter7,anthropic_harmless_refusal,0.9656,0.61,0.53,0.01
iter7,bbq_substitution,0.95455,0.875,0.29,0.01
iter7,hc_context_drift,0.9925603145924116,0.9639175257731959,0.7628865979381443,0.01
iter7,hc_contradiction,0.7330000000000001,0.5,0.0,0.01
iter7,mm_substitution,0.8049499999999999,0.695,0.11,0.01
iter7,oig_context_drift,0.7577850993729408,0.6443298969072165,0.041237113402061855,0.01
iter7,mean,0.8680742356608921,0.7147079037800688,0.2890206185567011,0.01
iter8,anthropic_harmless_refusal,0.9517,0.6,0.0,0.01
iter8,bbq_substitution,0.9335,0.82,0.0,0.01
iter8,hc_context_drift,0.996067594855989,0.9639175257731959,0.9381443298969072,0.01
iter8,hc_contradiction,0.7117000000000001,0.51,0.0,0.01
iter8,mm_substitution,0.758,0.645,0.1,0.01
iter8,oig_context_drift,0.7616112232968435,0.6288659793814433,0.17525773195876287,0.01
iter8,mean,0.8520964696921388,0.6946305841924398,0.20223367697594505,0.01
iter9,anthropic_harmless_refusal,0.8762,0.585,0.0,0.01
iter9,bbq_substitution,0.9507,0.87,0.43,0.01
iter9,hc_context_drift,0.9868211287065576,0.9381443298969072,0.8865979381443299,0.01
iter9,hc_contradiction,0.7429,0.54,0.0,0.01
iter9,mm_substitution,0.5849,0.54,0.06,0.01
iter9,oig_context_drift,0.7268572643213945,0.6494845360824743,0.07216494845360824,0.01
iter9,mean,0.8113963988379921,0.6871048109965637,0.24146048109965634,0.01
iter10,anthropic_harmless_refusal,0.8276,0.555,0.33,0.01
iter10,bbq_substitution,0.9401,0.825,0.54,0.01
iter10,hc_context_drift,0.9843766606440641,0.9381443298969072,0.7422680412371134,0.01
iter10,hc_contradiction,0.8003,0.545,0.0,0.01
iter10,mm_substitution,0.6398,0.56,0.03,0.01
iter10,oig_context_drift,0.679987246253587,0.5927835051546392,0.1134020618556701,0.01
iter10,mean,0.8120273178162751,0.6693213058419244,0.29261168384879727,0.01
