round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.6387,0.52,0.01,0.01
iter0,bbq_substitution,0.7324,0.5,0.0,0.01
iter0,hc_context_drift,0.7604421298756511,0.5412371134020618,0.030927835051546393,0.01
iter0,hc_contradiction,0.8479999999999999,0.545,0.15,0.01
iter0,mm_substitution,0.9392999999999999,0.595,0.56,0.01
iter0,oig_context_drift,0.6404506323732596,0.5463917525773195,0.030927835051546393,0.01
iter0,mean,0.7598821270414851,0.5412714776632302,0.13030927835051548,0.01
iter1,anthropic_harmless_refusal,0.9082999999999999,0.535,0.15,0.01
iter1,bbq_substitution,0.9576,0.645,0.39,0.01
iter1,hc_context_drift,0.9844298012541184,0.7938144329896907,0.7010309278350515,0.01
iter1,hc_contradiction,0.6253,0.5,0.01,0.01
iter1,mm_substitution,0.729,0.52,0.16,0.01
iter1,oig_context_drift,0.6791369964927196,0.5721649484536082,0.030927835051546393,0.01
iter1,mean,0.8139611329578065,0.5943298969072165,0.24032646048109965,0.01
iter2,anthropic_harmless_refusal,0.9657,0.535,0.59,0.01
iter2,bbq_substitution,0.9704999999999999,0.875,0.46,0.01
iter2,hc_context_drift,0.970453820809863,0.9072164948453608,0.38144329896907214,0.01
iter2,hc_contradiction,0.8447000000000001,0.575,0.04,0.01
iter2,mm_substitution,0.6754000000000001,0.525,0.0,0.01
iter2,oig_context_drift,0.6757359974492507,0.5979381443298969,0.05154639175257732,0.01
iter2,mean,0.8504149697098523,0.669192439862543,0.2538316151202749,0.01
iter3,anthropic_harmless_refusal,0.9195000000000001,0.565,0.65,0.01
iter3,bbq_substitution,0.9781,0.905,0.34,0.01
iter3,hc_context_drift,0.9622701668615156,0.9536082474226805,0.25773195876288657,0.01
iter3,hc_contradiction,0.8754,0.565,0.02,0.01
iter3,mm_substitution,0.7126,0.535,0.05,0.01
iter3,oig_context_drift,0.6604315017536401,0.6288659793814433,0.061855670103092786,0.01
iter3,mean,0.8513836114358594,0.6920790378006872,0.22993127147766323,0.01
iter4,anthropic_harmless_refusal,0.9601,0.545,0.84,0.01
iter4,bbq_substitution,0.9755999999999999,0.905,0.38,0.01
iter4,hc_context_drift,0.9465405462854712,0.8814432989690721,0.14432989690721648,0.01
iter4,hc_contradiction,0.9134000000000001,0.625,0.01,0.01
iter4,mm_substitution,0.7199000000000001,0.565,0.07,0.01
iter4,oig_context_drift,0.671378467424806,0.5876288659793815,0.010309278350515464,0.01
iter4,mean,0.8644865022850463,0.6848453608247422,0.24243986254295533,0.01
iter5,anthropic_harmless_refusal,0.96355,0.545,0.71,0.01
iter5,bbq_substitution,0.9554999999999999,0.87,0.46,0.01
iter5,hc_context_drift,0.9537676692528431,0.9020618556701031,0.07216494845360824,0.01
iter5,hc_contradiction,0.8916000000000001,0.63,0.03,0.01
iter5,mm_substitution,0.6439,0.52,0.0,0.01
iter5,oig_context_drift,0.7128281432670848,0.5927835051546392,0.030927835051546393,0.01
iter5,mean,0.8535243020866545,0.6766408934707903,0.21718213058419242,0.01
iter6,anthropic_harmless_refusal,0.9762,0.555,0.66,0.01
iter6,bbq_substitution,0.9398000000000001,0.865,0.24,0.01
iter6,hc_context_drift,0.9629609947922203,0.9226804123711341,0.05154639175257732,0.01
iter6,hc_contradiction,0.8313,0.54,0.0,0.01
iter6,mm_substitution,0.779,0.605,0.06,0.01
iter6,oig_context_drift,0.7500265703050271,0.6237113402061856,0.05154639175257732,0.01
iter6,mean,0.8732145941828747,0.6852319587628867,0.17718213058419244,0.01
iter7,anthropic_harmless_refusal,0.9857,0.565,0.67,0.01
iter7,bbq_substitution,0.93275,0.86,0.22,0.01
iter7,hc_context_drift,0.9812413646508662,0.9278350515463918,0.5463917525773195,0.01
iter7,hc_contradiction,0.8119,0.56,0.03,0.01
iter7,mm_substitution,0.7803,0.625,0.16,0.01
iter7,oig_context_drift,0.7556594749707727,0.6494845360824743,0.12371134020618557,0.01
iter7,mean,0.8745918066036066,0.6978865979381443,0.29168384879725084,0.01
iter8,anthropic_harmless_refusal,0.9894999999999999,0.57,0.62,0.01
iter8,bbq_substitution,0.9420999999999999,0.875,0.0,0.01
iter8,hc_context_drift,0.9658837283452014,0.9226804123711341,0.23711340206185566,0.01
iter8,hc_contradiction,0.8903,0.56,0.07,0.01
iter8,mm_substitution,0.7704,0.62,0.08,0.01
iter8,oig_context_drift,0.7165479859708789,0.6237113402061856,0.09278350515463918,0.01
iter8,mean,0.8791219523860132,0.6952319587628866,0.18331615120274916,0.01
iter9,anthropic_harmless_refusal,0.991,0.56,0.78,0.01
iter9,bbq_substitution,0.9480999999999999,0.865,0.52,0.01
iter9,hc_context_drift,0.9371346583058773,0.8402061855670103,0.14432989690721648,0.01
iter9,hc_contradiction,0.8878999999999999,0.56,0.04,0.01
iter9,mm_substitution,0.7298,0.625,0.11,0.01
iter9,oig_context_drift,0.6926878520565416,0.6288659793814433,0.13402061855670103,0.01
iter9,mean,0.8644370850604032,0.6798453608247422,0.2880584192439863,0.01
iter10,anthropic_harmless_refusal,0.9732999999999999,0.57,0.83,0.01
iter10,bbq_substitution,0.9248,0.86,0.15,0.01
iter10,hc_context_drift,0.975449038154958,0.9381443298969072,0.32989690721649484,0.01
iter10,hc_contradiction,0.8613999999999999,0.58,0.04,0.01
iter10,mm_substitution,0.7875,0.69,0.0,0.01
iter10,oig_context_drift,0.7159634392602828,0.634020618556701,0.10309278350515463,0.01
iter10,mean,0.8730687462358734,0.7120274914089347,0.24216494845360825,0.01
