round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.6387,0.52,0.01,0.01
iter0,bbq_substitution,0.7324,0.5,0.0,0.01
iter0,hc_context_drift,0.7604421298756511,0.5412371134020618,0.030927835051546393,0.01
iter0,hc_contradiction,0.8479999999999999,0.545,0.15,0.01
iter0,mm_substitution,0.9392999999999999,0.595,0.56,0.01
iter0,oig_context_drift,0.6404506323732596,0.5463917525773195,0.030927835051546393,0.01
iter0,mean,0.7598821270414851,0.5412714776632302,0.13030927835051548,0.01
iter1,anthropic_harmless_refusal,0.8037000000000001,0.53,0.1,0.01
iter1,bbq_substitution,0.8536,0.535,0.36,0.01
iter1,hc_context_drift,0.7448187905197151,0.5,0.030927835051546393,0.01
iter1,hc_contradiction,0.6219,0.5,0.01,0.01
iter1,mm_substitution,0.7048999999999999,0.595,0.19,0.01
iter1,oig_context_drift,0.566106918907429,0.5670103092783505,0.010309278350515464,0.01
iter1,mean,0.7158376182378574,0.5378350515463918,0.11687285223367698,0.01
iter2,anthropic_harmless_refusal,0.8855000000000001,0.545,0.1,0.01
iter2,bbq_substitution,0.9117,0.675,0.47,0.01
iter2,hc_context_drift,0.8389839515357637,0.5360824742268041,0.09278350515463918,0.01
iter2,hc_contradiction,0.7122,0.505,0.01,0.01
iter2,mm_substitution,0.8607999999999999,0.705,0.29,0.01
iter2,oig_context_drift,0.623551918376023,0.5979381443298969,0.010309278350515464,0.01
iter2,mean,0.8054559783186312,0.5940034364261169,0.16218213058419242,0.01
iter3,anthropic_harmless_refusal,0.9067,0.565,0.29,0.01
iter3,bbq_substitution,0.8959999999999999,0.705,0.28,0.01
iter3,hc_context_drift,0.9118928685301307,0.7371134020618557,0.31958762886597936,0.01
iter3,hc_contradiction,0.7837999999999999,0.515,0.0,0.01
iter3,mm_substitution,0.8862000000000001,0.785,0.38,0.01
iter3,oig_context_drift,0.6992241470932087,0.6288659793814433,0.020618556701030927,0.01
iter3,mean,0.8473028359372233,0.6559965635738833,0.21503436426116837,0.01
iter4,anthropic_harmless_refusal,0.8201,0.535,0.31,0.01
iter4,bbq_substitution,0.7917500000000001,0.715,0.24,0.01
iter4,hc_context_drift,0.8762886597938144,0.7268041237113402,0.041237113402061855,0.01
iter4,hc_contradiction,0.62395,0.525,0.0,0.01
iter4,mm_substitution,0.87465,0.795,0.16,0.01
iter4,oig_context_drift,0.6625039855457541,0.6082474226804123,0.030927835051546393,0.01
iter4,mean,0.7748737742232614,0.6508419243986254,0.13036082474226804,0.01
iter5,anthropic_harmless_refusal,0.7264999999999999,0.515,0.28,0.01
iter5,bbq_substitution,0.7683,0.665,0.04,0.01
iter5,hc_context_drift,0.9026464023806994,0.8144329896907216,0.020618556701030927,0.01
iter5,hc_contradiction,0.6577,0.53,0.0,0.01
iter5,mm_substitution,0.8765000000000001,0.76,0.15,0.01
iter5,oig_context_drift,0.6842916356679773,0.5721649484536082,0.010309278350515464,0.01
iter5,mean,0.7693230063414461,0.642766323024055,0.08348797250859107,0.01
iter6,anthropic_harmless_refusal,0.7933000000000001,0.535,0.42,0.01
iter6,bbq_substitution,0.7256,0.67,0.02,0.01
iter6,hc_context_drift,0.9127962589010522,0.8762886597938144,0.030927835051546393,0.01
iter6,hc_contradiction,0.6407,0.545,0.0,0.01
iter6,mm_substitution,0.8603,0.75,0.22,0.01
iter6,oig_context_drift,0.6872143692209587,0.5567010309278351,0.020618556701030927,0.01
iter6,mean,0.7699851046870018,0.6554982817869416,0.11859106529209623,0.01
iter7,anthropic_harmless_refusal,0.7491,0.535,0.32,0.01
iter7,bbq_substitution,0.7654000000000001,0.66,0.05,0.01
iter7,hc_context_drift,0.8949941545328941,0.8041237113402062,0.030927835051546393,0.01
iter7,hc_contradiction,0.6966,0.56,0.0,0.01
iter7,mm_substitution,0.8514999999999999,0.75,0.3,0.01
iter7,oig_context_drift,0.7145286427888191,0.6082474226804123,0.020618556701030927,0.01
iter7,mean,0.7786871328869522,0.6528951890034365,0.1202577319587629,0.01
iter8,anthropic_harmless_refusal,0.7558999999999999,0.555,0.32,0.01
iter8,bbq_substitution,0.82135,0.68,0.05,0.01
iter8,hc_context_drift,0.9195982569879902,0.7061855670103093,0.08247422680412371,0.01
iter8,hc_contradiction,0.8541,0.79,0.0,0.01
iter8,mm_substitution,0.9123,0.805,0.4,0.01
iter8,oig_context_drift,0.6922095865660538,0.6030927835051546,0.061855670103092786,0.01
iter8,mean,0.8259096405923406,0.6898797250859107,0.15238831615120274,0.01
iter9,anthropic_harmless_refusal,0.7009000000000001,0.55,0.16,0.01
iter9,bbq_substitution,0.7796000000000002,0.65,0.01,0.01
iter9,hc_context_drift,0.9513232011903496,0.7628865979381443,0.2268041237113402,0.01
iter9,hc_contradiction,0.8273499999999999,0.775,0.03,0.01
iter9,mm_substitution,0.9194,0.805,0.32,0.01
iter9,oig_context_drift,0.7004995217345096,0.5927835051546392,0.030927835051546393,0.01
iter9,mean,0.8131787871541433,0.6892783505154639,0.12962199312714778,0.01
iter10,anthropic_harmless_refusal,0.5959000000000001,0.545,0.11,0.01
iter10,bbq_substitution,0.8046999999999999,0.695,0.17,0.01
iter10,hc_context_drift,0.9089169943670954,0.7061855670103093,0.20618556701030927,0.01
iter10,hc_contradiction,0.7918000000000001,0.725,0.0,0.01
iter10,mm_substitution,0.8863,0.8,0.0,0.01
iter10,oig_context_drift,0.7219683281964078,0.5773195876288659,0.020618556701030927,0.01
iter10,mean,0.7849308870939171,0.6747508591065291,0.08446735395189003,0.01
