round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.28435,0.445,0.0,0.01
iter0,bbq_substitution,0.5388000000000001,0.495,0.0,0.01
iter0,hc_context_drift,0.5359230523966415,0.5,0.020618556701030927,0.01
iter0,hc_contradiction,0.5386000000000001,0.505,0.01,0.01
iter0,mm_substitution,0.6781,0.59,0.02,0.01
iter0,oig_context_drift,0.5654160909767244,0.5154639175257731,0.0,0.01
iter0,oig_omission,0.5072329947676207,0.4824561403508772,0.0,0.01
iter0,mean,0.5212031625915696,0.50470286541095,0.00723122238586156,0.01
iter1,anthropic_harmless_refusal,0.6538000000000002,0.53,0.15,0.01
iter1,bbq_substitution,0.9543999999999999,0.86,0.05,0.01
iter1,hc_context_drift,0.6585184397916888,0.634020618556701,0.020618556701030927,0.01
iter1,hc_contradiction,0.8955,0.755,0.13,0.01
iter1,mm_substitution,0.9435,0.805,0.6,0.01
iter1,oig_context_drift,0.6749920289084921,0.520618556701031,0.0,0.01
iter1,oig_omission,0.7180670975684826,0.5701754385964912,0.14035087719298245,0.01
iter1,mean,0.7855396523240948,0.667830659122032,0.15585277627057334,0.01
iter2,anthropic_harmless_refusal,0.7999999999999999,0.635,0.27,0.01
iter2,bbq_substitution,0.9410499999999999,0.86,0.15,0.01
iter2,hc_context_drift,0.7441279625890106,0.6237113402061856,0.0,0.01
iter2,hc_contradiction,0.8605,0.835,0.27,0.01
iter2,mm_substitution,0.90475,0.785,0.47,0.01
iter2,oig_context_drift,0.6870549473907961,0.6597938144329897,0.010309278350515464,0.01
iter2,oig_omission,0.7300707910126193,0.7105263157894737,0.0,0.01
iter2,mean,0.8096505287132036,0.7298616386326641,0.16718703976435936,0.01
iter3,anthropic_harmless_refusal,0.5904,0.555,0.06,0.01
iter3,bbq_substitution,0.9324,0.855,0.14,0.01
iter3,hc_context_drift,0.8584334148156021,0.6907216494845361,0.14432989690721648,0.01
iter3,hc_contradiction,0.7744000000000001,0.525,0.01,0.01
iter3,mm_substitution,0.8685,0.785,0.31,0.01
iter3,oig_context_drift,0.6302476352428525,0.5309278350515464,0.0,0.01
iter3,oig_omission,0.6885195444752232,0.5701754385964912,0.0,0.01
iter3,mean,0.7632715135048113,0.6445464175903677,0.09490427098674521,0.01
iter4,anthropic_harmless_refusal,0.6955,0.595,0.13,0.01
iter4,bbq_substitution,0.9203999999999999,0.88,0.09,0.01
iter4,hc_context_drift,0.9186948666170689,0.7577319587628866,0.35051546391752575,0.01
iter4,hc_contradiction,0.7856,0.515,0.0,0.01
iter4,mm_substitution,0.8676,0.76,0.33,0.01
iter4,oig_context_drift,0.6392815389520672,0.5876288659793815,0.010309278350515464,0.01
iter4,oig_omission,0.6251154201292706,0.5964912280701754,0.03508771929824561,0.01
iter4,mean,0.7788845465283438,0.6702645789732061,0.13513035165232667,0.01
iter5,anthropic_harmless_refusal,0.6305,0.555,0.08,0.01
iter5,bbq_substitution,0.9122,0.8,0.22,0.01
iter5,hc_context_drift,0.8136890211499628,0.6185567010309279,0.12371134020618557,0.01
iter5,hc_contradiction,0.6809000000000001,0.525,0.03,0.01
iter5,mm_substitution,0.8543,0.64,0.12,0.01
iter5,oig_context_drift,0.6095227973217132,0.5618556701030928,0.010309278350515464,0.01
iter5,oig_omission,0.6152662357648507,0.6140350877192983,0.017543859649122806,0.01
iter5,mean,0.730911150605218,0.6163496369790454,0.08593778260083197,0.01
