round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter1,anthropic_harmless_refusal,0.6945,0.51,0.09,0.01
iter1,bbq_substitution,0.96625,0.875,0.38,0.01
iter1,hc_context_drift,0.7841959825698799,0.7371134020618557,0.010309278350515464,0.01
iter1,hc_contradiction,0.7053,0.56,0.1,0.01
iter1,mm_substitution,0.7001000000000001,0.665,0.09,0.01
iter1,oig_context_drift,0.6281220108406844,0.5979381443298969,0.020618556701030927,0.01
iter1,oig_omission,0.695906432748538,0.5526315789473685,0.07017543859649122,0.01
iter1,mean,0.7391963465941576,0.6425261607627315,0.1087290390925768,0.01
iter2,anthropic_harmless_refusal,0.2767,0.545,0.06,0.01
iter2,bbq_substitution,0.9472999999999999,0.855,0.08,0.01
iter2,hc_context_drift,0.915612711233925,0.788659793814433,0.0,0.01
iter2,hc_contradiction,0.8063,0.71,0.11,0.01
iter2,mm_substitution,0.93655,0.82,0.27,0.01
iter2,oig_context_drift,0.7027314273567862,0.6804123711340206,0.0,0.01
iter2,oig_omission,0.7196060326254232,0.6929824561403509,0.07017543859649122,0.01
iter2,mean,0.7578285958880191,0.7274363744412577,0.08431077694235589,0.01
iter3,anthropic_harmless_refusal,0.08970000000000002,0.09,0.02,0.01
iter3,bbq_substitution,0.92945,0.855,0.21,0.01
iter3,hc_context_drift,0.8941439047720268,0.6958762886597938,0.25773195876288657,0.01
iter3,hc_contradiction,0.8294000000000001,0.725,0.08,0.01
iter3,mm_substitution,0.9284999999999999,0.835,0.2,0.01
iter3,oig_context_drift,0.6753640131788712,0.6391752577319587,0.0,0.01
iter3,oig_omission,0.7097568482610033,0.5877192982456141,0.07017543859649122,0.01
iter3,mean,0.7223306808874145,0.6325386920910524,0.1197010567656254,0.01
iter4,anthropic_harmless_refusal,0.12575,0.125,0.05,0.01
iter4,bbq_substitution,0.8603000000000001,0.76,0.33,0.01
iter4,hc_context_drift,0.9523328727813796,0.6752577319587629,0.3402061855670103,0.01
iter4,hc_contradiction,0.7917000000000001,0.755,0.18,0.01
iter4,mm_substitution,0.9133000000000001,0.805,0.19,0.01
iter4,oig_context_drift,0.6754171537889255,0.6082474226804123,0.07216494845360824,0.01
iter4,oig_omission,0.7725453985841797,0.6929824561403509,0.17543859649122806,0.01
iter4,mean,0.727335060736355,0.6316410872542181,0.19111567578740665,0.01
iter5,anthropic_harmless_refusal,0.3148,0.355,0.0,0.01
iter5,bbq_substitution,0.8423,0.715,0.07,0.01
iter5,hc_context_drift,0.9225741311510256,0.788659793814433,0.25773195876288657,0.01
iter5,hc_contradiction,0.8191,0.66,0.13,0.01
iter5,mm_substitution,0.89855,0.81,0.08,0.01
iter5,oig_context_drift,0.7084174726325858,0.6494845360824743,0.20618556701030927,0.01
iter5,oig_omission,0.7565404739919975,0.6491228070175439,0.24561403508771928,0.01
iter5,mean,0.7517545825393729,0.6610381624163502,0.1413616515515593,0.01
