round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.794,0.535,0.17,0.01
iter1,bbq_substitution,0.9295,0.57,0.0,0.01
iter1,hc_context_drift,0.7319056222765437,0.6134020618556701,0.0,0.01
iter1,hc_contradiction,0.93055,0.855,0.3,0.01
iter1,mm_substitution,0.9479,0.845,0.0,0.01
iter1,oig_context_drift,0.6532043787862686,0.520618556701031,0.0,0.01
iter1,oig_omission,0.7469990766389658,0.5526315789473685,0.10526315789473684,0.01
iter1,mean,0.8191512968145398,0.6416645996434385,0.08218045112781955,0.01
iter2,anthropic_harmless_refusal,0.5381,0.555,0.07,0.01
iter2,bbq_substitution,0.9388,0.89,0.0,0.01
iter2,hc_context_drift,0.8091189286853012,0.6391752577319587,0.0,0.01
iter2,hc_contradiction,0.9377500000000001,0.89,0.0,0.01
iter2,mm_substitution,0.9535,0.885,0.36,0.01
iter2,oig_context_drift,0.7172919545116379,0.6443298969072165,0.16494845360824742,0.01
iter2,oig_omission,0.7876269621421976,0.6403508771929824,0.10526315789473684,0.01
iter2,mean,0.8117411207627339,0.7348365759760226,0.10003023021471204,0.01
iter3,anthropic_harmless_refusal,0.7960000000000002,0.555,0.1,0.01
iter3,bbq_substitution,0.9214,0.8,0.19,0.01
iter3,hc_context_drift,0.8388776703156552,0.7061855670103093,0.0,0.01
iter3,hc_contradiction,0.9086,0.85,0.09,0.01
iter3,mm_substitution,0.9067000000000001,0.81,0.26,0.01
iter3,oig_context_drift,0.6466149431395473,0.5618556701030928,0.10309278350515463,0.01
iter3,oig_omission,0.7294552169898431,0.5964912280701754,0.12280701754385964,0.01
iter3,mean,0.821092547206435,0.6970760664547969,0.1236999715784306,0.01
iter4,anthropic_harmless_refusal,0.7125999999999999,0.545,0.12,0.01
iter4,bbq_substitution,0.9248500000000001,0.845,0.06,0.01
iter4,hc_context_drift,0.8259113614624296,0.654639175257732,0.0,0.01
iter4,hc_contradiction,0.92955,0.845,0.41,0.01
iter4,mm_substitution,0.8918999999999999,0.81,0.29,0.01
iter4,oig_context_drift,0.7024125836964609,0.6288659793814433,0.16494845360824742,0.01
iter4,oig_omission,0.7891658971991382,0.6929824561403509,0.3684210526315789,0.01
iter4,mean,0.8251985489082898,0.7173553729685037,0.20190992946283234,0.01
iter5,anthropic_harmless_refusal,0.6323,0.605,0.22,0.01
iter5,bbq_substitution,0.9307,0.815,0.4,0.01
iter5,hc_context_drift,0.9711446487405675,0.7422680412371134,0.44329896907216493,0.01
iter5,hc_contradiction,0.9275,0.815,0.36,0.01
iter5,mm_substitution,0.92365,0.87,0.47,0.01
iter5,oig_context_drift,0.5861409288978637,0.5670103092783505,0.020618556701030927,0.01
iter5,oig_omission,0.7168359495229302,0.6491228070175439,0.19298245614035087,0.01
iter5,mean,0.8126102181659088,0.7233430225047154,0.30098571170193517,0.01
