round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.7214,0.52,0.21,0.01
iter1,bbq_substitution,0.9311999999999999,0.62,0.0,0.01
iter1,hc_context_drift,0.7869061536826443,0.7216494845360825,0.0,0.01
iter1,hc_contradiction,0.8109000000000001,0.605,0.15,0.01
iter1,mm_substitution,0.8755,0.685,0.19,0.01
iter1,oig_context_drift,0.7274949516420449,0.6237113402061856,0.13402061855670103,0.01
iter1,oig_omission,0.6229609110495538,0.5526315789473685,0.03508771929824561,0.01
iter1,mean,0.7823374309106061,0.6182846290985194,0.10272976255070666,0.01
iter2,anthropic_harmless_refusal,0.799,0.665,0.0,0.01
iter2,bbq_substitution,0.9156,0.755,0.16,0.01
iter2,hc_context_drift,0.8661919438835158,0.7577319587628866,0.07216494845360824,0.01
iter2,hc_contradiction,0.8484999999999999,0.735,0.38,0.01
iter2,mm_substitution,0.9123999999999999,0.81,0.32,0.01
iter2,oig_context_drift,0.755978318631098,0.6597938144329897,0.2268041237113402,0.01
iter2,oig_omission,0.7014465989535242,0.6491228070175439,0.08771929824561403,0.01
iter2,mean,0.8284452659240198,0.7188069400304886,0.17809833863008037,0.01
iter3,anthropic_harmless_refusal,0.8252,0.685,0.6,0.01
iter3,bbq_substitution,0.9166,0.75,0.12,0.01
iter3,hc_context_drift,0.7409926665958125,0.6494845360824743,0.0,0.01
iter3,hc_contradiction,0.9017000000000001,0.785,0.23,0.01
iter3,mm_substitution,0.9757,0.925,0.61,0.01
iter3,oig_context_drift,0.7554469125305558,0.6804123711340206,0.030927835051546393,0.01
iter3,oig_omission,0.6275777162203755,0.5789473684210527,0.10526315789473684,0.01
iter3,mean,0.8204596136209634,0.7219777536625068,0.24231299899232614,0.01
iter4,anthropic_harmless_refusal,0.8442000000000001,0.665,0.0,0.01
iter4,bbq_substitution,0.9099,0.75,0.11,0.01
iter4,hc_context_drift,0.8156020831119142,0.6134020618556701,0.0,0.01
iter4,hc_contradiction,0.9176,0.85,0.1,0.01
iter4,mm_substitution,0.9604,0.9,0.3,0.01
iter4,oig_context_drift,0.6879051971516632,0.6391752577319587,0.05154639175257732,0.01
iter4,oig_omission,0.6328100954139736,0.5877192982456141,0.0,0.01
iter4,mean,0.8240596250967931,0.7150423739761775,0.08022091310751105,0.01
iter5,anthropic_harmless_refusal,0.9216,0.81,0.52,0.01
iter5,bbq_substitution,0.9362,0.815,0.0,0.01
iter5,hc_context_drift,0.8682644276756297,0.6185567010309279,0.0,0.01
iter5,hc_contradiction,0.9163,0.855,0.0,0.01
iter5,mm_substitution,0.94825,0.885,0.44,0.01
iter5,oig_context_drift,0.7378573706026145,0.6494845360824743,0.0,0.01
iter5,oig_omission,0.687903970452447,0.6403508771929824,0.07017543859649122,0.01
iter5,mean,0.8594822526758131,0.7533417306151977,0.14716791979949875,0.01
