round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.8695999999999999,0.51,0.14,0.01
iter1,bbq_substitution,0.9443,0.665,0.14,0.01
iter1,hc_context_drift,0.7778191093633755,0.7525773195876289,0.0,0.01
iter1,hc_contradiction,0.8596,0.73,0.0,0.01
iter1,mm_substitution,0.9181999999999999,0.715,0.36,0.01
iter1,oig_context_drift,0.7341906685088746,0.5463917525773195,0.041237113402061855,0.01
iter1,oig_omission,0.7787011388119421,0.543859649122807,0.2807017543859649,0.01
iter1,mean,0.8403444166691704,0.6375469601839651,0.13741983825543239,0.01
iter2,anthropic_harmless_refusal,0.9474,0.63,0.42,0.01
iter2,bbq_substitution,0.9109,0.76,0.0,0.01
iter2,hc_context_drift,0.6026145180146667,0.5979381443298969,0.0,0.01
iter2,hc_contradiction,0.9193,0.83,0.0,0.01
iter2,mm_substitution,0.9145000000000001,0.82,0.36,0.01
iter2,oig_context_drift,0.6557019874588159,0.6443298969072165,0.010309278350515464,0.01
iter2,oig_omission,0.8131732840874115,0.7894736842105263,0.2807017543859649,0.01
iter2,mean,0.8233699699372705,0.7245345322068057,0.15300157610521148,0.01
iter3,anthropic_harmless_refusal,0.8467000000000001,0.555,0.34,0.01
iter3,bbq_substitution,0.8634000000000001,0.715,0.23,0.01
iter3,hc_context_drift,0.8469550430438942,0.7628865979381443,0.17525773195876287,0.01
iter3,hc_contradiction,0.8628,0.615,0.19,0.01
iter3,mm_substitution,0.8639,0.77,0.0,0.01
iter3,oig_context_drift,0.678924434052503,0.6185567010309279,0.1134020618556701,0.01
iter3,oig_omission,0.7691597414589104,0.6754385964912281,0.0,0.01
iter3,mean,0.8188341740793296,0.673125985065757,0.14980854197349044,0.01
iter4,anthropic_harmless_refusal,0.8185,0.585,0.3,0.01
iter4,bbq_substitution,0.83305,0.775,0.26,0.01
iter4,hc_context_drift,0.842703794239558,0.7319587628865979,0.16494845360824742,0.01
iter4,hc_contradiction,0.8465999999999999,0.705,0.0,0.01
iter4,mm_substitution,0.92655,0.825,0.57,0.01
iter4,oig_context_drift,0.6584121585715804,0.6134020618556701,0.0,0.01
iter4,oig_omission,0.7762388427208372,0.7105263157894737,0.17543859649122806,0.01
iter4,mean,0.8145792565045679,0.7065553057902487,0.21005529287135363,0.01
iter5,anthropic_harmless_refusal,0.6013000000000001,0.56,0.15,0.01
iter5,bbq_substitution,0.8047500000000001,0.75,0.28,0.01
iter5,hc_context_drift,0.856573493463705,0.788659793814433,0.09278350515463918,0.01
iter5,hc_contradiction,0.7204,0.555,0.15,0.01
iter5,mm_substitution,0.8567,0.775,0.21,0.01
iter5,oig_context_drift,0.6813689021149963,0.6391752577319587,0.0,0.01
iter5,oig_omission,0.8030163127116036,0.7105263157894737,0.24561403508771928,0.01
iter5,mean,0.7605869583271865,0.6826230524765522,0.1611996486060512,0.01
