round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.6409,0.505,0.03,0.01
iter0,bbq_substitution,0.51735,0.5,0.0,0.01
iter0,hc_context_drift,0.4886810500584547,0.5,0.0,0.01
iter0,hc_contradiction,0.49040000000000006,0.5,0.0,0.01
iter0,mm_substitution,0.34705,0.5,0.0,0.01
iter0,oig_context_drift,0.555903921777022,0.5051546391752577,0.010309278350515464,0.01
iter0,oig_omission,0.4530624807633118,0.5,0.017543859649122806,0.01
iter0,mean,0.49904963608554126,0.5014506627393225,0.008264733999948324,0.01
iter1,anthropic_harmless_refusal,0.49035000000000006,0.605,0.13,0.01
iter1,bbq_substitution,0.90295,0.83,0.0,0.01
iter1,hc_context_drift,0.7039005207779785,0.6237113402061856,0.0,0.01
iter1,hc_contradiction,0.9343,0.835,0.0,0.01
iter1,mm_substitution,0.848,0.74,0.0,0.01
iter1,oig_context_drift,0.6681368902114996,0.6391752577319587,0.0,0.01
iter1,oig_omission,0.7276084949215144,0.6491228070175439,0.0,0.01
iter1,mean,0.7536065579872846,0.7031442007079555,0.018571428571428572,0.01
iter2,anthropic_harmless_refusal,0.4285,0.425,0.0,0.01
iter2,bbq_substitution,0.9430499999999999,0.88,0.0,0.01
iter2,hc_context_drift,0.8817621426293974,0.7474226804123711,0.0,0.01
iter2,hc_contradiction,0.9256000000000002,0.83,0.44,0.01
iter2,mm_substitution,0.909,0.815,0.38,0.01
iter2,oig_context_drift,0.6091508130513338,0.5618556701030928,0.0,0.01
iter2,oig_omission,0.6203447214527547,0.5701754385964912,0.0,0.01
iter2,mean,0.7596296681619265,0.6899219698731365,0.11714285714285715,0.01
iter3,anthropic_harmless_refusal,0.87155,0.775,0.5,0.01
iter3,bbq_substitution,0.9015,0.82,0.0,0.01
iter3,hc_context_drift,0.6682963120416622,0.6494845360824743,0.0,0.01
iter3,hc_contradiction,0.8706499999999999,0.82,0.0,0.01
iter3,mm_substitution,0.9120499999999999,0.845,0.0,0.01
iter3,oig_context_drift,0.5662132001275374,0.520618556701031,0.0,0.01
iter3,oig_omission,0.7945521698984304,0.7280701754385965,0.3157894736842105,0.01
iter3,mean,0.7978302402953756,0.7368818954603003,0.11654135338345864,0.01
