round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.5237,0.51,0.03,0.01
iter0,bbq_substitution,0.5783,0.495,0.0,0.01
iter0,hc_context_drift,0.7327027314273568,0.5103092783505154,0.010309278350515464,0.01
iter0,hc_contradiction,0.6897,0.535,0.11,0.01
iter0,mm_substitution,0.7937,0.61,0.0,0.01
iter0,oig_context_drift,0.5903921777022001,0.5051546391752577,0.030927835051546393,0.01
iter0,mean,0.6514158181882596,0.5275773195876289,0.03020618556701031,0.01
iter1,anthropic_harmless_refusal,0.775,0.51,0.09,0.01
iter1,bbq_substitution,0.9611000000000001,0.61,0.0,0.01
iter1,hc_context_drift,0.8222977999787437,0.6030927835051546,0.16494845360824742,0.01
iter1,hc_contradiction,0.7263,0.525,0.0,0.01
iter1,mm_substitution,0.768,0.595,0.13,0.01
iter1,oig_context_drift,0.6814751833351046,0.5360824742268041,0.07216494845360824,0.01
iter1,mean,0.789028830552308,0.5631958762886597,0.07618556701030928,0.01
iter2,anthropic_harmless_refusal,0.7485,0.515,0.12,0.01
iter2,bbq_substitution,0.9165000000000001,0.595,0.44,0.01
iter2,hc_context_drift,0.9825698799022213,0.7783505154639175,0.0,0.01
iter2,hc_contradiction,0.5671,0.5,0.04,0.01
iter2,mm_substitution,0.5937000000000001,0.52,0.04,0.01
iter2,oig_context_drift,0.7654373472207461,0.5979381443298969,0.23711340206185566,0.01
iter2,mean,0.7623012045204945,0.584381443298969,0.1461855670103093,0.01
iter3,anthropic_harmless_refusal,0.8338,0.52,0.11,0.01
iter3,bbq_substitution,0.9004,0.525,0.22,0.01
iter3,hc_context_drift,0.9843766606440641,0.8711340206185567,0.8350515463917526,0.01
iter3,hc_contradiction,0.5819,0.5,0.0,0.01
iter3,mm_substitution,0.6491000000000001,0.525,0.06,0.01
iter3,oig_context_drift,0.7129344244871932,0.5103092783505154,0.07216494845360824,0.01
iter3,mean,0.7770851808552096,0.5752405498281786,0.21620274914089346,0.01
iter4,anthropic_harmless_refusal,0.6035,0.525,0.06,0.01
iter4,bbq_substitution,0.9237000000000001,0.585,0.48,0.01
iter4,hc_context_drift,0.9609947922202147,0.8144329896907216,0.0,0.01
iter4,hc_contradiction,0.6113999999999999,0.5,0.0,0.01
iter4,mm_substitution,0.5549000000000001,0.5,0.01,0.01
iter4,oig_context_drift,0.7910511212668722,0.5360824742268041,0.18556701030927836,0.01
iter4,mean,0.7409243189145145,0.5767525773195876,0.12259450171821307,0.01
iter5,anthropic_harmless_refusal,0.6718999999999999,0.525,0.0,0.01
iter5,bbq_substitution,0.9424999999999999,0.8,0.46,0.01
iter5,hc_context_drift,0.9676905090870443,0.865979381443299,0.6494845360824743,0.01
iter5,hc_contradiction,0.8227,0.535,0.08,0.01
iter5,mm_substitution,0.6355999999999999,0.53,0.0,0.01
iter5,oig_context_drift,0.8049739611010733,0.6082474226804123,0.30927835051546393,0.01
iter5,mean,0.807560745031353,0.6440378006872852,0.24979381443298973,0.01
iter6,anthropic_harmless_refusal,0.722,0.515,0.04,0.01
iter6,bbq_substitution,0.9517,0.775,0.43,0.01
iter6,hc_context_drift,0.9846955043043895,0.9381443298969072,0.7938144329896907,0.01
iter6,hc_contradiction,0.8100999999999999,0.52,0.02,0.01
iter6,mm_substitution,0.7733,0.595,0.06,0.01
iter6,oig_context_drift,0.6965671165904984,0.5670103092783505,0.061855670103092786,0.01
iter6,mean,0.8230604368158145,0.651692439862543,0.23427835051546395,0.01
iter7,anthropic_harmless_refusal,0.7818,0.54,0.11,0.01
iter7,bbq_substitution,0.9359999999999999,0.7,0.22,0.01
iter7,hc_context_drift,0.98799022212775,0.9484536082474226,0.7422680412371134,0.01
iter7,hc_contradiction,0.8739,0.52,0.02,0.01
iter7,mm_substitution,0.7892,0.7,0.27,0.01
iter7,oig_context_drift,0.7145286427888191,0.5515463917525774,0.041237113402061855,0.01
iter7,mean,0.8472364774860948,0.66,0.2339175257731959,0.01
iter8,anthropic_harmless_refusal,0.6911,0.56,0.0,0.01
iter8,bbq_substitution,0.9319,0.695,0.31,0.01
iter8,hc_context_drift,0.9842703794239557,0.9072164948453608,0.0,0.01
iter8,hc_contradiction,0.8202,0.5,0.0,0.01
iter8,mm_substitution,0.8520000000000001,0.7,0.22,0.01
iter8,oig_context_drift,0.7230311403974918,0.5721649484536082,0.07216494845360824,0.01
iter8,mean,0.8337502533035747,0.6557302405498281,0.10036082474226804,0.01
iter9,anthropic_harmless_refusal,0.7142,0.555,0.27,0.01
iter9,bbq_substitution,0.9413,0.755,0.17,0.01
iter9,hc_context_drift,0.9815070677011373,0.9587628865979382,0.5257731958762887,0.01
iter9,hc_contradiction,0.8525,0.525,0.02,0.01
iter9,mm_substitution,0.8836,0.735,0.43,0.01
iter9,oig_context_drift,0.6813689021149963,0.6134020618556701,0.0,0.01
iter9,mean,0.8424126616360222,0.690360824742268,0.23596219931271478,0.01
iter10,anthropic_harmless_refusal,0.8663000000000001,0.62,0.0,0.01
iter10,bbq_substitution,0.9312,0.75,0.19,0.01
iter10,hc_context_drift,0.9748644914443617,0.9278350515463918,0.422680412371134,0.01
iter10,hc_contradiction,0.856,0.605,0.0,0.01
iter10,mm_substitution,0.9151,0.84,0.0,0.01
iter10,oig_context_drift,0.7524710383675205,0.6752577319587629,0.030927835051546393,0.01
iter10,mean,0.8826559216353137,0.7363487972508591,0.1072680412371134,0.01
