round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.5237,0.51,0.03,0.01
iter0,bbq_substitution,0.5783,0.495,0.0,0.01
iter0,hc_context_drift,0.7327027314273568,0.5103092783505154,0.010309278350515464,0.01
iter0,hc_contradiction,0.6897,0.535,0.11,0.01
iter0,mm_substitution,0.7937,0.61,0.0,0.01
iter0,oig_context_drift,0.5903921777022001,0.5051546391752577,0.030927835051546393,0.01
iter0,mean,0.6514158181882596,0.5275773195876289,0.03020618556701031,0.01
iter1,anthropic_harmless_refusal,0.6161000000000001,0.535,0.1,0.01
iter1,bbq_substitution,0.904,0.585,0.09,0.01
iter1,hc_context_drift,0.9088107131469869,0.5360824742268041,0.041237113402061855,0.01
iter1,hc_contradiction,0.6593,0.51,0.0,0.01
iter1,mm_substitution,0.8507999999999999,0.62,0.15,0.01
iter1,oig_context_drift,0.6623445637155915,0.5670103092783505,0.05154639175257732,0.01
iter1,mean,0.766892546143763,0.558848797250859,0.07213058419243985,0.01
iter2,anthropic_harmless_refusal,0.8505,0.545,0.31,0.01
iter2,bbq_substitution,0.9265,0.585,0.46,0.01
iter2,hc_context_drift,0.9921351897119779,0.7371134020618557,0.0,0.01
iter2,hc_contradiction,0.6248,0.5,0.02,0.01
iter2,mm_substitution,0.9193,0.65,0.42,0.01
iter2,oig_context_drift,0.6919970241258371,0.5824742268041238,0.061855670103092786,0.01
iter2,mean,0.8342053689729693,0.5999312714776632,0.21197594501718212,0.01
iter3,anthropic_harmless_refusal,0.8725999999999999,0.545,0.47,0.01
iter3,bbq_substitution,0.9379,0.695,0.0,0.01
iter3,hc_context_drift,0.9993623126793495,0.9381443298969072,0.9484536082474226,0.01
iter3,hc_contradiction,0.7733000000000001,0.5,0.17,0.01
iter3,mm_substitution,0.9287,0.735,0.39,0.01
iter3,oig_context_drift,0.7020937400361356,0.6288659793814433,0.12371134020618557,0.01
iter3,mean,0.8689926754525809,0.673668384879725,0.35036082474226804,0.01
iter4,anthropic_harmless_refusal,0.9029,0.54,0.3,0.01
iter4,bbq_substitution,0.9207,0.69,0.33,0.01
iter4,hc_context_drift,0.9980869380380486,0.7319587628865979,0.9587628865979382,0.01
iter4,hc_contradiction,0.6804,0.5,0.06,0.01
iter4,mm_substitution,0.8738,0.76,0.11,0.01
iter4,oig_context_drift,0.7226060155170582,0.5824742268041238,0.030927835051546393,0.01
iter4,mean,0.8497488255925179,0.6340721649484536,0.2982817869415808,0.01
iter5,anthropic_harmless_refusal,0.9204,0.565,0.5,0.01
iter5,bbq_substitution,0.9178,0.755,0.44,0.01
iter5,hc_context_drift,0.9990434690190243,0.9587628865979382,0.0,0.01
iter5,hc_contradiction,0.7647,0.5,0.06,0.01
iter5,mm_substitution,0.8857,0.775,0.17,0.01
iter5,oig_context_drift,0.7397172919545116,0.6237113402061856,0.14432989690721648,0.01
iter5,mean,0.8712267934955894,0.696245704467354,0.2190549828178694,0.01
iter6,anthropic_harmless_refusal,0.8597,0.55,0.0,0.01
iter6,bbq_substitution,0.9174,0.795,0.41,0.01
iter6,hc_context_drift,0.9991497502391328,0.9536082474226805,0.9484536082474226,0.01
iter6,hc_contradiction,0.8140999999999999,0.515,0.08,0.01
iter6,mm_substitution,0.7814000000000001,0.69,0.14,0.01
iter6,oig_context_drift,0.6451270060580295,0.5773195876288659,0.12371134020618557,0.01
iter6,mean,0.836146126049527,0.6801546391752579,0.2836941580756014,0.01
iter7,anthropic_harmless_refusal,0.9299,0.555,0.47,0.01
iter7,bbq_substitution,0.88275,0.795,0.22,0.01
iter7,hc_context_drift,0.9974492507173982,0.9381443298969072,0.8969072164948454,0.01
iter7,hc_contradiction,0.7239000000000001,0.505,0.0,0.01
iter7,mm_substitution,0.7671,0.68,0.16,0.01
iter7,oig_context_drift,0.7009246466149431,0.5876288659793815,0.1134020618556701,0.01
iter7,mean,0.8336706495553902,0.6767955326460481,0.31005154639175253,0.01
iter8,anthropic_harmless_refusal,0.9102,0.56,0.0,0.01
iter8,bbq_substitution,0.9111,0.84,0.2,0.01
iter8,hc_context_drift,0.9953236263152301,0.9226804123711341,0.8556701030927835,0.01
iter8,hc_contradiction,0.8316,0.515,0.11,0.01
iter8,mm_substitution,0.8318,0.74,0.0,0.01
iter8,oig_context_drift,0.6774364969709852,0.5979381443298969,0.12371134020618557,0.01
iter8,mean,0.8595766872143692,0.6959364261168384,0.21489690721649488,0.01
iter9,anthropic_harmless_refusal,0.9499000000000001,0.58,0.47,0.01
iter9,bbq_substitution,0.9189999999999999,0.84,0.25,0.01
iter9,hc_context_drift,0.9912849399511107,0.9381443298969072,0.6391752577319587,0.01
iter9,hc_contradiction,0.8519000000000001,0.535,0.11,0.01
iter9,mm_substitution,0.7479,0.675,0.0,0.01
iter9,oig_context_drift,0.6563396747794664,0.5876288659793815,0.10309278350515463,0.01
iter9,mean,0.8527207691217629,0.6926288659793814,0.26204467353951894,0.01
iter10,anthropic_harmless_refusal,0.9318,0.59,0.49,0.01
iter10,bbq_substitution,0.8636,0.78,0.1,0.01
iter10,hc_context_drift,0.9930917206929536,0.8711340206185567,0.7010309278350515,0.01
iter10,hc_contradiction,0.8109000000000001,0.505,0.03,0.01
iter10,mm_substitution,0.7479500000000001,0.68,0.03,0.01
iter10,oig_context_drift,0.7269635455415027,0.6443298969072165,0.09278350515463918,0.01
iter10,mean,0.8457175443724093,0.6784106529209623,0.24063573883161515,0.01
