round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.5237,0.51,0.03,0.01
iter0,bbq_substitution,0.5783,0.495,0.0,0.01
iter0,hc_context_drift,0.7327027314273568,0.5103092783505154,0.010309278350515464,0.01
iter0,hc_contradiction,0.6897,0.535,0.11,0.01
iter0,mm_substitution,0.7937,0.61,0.0,0.01
iter0,oig_context_drift,0.5903921777022001,0.5051546391752577,0.030927835051546393,0.01
iter0,mean,0.6514158181882596,0.5275773195876289,0.03020618556701031,0.01
iter1,anthropic_harmless_refusal,0.49310000000000004,0.53,0.15,0.01
iter1,bbq_substitution,0.93025,0.695,0.22,0.01
iter1,hc_context_drift,0.8335636093102349,0.7783505154639175,0.0,0.01
iter1,hc_contradiction,0.9188000000000001,0.695,0.27,0.01
iter1,mm_substitution,0.9074,0.665,0.33,0.01
iter1,oig_context_drift,0.7734084387288767,0.6288659793814433,0.061855670103092786,0.01
iter1,mean,0.8094203413398521,0.6653694158075601,0.17197594501718214,0.01
iter2,anthropic_harmless_refusal,0.3939000000000001,0.54,0.0,0.01
iter2,bbq_substitution,0.9366,0.705,0.06,0.01
iter2,hc_context_drift,0.7531618662982251,0.7268041237113402,0.0,0.01
iter2,hc_contradiction,0.9111,0.765,0.0,0.01
iter2,mm_substitution,0.9168999999999999,0.68,0.09,0.01
iter2,oig_context_drift,0.7806355616962481,0.6391752577319587,0.28865979381443296,0.01
iter2,mean,0.7820495713324123,0.6759965635738832,0.07310996563573884,0.01
iter3,anthropic_harmless_refusal,0.27869999999999995,0.535,0.0,0.01
iter3,bbq_substitution,0.9539500000000001,0.865,0.01,0.01
iter3,hc_context_drift,0.8628440854501009,0.7319587628865979,0.0,0.01
iter3,hc_contradiction,0.9058999999999999,0.815,0.25,0.01
iter3,mm_substitution,0.9208000000000002,0.765,0.04,0.01
iter3,oig_context_drift,0.8663513657136784,0.6649484536082474,0.1958762886597938,0.01
iter3,mean,0.7980909085272966,0.7294845360824742,0.08264604810996563,0.01
iter4,anthropic_harmless_refusal,0.33999999999999997,0.54,0.08,0.01
iter4,bbq_substitution,0.9296,0.755,0.02,0.01
iter4,hc_context_drift,0.858699117865873,0.788659793814433,0.0,0.01
iter4,hc_contradiction,0.8695,0.745,0.15,0.01
iter4,mm_substitution,0.83345,0.72,0.02,0.01
iter4,oig_context_drift,0.7944521203103412,0.5979381443298969,0.17525773195876287,0.01
iter4,mean,0.7709502063627024,0.6910996563573882,0.07420962199312715,0.01
iter5,anthropic_harmless_refusal,0.29890000000000005,0.53,0.07,0.01
iter5,bbq_substitution,0.8981000000000001,0.635,0.11,0.01
iter5,hc_context_drift,0.9494101392283983,0.8865979381443299,0.0,0.01
iter5,hc_contradiction,0.8167000000000001,0.62,0.08,0.01
iter5,mm_substitution,0.6631,0.535,0.03,0.01
iter5,oig_context_drift,0.805611648421724,0.6030927835051546,0.30927835051546393,0.01
iter5,mean,0.7386369646083537,0.6349484536082475,0.09987972508591066,0.01
iter6,anthropic_harmless_refusal,0.3125,0.54,0.08,0.01
iter6,bbq_substitution,0.8728,0.62,0.14,0.01
iter6,hc_context_drift,0.9175789138059305,0.865979381443299,0.0,0.01
iter6,hc_contradiction,0.8790999999999999,0.64,0.21,0.01
iter6,mm_substitution,0.7884999999999999,0.545,0.0,0.01
iter6,oig_context_drift,0.7355723243702836,0.5927835051546392,0.23711340206185566,0.01
iter6,mean,0.7510085396960356,0.6339604810996564,0.11118556701030928,0.01
iter7,anthropic_harmless_refusal,0.41109999999999997,0.545,0.1,0.01
iter7,bbq_substitution,0.8881,0.635,0.2,0.01
iter7,hc_context_drift,0.9267190987352535,0.8608247422680413,0.0,0.01
iter7,hc_contradiction,0.857,0.665,0.17,0.01
iter7,mm_substitution,0.8020999999999999,0.575,0.04,0.01
iter7,oig_context_drift,0.8043894143904771,0.654639175257732,0.0,0.01
iter7,mean,0.7815680855209551,0.6559106529209623,0.08500000000000002,0.01
iter8,anthropic_harmless_refusal,0.5486,0.545,0.1,0.01
iter8,bbq_substitution,0.8636,0.645,0.16,0.01
iter8,hc_context_drift,0.9456371559145498,0.8608247422680413,0.0,0.01
iter8,hc_contradiction,0.8422,0.625,0.22,0.01
iter8,mm_substitution,0.7462000000000001,0.58,0.01,0.01
iter8,oig_context_drift,0.7964714634924009,0.6701030927835051,0.29896907216494845,0.01
iter8,mean,0.7904514365678251,0.6543213058419244,0.13149484536082476,0.01
iter9,anthropic_harmless_refusal,0.3579,0.55,0.09,0.01
iter9,bbq_substitution,0.8818,0.735,0.21,0.01
iter9,hc_context_drift,0.9341056435327878,0.8350515463917526,0.0,0.01
iter9,hc_contradiction,0.8361999999999999,0.665,0.28,0.01
iter9,mm_substitution,0.7757,0.665,0.03,0.01
iter9,oig_context_drift,0.7823360612179828,0.6597938144329897,0.24742268041237114,0.01
iter9,mean,0.7613402841251284,0.6849742268041238,0.14290378006872853,0.01
iter10,anthropic_harmless_refusal,0.15800000000000003,0.48,0.03,0.01
iter10,bbq_substitution,0.9322999999999999,0.825,0.0,0.01
iter10,hc_context_drift,0.9586566053778298,0.8917525773195877,0.0,0.01
iter10,hc_contradiction,0.8563,0.65,0.19,0.01
iter10,mm_substitution,0.7888,0.61,0.12,0.01
iter10,oig_context_drift,0.8374960144542459,0.7010309278350515,0.0,0.01
iter10,mean,0.7552587699720127,0.6929639175257732,0.056666666666666664,0.01
