round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.7669252843022638,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,mean,0.7672563405604563,0.7181357388316152,0.07333333333333333,0.01
iter1,anthropic_harmless_refusal,0.9829,0.53,0.68,0.01
iter1,bbq_substitution,0.8778,0.715,0.15,0.01
iter1,hc_context_drift,0.642363694335211,0.6237113402061856,0.020618556701030927,0.01
iter1,hc_contradiction,0.8089000000000001,0.75,0.36,0.01
iter1,mm_substitution,0.8453,0.655,0.14,0.01
iter1,oig_context_drift,0.7475821022425337,0.5721649484536082,0.0,0.01
iter1,mean,0.8174742994296241,0.6409793814432989,0.22510309278350515,0.01
iter2,anthropic_harmless_refusal,0.9768,0.55,0.65,0.01
iter2,bbq_substitution,0.8434999999999999,0.71,0.17,0.01
iter2,hc_context_drift,0.7018280369858646,0.5824742268041238,0.010309278350515464,0.01
iter2,hc_contradiction,0.8684000000000001,0.8,0.36,0.01
iter2,mm_substitution,0.9191999999999999,0.76,0.21,0.01
iter2,oig_context_drift,0.7910511212668723,0.654639175257732,0.15463917525773196,0.01
iter2,mean,0.8501298597087895,0.6761855670103093,0.25915807560137455,0.01
iter3,anthropic_harmless_refusal,0.9787,0.57,0.88,0.01
iter3,bbq_substitution,0.9391,0.845,0.4,0.01
iter3,hc_context_drift,0.6736635136571368,0.6237113402061856,0.010309278350515464,0.01
iter3,hc_contradiction,0.8197,0.77,0.2,0.01
iter3,mm_substitution,0.8253,0.745,0.23,0.01
iter3,oig_context_drift,0.7313742161760017,0.6649484536082474,0.1134020618556701,0.01
iter3,mean,0.8279729549721898,0.7031099656357389,0.30561855670103094,0.01
iter4,anthropic_harmless_refusal,0.94505,0.56,0.71,0.01
iter4,bbq_substitution,0.8803,0.705,0.23,0.01
iter4,hc_context_drift,0.6465086619194389,0.6030927835051546,0.010309278350515464,0.01
iter4,hc_contradiction,0.7803,0.77,0.3,0.01
iter4,mm_substitution,0.8215,0.715,0.0,0.01
iter4,oig_context_drift,0.7748963758103944,0.6494845360824743,0.08247422680412371,0.01
iter4,mean,0.8080925062883054,0.6670962199312714,0.22213058419243983,0.01
iter5,anthropic_harmless_refusal,0.9749000000000001,0.6,0.69,0.01
iter5,bbq_substitution,0.9029499999999999,0.795,0.32,0.01
iter5,hc_context_drift,0.6098947815920928,0.5618556701030928,0.010309278350515464,0.01
iter5,hc_contradiction,0.77685,0.725,0.09,0.01
iter5,mm_substitution,0.8247,0.74,0.3,0.01
iter5,oig_context_drift,0.7718142204272506,0.6958762886597938,0.041237113402061855,0.01
iter5,mean,0.8101848336698906,0.6862886597938145,0.24192439862542958,0.01
iter6,anthropic_harmless_refusal,0.9566000000000001,0.6,0.52,0.01
iter6,bbq_substitution,0.8861,0.74,0.22,0.01
iter6,hc_context_drift,0.594590285896482,0.5721649484536082,0.010309278350515464,0.01
iter6,hc_contradiction,0.7846,0.67,0.17,0.01
iter6,mm_substitution,0.7664,0.7,0.14,0.01
iter6,oig_context_drift,0.7744181103199064,0.711340206185567,0.041237113402061855,0.01
iter6,mean,0.7937847327027315,0.6655841924398626,0.18359106529209623,0.01
iter7,anthropic_harmless_refusal,0.9447500000000001,0.6,0.51,0.01
iter7,bbq_substitution,0.9022,0.785,0.3,0.01
iter7,hc_context_drift,0.6011797215432032,0.5618556701030928,0.010309278350515464,0.01
iter7,hc_contradiction,0.8015500000000001,0.755,0.16,0.01
iter7,mm_substitution,0.8408499999999999,0.765,0.0,0.01
iter7,oig_context_drift,0.797799978743756,0.7422680412371134,0.041237113402061855,0.01
iter7,mean,0.8147216167144932,0.701520618556701,0.1702577319587629,0.01
iter8,anthropic_harmless_refusal,0.9436999999999999,0.595,0.72,0.01
iter8,bbq_substitution,0.9139,0.76,0.26,0.01
iter8,hc_context_drift,0.63008821341269,0.5670103092783505,0.010309278350515464,0.01
iter8,hc_contradiction,0.8351,0.795,0.12,0.01
iter8,mm_substitution,0.8243,0.765,0.0,0.01
iter8,oig_context_drift,0.8499309172069296,0.7525773195876289,0.16494845360824742,0.01
iter8,mean,0.8328365217699365,0.7057646048109966,0.2125429553264605,0.01
iter9,anthropic_harmless_refusal,0.9541000000000001,0.58,0.79,0.01
iter9,bbq_substitution,0.84115,0.73,0.0,0.01
iter9,hc_context_drift,0.6754171537889255,0.6597938144329897,0.010309278350515464,0.01
iter9,hc_contradiction,0.7572999999999999,0.715,0.06,0.01
iter9,mm_substitution,0.79005,0.735,0.0,0.01
iter9,oig_context_drift,0.8767137846742481,0.8092783505154639,0.29896907216494845,0.01
iter9,mean,0.8157884897438622,0.7048453608247423,0.193213058419244,0.01
iter10,anthropic_harmless_refusal,0.9741,0.625,0.79,0.01
iter10,bbq_substitution,0.8392999999999999,0.715,0.43,0.01
iter10,hc_context_drift,0.8695398023169306,0.788659793814433,0.05154639175257732,0.01
iter10,hc_contradiction,0.6933499999999999,0.635,0.05,0.01
iter10,mm_substitution,0.8348,0.75,0.33,0.01
iter10,oig_context_drift,0.9141247741524072,0.8505154639175257,0.41237113402061853,0.01
iter10,mean,0.8542024294115563,0.7273625429553263,0.3439862542955327,0.01
