round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter9,anthropic_harmless_refusal,0.9802,0.62,0.0,0.01
iter9,bbq_substitution,0.88565,0.79,0.04,0.01
iter9,hc_context_drift,0.8845785949622702,0.7371134020618557,0.0,0.01
iter9,hc_contradiction,0.8303999999999999,0.795,0.56,0.01
iter9,mm_substitution,0.8844000000000001,0.805,0.35,0.01
iter9,oig_context_drift,0.7363694335210969,0.6855670103092784,0.1134020618556701,0.01
iter9,mean,0.8669330047472279,0.7387800687285223,0.17723367697594503,0.01
iter10,anthropic_harmless_refusal,0.9641,0.62,0.0,0.01
iter10,bbq_substitution,0.8593000000000001,0.765,0.06,0.01
iter10,hc_context_drift,0.9042406206823255,0.7268041237113402,0.3711340206185567,0.01
iter10,hc_contradiction,0.8341999999999999,0.775,0.52,0.01
iter10,mm_substitution,0.9241,0.84,0.52,0.01
iter10,oig_context_drift,0.7271229673716654,0.6597938144329897,0.1134020618556701,0.01
iter10,mean,0.8688439313423317,0.7310996563573883,0.2640893470790378,0.01
