round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.7669252843022638,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,mean,0.7672563405604563,0.7181357388316152,0.07333333333333333,0.01
iter1,anthropic_harmless_refusal,0.9733,0.56,0.84,0.01
iter1,bbq_substitution,0.8923,0.71,0.01,0.01
iter1,hc_context_drift,0.689393134233181,0.6443298969072165,0.020618556701030927,0.01
iter1,hc_contradiction,0.8938999999999999,0.82,0.2,0.01
iter1,mm_substitution,0.9135,0.755,0.44,0.01
iter1,oig_context_drift,0.7774471250929961,0.654639175257732,0.26804123711340205,0.01
iter1,mean,0.8566400432210295,0.6906615120274914,0.2964432989690721,0.01
iter2,anthropic_harmless_refusal,0.9791,0.61,0.82,0.01
iter2,bbq_substitution,0.9307,0.865,0.14,0.01
iter2,hc_context_drift,0.623286215325752,0.5927835051546392,0.0,0.01
iter2,hc_contradiction,0.9137499999999998,0.845,0.15,0.01
iter2,mm_substitution,0.8284,0.675,0.12,0.01
iter2,oig_context_drift,0.7344032309490912,0.6443298969072165,0.15463917525773196,0.01
iter2,mean,0.8349399077124738,0.705352233676976,0.23077319587628864,0.01
iter3,anthropic_harmless_refusal,0.9848,0.63,0.82,0.01
iter3,bbq_substitution,0.8774000000000001,0.82,0.03,0.01
iter3,hc_context_drift,0.5748219789563185,0.5670103092783505,0.0,0.01
iter3,hc_contradiction,0.93295,0.875,0.37,0.01
iter3,mm_substitution,0.8601000000000001,0.695,0.17,0.01
iter3,oig_context_drift,0.7956212137315336,0.6649484536082474,0.24742268041237114,0.01
iter3,mean,0.837615532114642,0.7086597938144329,0.2729037800687285,0.01
iter4,anthropic_harmless_refusal,0.9722000000000001,0.605,0.83,0.01
iter4,bbq_substitution,0.8905000000000001,0.81,0.16,0.01
iter4,hc_context_drift,0.5948559889467532,0.5721649484536082,0.0,0.01
iter4,hc_contradiction,0.932,0.88,0.21,0.01
iter4,mm_substitution,0.8755,0.69,0.25,0.01
iter4,oig_context_drift,0.7609735359761929,0.6443298969072165,0.24742268041237114,0.01
iter4,mean,0.8376715874871578,0.7002491408934709,0.2829037800687285,0.01
iter5,anthropic_harmless_refusal,0.9674999999999999,0.65,0.8,0.01
iter5,bbq_substitution,0.9119499999999999,0.86,0.0,0.01
iter5,hc_context_drift,0.6047401424168349,0.5927835051546392,0.0,0.01
iter5,hc_contradiction,0.9428500000000001,0.87,0.53,0.01
iter5,mm_substitution,0.7649,0.685,0.06,0.01
iter5,oig_context_drift,0.6954511637793603,0.654639175257732,0.12371134020618557,0.01
iter5,mean,0.8145652176993657,0.7187371134020619,0.2522852233676976,0.01
iter6,anthropic_harmless_refusal,0.9003000000000001,0.59,0.0,0.01
iter6,bbq_substitution,0.911,0.815,0.0,0.01
iter6,hc_context_drift,0.6787118716122861,0.5979381443298969,0.0,0.01
iter6,hc_contradiction,0.9184,0.845,0.0,0.01
iter6,mm_substitution,0.8466,0.7,0.23,0.01
iter6,oig_context_drift,0.7235625464980338,0.6391752577319587,0.12371134020618557,0.01
iter6,mean,0.8297624030183867,0.697852233676976,0.05895189003436426,0.01
iter7,anthropic_harmless_refusal,0.8549,0.59,0.5,0.01
iter7,bbq_substitution,0.9093,0.8,0.0,0.01
iter7,hc_context_drift,0.6809437772345627,0.6185567010309279,0.0,0.01
iter7,hc_contradiction,0.9335499999999999,0.885,0.0,0.01
iter7,mm_substitution,0.8135999999999999,0.705,0.24,0.01
iter7,oig_context_drift,0.6680837496014455,0.5927835051546392,0.0,0.01
iter7,mean,0.8100629211393345,0.6985567010309278,0.12333333333333334,0.01
iter8,anthropic_harmless_refusal,0.8396,0.575,0.0,0.01
iter8,bbq_substitution,0.8985000000000001,0.79,0.03,0.01
iter8,hc_context_drift,0.7244127962589011,0.5876288659793815,0.0,0.01
iter8,hc_contradiction,0.9379500000000001,0.865,0.34,0.01
iter8,mm_substitution,0.7398499999999999,0.655,0.19,0.01
iter8,oig_context_drift,0.6798809650334786,0.5773195876288659,0.12371134020618557,0.01
iter8,mean,0.8033656268820634,0.6749914089347079,0.11395189003436428,0.01
iter9,anthropic_harmless_refusal,0.8565,0.58,0.27,0.01
iter9,bbq_substitution,0.91625,0.825,0.02,0.01
iter9,hc_context_drift,0.8517908385588266,0.6185567010309279,0.0,0.01
iter9,hc_contradiction,0.9134000000000001,0.87,0.07,0.01
iter9,mm_substitution,0.7199,0.665,0.06,0.01
iter9,oig_context_drift,0.7196301413540227,0.634020618556701,0.12371134020618557,0.01
iter9,mean,0.8295784966521417,0.6987628865979382,0.09061855670103093,0.01
iter10,anthropic_harmless_refusal,0.8806,0.57,0.18,0.01
iter10,bbq_substitution,0.9194,0.77,0.1,0.01
iter10,hc_context_drift,0.7726113295780636,0.7061855670103093,0.0,0.01
iter10,hc_contradiction,0.9111,0.815,0.12,0.01
iter10,mm_substitution,0.7202000000000001,0.655,0.11,0.01
iter10,oig_context_drift,0.7257944521203104,0.6443298969072165,0.07216494845360824,0.01
iter10,mean,0.8216176302830625,0.6934192439862543,0.0970274914089347,0.01
