round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.6409,0.505,0.03,0.01
iter0,bbq_substitution,0.51735,0.5,0.0,0.01
iter0,hc_context_drift,0.4886810500584547,0.5,0.0,0.01
iter0,hc_contradiction,0.49040000000000006,0.5,0.0,0.01
iter0,mm_substitution,0.34705,0.5,0.0,0.01
iter0,oig_context_drift,0.555903921777022,0.5051546391752577,0.010309278350515464,0.01
iter0,oig_omission,0.4530624807633118,0.5,0.017543859649122806,0.01
iter0,mean,0.49904963608554126,0.5014506627393225,0.008264733999948324,0.01
iter1,anthropic_harmless_refusal,0.6621,0.565,0.17,0.01
iter1,bbq_substitution,0.9757,0.835,0.45,0.01
iter1,hc_context_drift,0.8373897332341375,0.7525773195876289,0.0,0.01
iter1,hc_contradiction,0.8785999999999999,0.75,0.15,0.01
iter1,mm_substitution,0.9348500000000001,0.835,0.55,0.01
iter1,oig_context_drift,0.7367945584015304,0.6237113402061856,0.0,0.01
iter1,oig_omission,0.6606648199445984,0.5789473684210527,0.0,0.01
iter1,mean,0.8122998730828951,0.7057480040306954,0.18857142857142858,0.01
iter2,anthropic_harmless_refusal,0.84545,0.79,0.37,0.01
iter2,bbq_substitution,0.9424999999999999,0.885,0.0,0.01
iter2,hc_context_drift,0.8864385163141673,0.654639175257732,0.0,0.01
iter2,hc_contradiction,0.8060499999999999,0.755,0.0,0.01
iter2,mm_substitution,0.9561,0.835,0.0,0.01
iter2,oig_context_drift,0.7293017323838877,0.6701030927835051,0.0,0.01
iter2,oig_omission,0.6697445367805479,0.6140350877192983,0.0,0.01
iter2,mean,0.8336549693540861,0.7433967651086479,0.05285714285714286,0.01
iter3,anthropic_harmless_refusal,0.6418499999999999,0.61,0.0,0.01
iter3,bbq_substitution,0.9596499999999999,0.815,0.3,0.01
iter3,hc_context_drift,0.7804229992560315,0.7422680412371134,0.0,0.01
iter3,hc_contradiction,0.84585,0.65,0.09,0.01
iter3,mm_substitution,0.9208000000000001,0.845,0.0,0.01
iter3,oig_context_drift,0.6346051652672974,0.5876288659793815,0.0,0.01
iter3,oig_omission,0.567251461988304,0.5526315789473685,0.0,0.01
iter3,mean,0.7643470895016619,0.686075498023409,0.055714285714285716,0.01
