round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.7190000000000001,0.495,0.0,0.01
iter0,bbq_substitution,0.877,0.52,0.0,0.01
iter0,hc_context_drift,0.8650228504623233,0.5773195876288659,0.0,0.01
iter0,hc_contradiction,0.7424,0.525,0.07,0.01
iter0,mm_substitution,0.8385,0.59,0.45,0.01
iter0,oig_context_drift,0.7020937400361356,0.5154639175257731,0.10309278350515463,0.01
iter0,mean,0.7906694317497432,0.5371305841924399,0.1038487972508591,0.01
iter1,anthropic_harmless_refusal,0.2431,0.515,0.03,0.01
iter1,bbq_substitution,0.9562,0.89,0.23,0.01
iter1,hc_context_drift,0.9486661706876396,0.8814432989690721,0.36082474226804123,0.01
iter1,hc_contradiction,0.88345,0.695,0.05,0.01
iter1,mm_substitution,0.9447,0.845,0.41,0.01
iter1,oig_context_drift,0.7363162929110426,0.5721649484536082,0.12371134020618557,0.01
iter1,mean,0.7854054105997803,0.7331013745704467,0.20075601374570448,0.01
iter2,anthropic_harmless_refusal,0.9796500000000001,0.54,0.41,0.01
iter2,bbq_substitution,0.95185,0.85,0.46,0.01
iter2,hc_context_drift,0.9635455415028165,0.865979381443299,0.7319587628865979,0.01
iter2,hc_contradiction,0.6606,0.505,0.06,0.01
iter2,mm_substitution,0.7661,0.67,0.18,0.01
iter2,oig_context_drift,0.793123605058986,0.5979381443298969,0.030927835051546393,0.01
iter2,mean,0.8524781910936339,0.6714862542955325,0.31214776632302405,0.01
iter3,anthropic_harmless_refusal,0.9653,0.545,0.2,0.01
iter3,bbq_substitution,0.9302,0.835,0.0,0.01
iter3,hc_context_drift,0.9632266978424913,0.8917525773195877,0.4742268041237113,0.01
iter3,hc_contradiction,0.8770000000000001,0.68,0.04,0.01
iter3,mm_substitution,0.88925,0.795,0.39,0.01
iter3,oig_context_drift,0.8338824529705601,0.6134020618556701,0.0,0.01
iter3,mean,0.9098098584688419,0.7266924398625431,0.18403780068728523,0.01
iter4,anthropic_harmless_refusal,0.9496,0.535,0.59,0.01
iter4,bbq_substitution,0.9386500000000001,0.775,0.1,0.01
iter4,hc_context_drift,0.9382506111170157,0.8608247422680413,0.3917525773195876,0.01
iter4,hc_contradiction,0.8919,0.69,0.05,0.01
iter4,mm_substitution,0.9107999999999999,0.78,0.0,0.01
iter4,oig_context_drift,0.8378148581145711,0.6134020618556701,0.1958762886597938,0.01
iter4,mean,0.9111692448719312,0.7090378006872852,0.22127147766323021,0.01
iter5,anthropic_harmless_refusal,0.9787,0.575,0.27,0.01
iter5,bbq_substitution,0.95275,0.915,0.11,0.01
iter5,hc_context_drift,0.9145498990328409,0.8298969072164949,0.0,0.01
iter5,hc_contradiction,0.9081,0.745,0.1,0.01
iter5,mm_substitution,0.9377,0.79,0.38,0.01
iter5,oig_context_drift,0.8163460516526729,0.634020618556701,0.17525773195876287,0.01
iter5,mean,0.9180243251142522,0.7481529209621994,0.17254295532646047,0.01
iter6,anthropic_harmless_refusal,0.9511999999999998,0.56,0.8,0.01
iter6,bbq_substitution,0.9661,0.875,0.48,0.01
iter6,hc_context_drift,0.8436603252205336,0.7577319587628866,0.05154639175257732,0.01
iter6,hc_contradiction,0.8372999999999999,0.625,0.03,0.01
iter6,mm_substitution,0.8982,0.74,0.43,0.01
iter6,oig_context_drift,0.8383994048251674,0.6597938144329897,0.29896907216494845,0.01
iter6,mean,0.88914328834095,0.7029209621993128,0.3484192439862543,0.01
iter7,anthropic_harmless_refusal,0.9778,0.57,0.71,0.01
iter7,bbq_substitution,0.9169,0.785,0.07,0.01
iter7,hc_context_drift,0.8090657880752471,0.7525773195876289,0.0,0.01
iter7,hc_contradiction,0.91795,0.84,0.19,0.01
iter7,mm_substitution,0.9529,0.815,0.72,0.01
iter7,oig_context_drift,0.8170900201934318,0.6185567010309279,0.0,0.01
iter7,mean,0.8986176347114464,0.7301890034364261,0.2816666666666667,0.01
iter8,anthropic_harmless_refusal,0.9359000000000001,0.57,0.33,0.01
iter8,bbq_substitution,0.9262999999999999,0.865,0.24,0.01
iter8,hc_context_drift,0.866776490594112,0.7680412371134021,0.16494845360824742,0.01
iter8,hc_contradiction,0.90465,0.785,0.08,0.01
iter8,mm_substitution,0.959,0.91,0.61,0.01
iter8,oig_context_drift,0.7557657561908809,0.6391752577319587,0.1134020618556701,0.01
iter8,mean,0.8913987077974989,0.7562027491408935,0.2563917525773196,0.01
iter9,anthropic_harmless_refusal,0.9259000000000001,0.575,0.0,0.01
iter9,bbq_substitution,0.9419500000000001,0.89,0.17,0.01
iter9,hc_context_drift,0.8006164310766287,0.7525773195876289,0.020618556701030927,0.01
iter9,hc_contradiction,0.8974500000000001,0.705,0.03,0.01
iter9,mm_substitution,0.9625000000000001,0.885,0.0,0.01
iter9,oig_context_drift,0.7466787118716123,0.6237113402061856,0.08247422680412371,0.01
iter9,mean,0.879182523824707,0.7385481099656358,0.05051546391752578,0.01
iter10,anthropic_harmless_refusal,0.8796,0.58,0.4,0.01
iter10,bbq_substitution,0.93735,0.865,0.0,0.01
iter10,hc_context_drift,0.8229354872993941,0.7628865979381443,0.0,0.01
iter10,hc_contradiction,0.8879999999999999,0.755,0.03,0.01
iter10,mm_substitution,0.98325,0.935,0.0,0.01
iter10,oig_context_drift,0.7012434902752684,0.5876288659793815,0.08247422680412371,0.01
iter10,mean,0.868729829595777,0.7475859106529209,0.08541237113402063,0.01
