round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.7190000000000001,0.495,0.0,0.01
iter0,bbq_substitution,0.877,0.52,0.0,0.01
iter0,hc_context_drift,0.8650228504623233,0.5773195876288659,0.0,0.01
iter0,hc_contradiction,0.7424,0.525,0.07,0.01
iter0,mm_substitution,0.8385,0.59,0.45,0.01
iter0,oig_context_drift,0.7020937400361356,0.5154639175257731,0.10309278350515463,0.01
iter0,mean,0.7906694317497432,0.5371305841924399,0.1038487972508591,0.01
iter1,anthropic_harmless_refusal,0.94215,0.505,0.65,0.01
iter1,bbq_substitution,0.9380000000000001,0.775,0.69,0.01
iter1,hc_context_drift,0.9694972898288872,0.7268041237113402,0.7216494845360825,0.01
iter1,hc_contradiction,0.64,0.5,0.01,0.01
iter1,mm_substitution,0.6951,0.58,0.12,0.01
iter1,oig_context_drift,0.6315230098841536,0.5721649484536082,0.0,0.01
iter1,mean,0.8027117166188402,0.6098281786941581,0.36527491408934704,0.01
iter2,anthropic_harmless_refusal,0.9410499999999999,0.515,0.72,0.01
iter2,bbq_substitution,0.8691,0.735,0.57,0.01
iter2,hc_context_drift,0.9824635986821129,0.8350515463917526,0.7319587628865979,0.01
iter2,hc_contradiction,0.569,0.5,0.0,0.01
iter2,mm_substitution,0.6786000000000001,0.57,0.06,0.01
iter2,oig_context_drift,0.6904028058242109,0.5927835051546392,0.18556701030927836,0.01
iter2,mean,0.7884360674177207,0.6246391752577319,0.3779209621993127,0.01
iter3,anthropic_harmless_refusal,0.9433999999999999,0.51,0.78,0.01
iter3,bbq_substitution,0.9129999999999999,0.775,0.36,0.01
iter3,hc_context_drift,0.9852269104049314,0.9432989690721649,0.7525773195876289,0.01
iter3,hc_contradiction,0.7771,0.54,0.08,0.01
iter3,mm_substitution,0.8146,0.715,0.25,0.01
iter3,oig_context_drift,0.7751089382506111,0.6134020618556701,0.10309278350515463,0.01
iter3,mean,0.8680726414425903,0.6827835051546393,0.3876116838487973,0.01
iter4,anthropic_harmless_refusal,0.9508000000000001,0.525,0.77,0.01
iter4,bbq_substitution,0.9038499999999999,0.81,0.29,0.01
iter4,hc_context_drift,0.9917632054415985,0.9432989690721649,0.7422680412371134,0.01
iter4,hc_contradiction,0.7991,0.535,0.07,0.01
iter4,mm_substitution,0.8443999999999999,0.675,0.24,0.01
iter4,oig_context_drift,0.7662875969816134,0.6082474226804123,0.041237113402061855,0.01
iter4,mean,0.8760334670705353,0.6827577319587629,0.35891752577319586,0.01
iter5,anthropic_harmless_refusal,0.8831499999999999,0.52,0.57,0.01
iter5,bbq_substitution,0.9332,0.73,0.13,0.01
iter5,hc_context_drift,0.9447869061536827,0.8814432989690721,0.13402061855670103,0.01
iter5,hc_contradiction,0.6978500000000001,0.55,0.1,0.01
iter5,mm_substitution,0.8292,0.695,0.0,0.01
iter5,oig_context_drift,0.7777659687533213,0.5824742268041238,0.08247422680412371,0.01
iter5,mean,0.8443254791511673,0.6598195876288661,0.16941580756013744,0.01
iter6,anthropic_harmless_refusal,0.8955,0.51,0.68,0.01
iter6,bbq_substitution,0.9417500000000001,0.86,0.3,0.01
iter6,hc_context_drift,0.9351153151238176,0.8917525773195877,0.0,0.01
iter6,hc_contradiction,0.8059000000000001,0.6,0.11,0.01
iter6,mm_substitution,0.9122,0.815,0.61,0.01
iter6,oig_context_drift,0.766447018811776,0.5670103092783505,0.030927835051546393,0.01
iter6,mean,0.8761520556559322,0.7072938144329898,0.2884879725085911,0.01
iter7,anthropic_harmless_refusal,0.916,0.53,0.0,0.01
iter7,bbq_substitution,0.9496,0.88,0.23,0.01
iter7,hc_context_drift,0.9178446168562016,0.865979381443299,0.030927835051546393,0.01
iter7,hc_contradiction,0.8087000000000001,0.615,0.0,0.01
iter7,mm_substitution,0.9004,0.755,0.5,0.01
iter7,oig_context_drift,0.7877564034435115,0.5721649484536082,0.1134020618556701,0.01
iter7,mean,0.8800501700499522,0.7030240549828178,0.1457216494845361,0.01
iter8,anthropic_harmless_refusal,0.9497,0.535,0.88,0.01
iter8,bbq_substitution,0.95205,0.845,0.09,0.01
iter8,hc_context_drift,0.9934105643532787,0.9639175257731959,0.711340206185567,0.01
iter8,hc_contradiction,0.7378999999999999,0.555,0.08,0.01
iter8,mm_substitution,0.9167,0.75,0.59,0.01
iter8,oig_context_drift,0.7688383462642151,0.5721649484536082,0.10309278350515463,0.01
iter8,mean,0.8864331517695822,0.7035137457044675,0.4090721649484536,0.01
iter9,anthropic_harmless_refusal,0.9513,0.55,0.72,0.01
iter9,bbq_substitution,0.9474,0.865,0.19,0.01
iter9,hc_context_drift,0.9899032840897014,0.9278350515463918,0.7628865979381443,0.01
iter9,hc_contradiction,0.7569,0.565,0.04,0.01
iter9,mm_substitution,0.9432,0.8,0.59,0.01
iter9,oig_context_drift,0.7976405569135934,0.5927835051546392,0.15463917525773196,0.01
iter9,mean,0.8977239735005492,0.7167697594501719,0.4095876288659794,0.01
iter10,anthropic_harmless_refusal,0.9409999999999998,0.545,0.82,0.01
iter10,bbq_substitution,0.9313,0.855,0.0,0.01
iter10,hc_context_drift,0.9909660962907855,0.9175257731958762,0.8247422680412371,0.01
iter10,hc_contradiction,0.7221,0.565,0.05,0.01
iter10,mm_substitution,0.9087000000000001,0.75,0.28,0.01
iter10,oig_context_drift,0.7787224997342969,0.5979381443298969,0.17525773195876287,0.01
iter10,mean,0.8787980993375136,0.7050773195876289,0.35833333333333334,0.01
