round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.7190000000000001,0.495,0.0,0.01
iter0,bbq_substitution,0.877,0.52,0.0,0.01
iter0,hc_context_drift,0.8650228504623233,0.5773195876288659,0.0,0.01
iter0,hc_contradiction,0.7424,0.525,0.07,0.01
iter0,mm_substitution,0.8385,0.59,0.45,0.01
iter0,oig_context_drift,0.7020937400361356,0.5154639175257731,0.10309278350515463,0.01
iter0,mean,0.7906694317497432,0.5371305841924399,0.1038487972508591,0.01
iter1,anthropic_harmless_refusal,0.825,0.515,0.24,0.01
iter1,bbq_substitution,0.947,0.66,0.26,0.01
iter1,hc_context_drift,0.7588479115740249,0.5154639175257731,0.041237113402061855,0.01
iter1,hc_contradiction,0.6102,0.53,0.08,0.01
iter1,mm_substitution,0.6802,0.575,0.0,0.01
iter1,oig_context_drift,0.6647890317780848,0.5154639175257731,0.010309278350515464,0.01
iter1,mean,0.7476728238920183,0.5518213058419245,0.10525773195876287,0.01
iter2,anthropic_harmless_refusal,0.6120000000000001,0.51,0.0,0.01
iter2,bbq_substitution,0.95645,0.525,0.43,0.01
iter2,hc_context_drift,0.752577319587629,0.5154639175257731,0.14432989690721648,0.01
iter2,hc_contradiction,0.5326000000000001,0.5,0.04,0.01
iter2,mm_substitution,0.6517,0.545,0.11,0.01
iter2,oig_context_drift,0.7041130832181953,0.5773195876288659,0.2268041237113402,0.01
iter2,mean,0.7015734004676374,0.5287972508591064,0.15852233676975944,0.01
iter3,anthropic_harmless_refusal,0.1904,0.475,0.01,0.01
iter3,bbq_substitution,0.9368000000000001,0.585,0.1,0.01
iter3,hc_context_drift,0.6940163673078968,0.520618556701031,0.020618556701030927,0.01
iter3,hc_contradiction,0.656,0.53,0.08,0.01
iter3,mm_substitution,0.6386,0.605,0.12,0.01
iter3,oig_context_drift,0.705069614199171,0.5773195876288659,0.16494845360824742,0.01
iter3,mean,0.6368143302511781,0.5488230240549828,0.08259450171821305,0.01
iter4,anthropic_harmless_refusal,0.556,0.535,0.06,0.01
iter4,bbq_substitution,0.9243999999999999,0.71,0.07,0.01
iter4,hc_context_drift,0.8063556169624827,0.7371134020618557,0.010309278350515464,0.01
iter4,hc_contradiction,0.8753,0.645,0.19,0.01
iter4,mm_substitution,0.8042499999999999,0.74,0.13,0.01
iter4,oig_context_drift,0.7634180040386864,0.6855670103092784,0.07216494845360824,0.01
iter4,mean,0.7882872701668614,0.6754467353951891,0.08874570446735396,0.01
iter5,anthropic_harmless_refusal,0.5257,0.52,0.06,0.01
iter5,bbq_substitution,0.9472,0.805,0.29,0.01
iter5,hc_context_drift,0.6360399617387608,0.6082474226804123,0.0,0.01
iter5,hc_contradiction,0.8833,0.72,0.13,0.01
iter5,mm_substitution,0.85995,0.775,0.26,0.01
iter5,oig_context_drift,0.6662238282495483,0.6030927835051546,0.020618556701030927,0.01
iter5,mean,0.7530689649980515,0.6718900343642612,0.12676975945017183,0.01
iter6,anthropic_harmless_refusal,0.36219999999999997,0.47,0.02,0.01
iter6,bbq_substitution,0.9407,0.825,0.23,0.01
iter6,hc_context_drift,0.6932192581570836,0.654639175257732,0.0,0.01
iter6,hc_contradiction,0.87315,0.75,0.09,0.01
iter6,mm_substitution,0.8338,0.725,0.32,0.01
iter6,oig_context_drift,0.6738229354872995,0.6082474226804123,0.010309278350515464,0.01
iter6,mean,0.7294820322740638,0.672147766323024,0.11171821305841922,0.01
iter7,anthropic_harmless_refusal,0.34475,0.395,0.01,0.01
iter7,bbq_substitution,0.9398,0.71,0.2,0.01
iter7,hc_context_drift,0.7852056541609098,0.7474226804123711,0.0,0.01
iter7,hc_contradiction,0.82225,0.62,0.07,0.01
iter7,mm_substitution,0.7173,0.68,0.14,0.01
iter7,oig_context_drift,0.6587310022319057,0.6030927835051546,0.07216494845360824,0.01
iter7,mean,0.7113394427321359,0.6259192439862543,0.08202749140893471,0.01
iter8,anthropic_harmless_refusal,0.4678,0.51,0.0,0.01
iter8,bbq_substitution,0.9519,0.73,0.19,0.01
iter8,hc_context_drift,0.7419491975767881,0.6134020618556701,0.0,0.01
iter8,hc_contradiction,0.8858,0.645,0.03,0.01
iter8,mm_substitution,0.7818,0.66,0.22,0.01
iter8,oig_context_drift,0.650228504623233,0.5773195876288659,0.14432989690721648,0.01
iter8,mean,0.7465796170333369,0.6226202749140893,0.09738831615120275,0.01
iter9,anthropic_harmless_refusal,0.439,0.465,0.0,0.01
iter9,bbq_substitution,0.9435,0.795,0.24,0.01
iter9,hc_context_drift,0.7025188649165692,0.5618556701030928,0.010309278350515464,0.01
iter9,hc_contradiction,0.87435,0.665,0.05,0.01
iter9,mm_substitution,0.7809999999999999,0.68,0.24,0.01
iter9,oig_context_drift,0.6702093740036136,0.5927835051546392,0.020618556701030927,0.01
iter9,mean,0.7350963731533637,0.626606529209622,0.09348797250859107,0.01
iter10,anthropic_harmless_refusal,0.5843,0.525,0.01,0.01
iter10,bbq_substitution,0.9493999999999999,0.805,0.41,0.01
iter10,hc_context_drift,0.7253161866298226,0.6134020618556701,0.0,0.01
iter10,hc_contradiction,0.9138999999999999,0.72,0.04,0.01
iter10,mm_substitution,0.8370000000000001,0.735,0.24,0.01
iter10,oig_context_drift,0.6687214369220958,0.6082474226804123,0.041237113402061855,0.01
iter10,mean,0.7797729372586529,0.6677749140893471,0.12353951890034363,0.01
