round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.6733499999999999,0.515,0.0,0.01
iter1,bbq_substitution,0.9284,0.69,0.17,0.01
iter1,hc_context_drift,0.6492188330322033,0.5154639175257731,0.010309278350515464,0.01
iter1,hc_contradiction,0.8128,0.52,0.05,0.01
iter1,mm_substitution,0.7854,0.63,0.2,0.01
iter1,oig_context_drift,0.6484217238813902,0.5463917525773195,0.0,0.01
iter1,oig_omission,0.6925207756232686,0.5175438596491229,0.10526315789473684,0.01
iter1,mean,0.7414444760766947,0.562057075678888,0.07651034803503605,0.01
