round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.49729999999999996,0.535,0.13,0.01
iter1,bbq_substitution,0.91045,0.76,0.04,0.01
iter1,hc_context_drift,0.7553937719205017,0.6391752577319587,0.0,0.01
iter1,hc_contradiction,0.9411,0.83,0.44,0.01
iter1,mm_substitution,0.9444,0.78,0.41,0.01
iter1,oig_context_drift,0.6799341056435328,0.6134020618556701,0.13402061855670103,0.01
iter1,oig_omission,0.6571252693136349,0.5350877192982456,0.07017543859649122,0.01
iter1,mean,0.7693861638396672,0.6703807198408392,0.1748851510218846,0.01
