round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.33420000000000005,0.54,0.0,0.01
iter1,bbq_substitution,0.8646,0.81,0.0,0.01
iter1,hc_context_drift,0.8063024763524285,0.7216494845360825,0.0,0.01
iter1,hc_contradiction,0.89165,0.76,0.0,0.01
iter1,mm_substitution,0.92515,0.795,0.37,0.01
iter1,oig_context_drift,0.7145286427888192,0.6237113402061856,0.0,0.01
iter1,oig_omission,0.7220683287165282,0.5964912280701754,0.14035087719298245,0.01
iter1,mean,0.7512142068368252,0.6924074361160634,0.07290726817042606,0.01
