round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.4267,0.54,0.14,0.01
iter1,bbq_substitution,0.8989499999999999,0.75,0.31,0.01
iter1,hc_context_drift,0.8628972260601552,0.7680412371134021,0.0,0.01
iter1,hc_contradiction,0.8945,0.745,0.14,0.01
iter1,mm_substitution,0.91805,0.77,0.31,0.01
iter1,oig_context_drift,0.7279200765224785,0.634020618556701,0.0,0.01
iter1,oig_omission,0.7502308402585411,0.6228070175438597,0.15789473684210525,0.01
iter1,mean,0.7827497346915964,0.6899812676019946,0.1511278195488722,0.01
