round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.31020000000000003,0.545,0.0,0.01
iter1,bbq_substitution,0.9409000000000001,0.715,0.04,0.01
iter1,hc_context_drift,0.8095971941757891,0.7371134020618557,0.0,0.01
iter1,hc_contradiction,0.9091,0.77,0.0,0.01
iter1,mm_substitution,0.9554499999999999,0.775,0.35,0.01
iter1,oig_context_drift,0.7820172175576575,0.5876288659793815,0.010309278350515464,0.01
iter1,oig_omission,0.7223761157279163,0.5087719298245614,0.0,0.01
iter1,mean,0.7756629324944804,0.6626448854093999,0.05718703976435935,0.01
