round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.7322,0.515,0.1,0.01
iter1,bbq_substitution,0.9336,0.66,0.0,0.01
iter1,hc_context_drift,0.8417472632585823,0.5876288659793815,0.10309278350515463,0.01
iter1,hc_contradiction,0.7244,0.52,0.05,0.01
iter1,mm_substitution,0.8567,0.69,0.41,0.01
iter1,oig_context_drift,0.6897651185035605,0.6134020618556701,0.0,0.01
iter1,oig_omission,0.6386580486303478,0.5350877192982456,0.07017543859649122,0.01
iter1,mean,0.7738672043417845,0.5887312353047568,0.10475260315737797,0.01
