round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.70965,0.51,0.07,0.01
iter1,bbq_substitution,0.90705,0.69,0.24,0.01
iter1,hc_context_drift,0.7456690402805825,0.6494845360824743,0.0,0.01
iter1,hc_contradiction,0.86795,0.695,0.13,0.01
iter1,mm_substitution,0.8946,0.73,0.3,0.01
iter1,oig_context_drift,0.7408863853757042,0.5979381443298969,0.041237113402061855,0.01
iter1,oig_omission,0.8239458294859957,0.6140350877192983,0.24561403508771928,0.01
iter1,mean,0.8128216078774689,0.6409225383045242,0.14669302121282587,0.01
