round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter2,anthropic_harmless_refusal,0.7099,0.52,0.19,0.01
iter2,bbq_substitution,0.9128499999999999,0.77,0.33,0.01
iter2,hc_context_drift,0.7658624721011797,0.711340206185567,0.0,0.01
iter2,hc_contradiction,0.8853,0.715,0.13,0.01
iter2,mm_substitution,0.9204,0.755,0.18,0.01
iter2,oig_context_drift,0.7381230736528854,0.5979381443298969,0.0,0.01
iter2,oig_omission,0.8494921514312096,0.6403508771929824,0.3684210526315789,0.01
iter2,mean,0.8259896710264678,0.6728041753869208,0.171203007518797,0.01
iter3,anthropic_harmless_refusal,0.7195999999999999,0.52,0.0,0.01
iter3,bbq_substitution,0.9253,0.76,0.33,0.01
iter3,hc_context_drift,0.7649590817302583,0.6494845360824743,0.010309278350515464,0.01
iter3,hc_contradiction,0.8684000000000001,0.65,0.12,0.01
iter3,mm_substitution,0.9057000000000001,0.73,0.31,0.01
iter3,oig_context_drift,0.753108725688171,0.5721649484536082,0.07216494845360824,0.01
iter3,oig_omission,0.8494921514312096,0.6491228070175439,0.42105263157894735,0.01
iter3,mean,0.8266514226928056,0.6472531845076609,0.18050383691186728,0.01
iter4,anthropic_harmless_refusal,0.6279,0.515,0.0,0.01
iter4,bbq_substitution,0.8953,0.74,0.44,0.01
iter4,hc_context_drift,0.8354766712721862,0.634020618556701,0.020618556701030927,0.01
iter4,hc_contradiction,0.8073000000000001,0.55,0.11,0.01
iter4,mm_substitution,0.8435,0.63,0.16,0.01
iter4,oig_context_drift,0.7686257838239983,0.5618556701030928,0.13402061855670103,0.01
iter4,oig_omission,0.7903970452446906,0.5789473684210527,0.2982456140350877,0.01
iter4,mean,0.7954999286201251,0.6014033795829781,0.1661263984704028,0.01
iter5,anthropic_harmless_refusal,0.6379999999999999,0.51,0.13,0.01
iter5,bbq_substitution,0.8931,0.745,0.46,0.01
iter5,hc_context_drift,0.825007971091508,0.6701030927835051,0.030927835051546393,0.01
iter5,hc_contradiction,0.8345,0.575,0.1,0.01
iter5,mm_substitution,0.8586,0.68,0.15,0.01
iter5,oig_context_drift,0.7659687533212881,0.5670103092783505,0.12371134020618557,0.01
iter5,oig_omission,0.804247460757156,0.5877192982456141,0.2631578947368421,0.01
iter5,mean,0.8027748835957074,0.6192618143296384,0.1796852957135106,0.01
