round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.34759999999999996,0.515,0.12,0.01
iter0,bbq_substitution,0.8986500000000001,0.775,0.0,0.01
iter0,hc_context_drift,0.7672972685726432,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077,0.83,0.0,0.01
iter0,mm_substitution,0.9365000000000001,0.885,0.32,0.01
iter0,oig_context_drift,0.7458816027207992,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.7959372114496769,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.771366583249017,0.7118607084722115,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.4365,0.535,0.0,0.01
iter1,bbq_substitution,0.8893000000000001,0.84,0.34,0.01
iter1,hc_context_drift,0.8509405887979594,0.7938144329896907,0.0,0.01
iter1,hc_contradiction,0.9098999999999999,0.755,0.06,0.01
iter1,mm_substitution,0.84225,0.735,0.15,0.01
iter1,oig_context_drift,0.689658837283452,0.6649484536082474,0.17525773195876287,0.01
iter1,oig_omission,0.8568790397045244,0.7192982456140351,0.3684210526315789,0.01
iter1,mean,0.782204066540848,0.7204373046017104,0.15623982637004885,0.01
iter2,anthropic_harmless_refusal,0.5849,0.53,0.28,0.01
iter2,bbq_substitution,0.8972,0.745,0.34,0.01
iter2,hc_context_drift,0.8280901264746519,0.7680412371134021,0.0,0.01
iter2,hc_contradiction,0.9198999999999999,0.76,0.17,0.01
iter2,mm_substitution,0.8736999999999999,0.725,0.16,0.01
iter2,oig_context_drift,0.7298331384844299,0.6597938144329897,0.10309278350515463,0.01
iter2,oig_omission,0.8842720837180671,0.7192982456140351,0.0,0.01
iter2,mean,0.8168421926681642,0.7010190424514896,0.15044182621502214,0.01
iter3,anthropic_harmless_refusal,0.6339499999999999,0.54,0.0,0.01
iter3,bbq_substitution,0.8851,0.77,0.11,0.01
iter3,hc_context_drift,0.7472632585822085,0.6597938144329897,0.0,0.01
iter3,hc_contradiction,0.93195,0.84,0.0,0.01
iter3,mm_substitution,0.9058999999999999,0.79,0.21,0.01
iter3,oig_context_drift,0.7574662557126156,0.6907216494845361,0.0,0.01
iter3,oig_omission,0.894429055093875,0.7192982456140351,0.40350877192982454,0.01
iter3,mean,0.8222940813412426,0.7156876727902229,0.10335839598997494,0.01
iter4,anthropic_harmless_refusal,0.6375000000000001,0.54,0.25,0.01
iter4,bbq_substitution,0.8914,0.77,0.1,0.01
iter4,hc_context_drift,0.7695823148049739,0.6443298969072165,0.0,0.01
iter4,hc_contradiction,0.92935,0.83,0.11,0.01
iter4,mm_substitution,0.9197500000000001,0.815,0.16,0.01
iter4,oig_context_drift,0.7510893825061112,0.6752577319587629,0.26804123711340205,0.01
iter4,oig_omission,0.8962757771622037,0.7631578947368421,0.42105263157894735,0.01
iter4,mean,0.82784963921047,0.7196779319432602,0.18701340981319278,0.01
iter5,anthropic_harmless_refusal,0.624,0.54,0.0,0.01
iter5,bbq_substitution,0.89305,0.775,0.1,0.01
iter5,hc_context_drift,0.7506111170156232,0.634020618556701,0.0,0.01
iter5,hc_contradiction,0.9348,0.83,0.33,0.01
iter5,mm_substitution,0.9152,0.805,0.24,0.01
iter5,oig_context_drift,0.7613986608566266,0.6958762886597938,0.0,0.01
iter5,oig_omission,0.8971991381963681,0.7543859649122807,0.43859649122807015,0.01
iter5,mean,0.8251798451526596,0.7191832674469679,0.15837092731829575,0.01
