arm,condition,seed,n_redteam_rows,n_train,n_val,dataset,auroc_pipeline,auroc_rank
gptoss120b,v2,42,674,562,112,anthropic_harmless_refusal,0.7963500000000001,0.7964000000000001
gptoss120b,v2,42,674,562,112,bbq_substitution,0.8782,0.91715
gptoss120b,v2,42,674,562,112,hc_context_drift,0.7309490912955681,0.7247847805292805
gptoss120b,v2,42,674,562,112,hc_contradiction,0.9205999999999999,0.9184
gptoss120b,v2,42,674,562,112,mm_substitution,0.82655,0.83235
gptoss120b,v2,42,674,562,112,oig_context_drift,0.5666383250079712,0.5634498884047189
gptoss120b,v2,42,674,562,112,oig_omission,0.7091412742382273,0.7091412742382271
gptoss120b,v2,42,674,562,112,mean,0.775489812934538,0.7802394204531753
gptoss120b,v2,43,674,562,112,anthropic_harmless_refusal,0.69045,0.6905500000000001
gptoss120b,v2,43,674,562,112,bbq_substitution,0.93625,0.9498500000000001
gptoss120b,v2,43,674,562,112,hc_context_drift,0.8309065788075248,0.8406844510574981
gptoss120b,v2,43,674,562,112,hc_contradiction,0.91885,0.91985
gptoss120b,v2,43,674,562,112,mm_substitution,0.8370000000000001,0.8386
gptoss120b,v2,43,674,562,112,oig_context_drift,0.6133489212456159,0.6144117334466999
gptoss120b,v2,43,674,562,112,oig_omission,0.6609726069559865,0.6622037550015389
gptoss120b,v2,43,674,562,112,mean,0.7839683010013039,0.7880214199293908
gptoss120b,v2,44,674,562,112,anthropic_harmless_refusal,0.72935,0.7293499999999999
gptoss120b,v2,44,674,562,112,bbq_substitution,0.8852499999999999,0.88305
gptoss120b,v2,44,674,562,112,hc_context_drift,0.648368583271336,0.641300882134127
gptoss120b,v2,44,674,562,112,hc_contradiction,0.8667,0.8655
gptoss120b,v2,44,674,562,112,mm_substitution,0.86945,0.8717
gptoss120b,v2,44,674,562,112,oig_context_drift,0.5404400042512488,0.5408651291316824
gptoss120b,v2,44,674,562,112,oig_omission,0.680363188673438,0.6820560172360726
gptoss120b,v2,44,674,562,112,mean,0.7457031108851461,0.7448317183574116
gptoss120b,v2,45,674,562,112,anthropic_harmless_refusal,0.5871,0.5871
gptoss120b,v2,45,674,562,112,bbq_substitution,0.9083000000000001,0.90895
gptoss120b,v2,45,674,562,112,hc_context_drift,0.711871612286109,0.7114996280157296
gptoss120b,v2,45,674,562,112,hc_contradiction,0.8504500000000002,0.8504499999999999
gptoss120b,v2,45,674,562,112,mm_substitution,0.8446,0.84505
gptoss120b,v2,45,674,562,112,oig_context_drift,0.6712721862046975,0.6714847486449144
gptoss120b,v2,45,674,562,112,oig_omission,0.6223453370267775,0.6224992305324715
gptoss120b,v2,45,674,562,112,mean,0.7422770193596548,0.7424333724561594
gptoss120b,v2,46,674,562,112,anthropic_harmless_refusal,0.6868500000000001,0.6868
gptoss120b,v2,46,674,562,112,bbq_substitution,0.8986,0.89915
gptoss120b,v2,46,674,562,112,hc_context_drift,0.6369964927197365,0.6359868211287065
gptoss120b,v2,46,674,562,112,hc_contradiction,0.8909,0.8906499999999999
gptoss120b,v2,46,674,562,112,mm_substitution,0.85965,0.8621
gptoss120b,v2,46,674,562,112,oig_context_drift,0.5540440004251249,0.5536188755446912
gptoss120b,v2,46,674,562,112,oig_omission,0.7239150507848569,0.7243767313019391
gptoss120b,v2,46,674,562,112,mean,0.7501365062756742,0.7503832039964767
gptoss120b,v2,47,674,562,112,anthropic_harmless_refusal,0.68835,0.68835
gptoss120b,v2,47,674,562,112,bbq_substitution,0.91535,0.9218500000000001
gptoss120b,v2,47,674,562,112,hc_context_drift,0.8024232118184716,0.7993410564353279
gptoss120b,v2,47,674,562,112,hc_contradiction,0.8685499999999999,0.86715
gptoss120b,v2,47,674,562,112,mm_substitution,0.7963499999999999,0.7973
gptoss120b,v2,47,674,562,112,oig_context_drift,0.6349771495376768,0.6361993835689234
gptoss120b,v2,47,674,562,112,oig_omission,0.6860572483841182,0.6859033548784241
gptoss120b,v2,47,674,562,112,mean,0.7702939442486095,0.7708705421260965
gptoss120b,v2,48,674,562,112,anthropic_harmless_refusal,0.7196499999999999,0.7196499999999999
gptoss120b,v2,48,674,562,112,bbq_substitution,0.9151999999999999,0.9191499999999999
gptoss120b,v2,48,674,562,112,hc_context_drift,0.76650015942183,0.7652779253905835
gptoss120b,v2,48,674,562,112,hc_contradiction,0.8199000000000001,0.81975
gptoss120b,v2,48,674,562,112,mm_substitution,0.8738000000000001,0.8738000000000001
gptoss120b,v2,48,674,562,112,oig_context_drift,0.6099479222021468,0.6103199064725262
gptoss120b,v2,48,674,562,112,oig_omission,0.7157586949830717,0.7156048014773777
gptoss120b,v2,48,674,562,112,mean,0.7743938252295782,0.7747932333343552
gptoss120b,v2,49,674,562,112,anthropic_harmless_refusal,0.7453000000000001,0.74525
gptoss120b,v2,49,674,562,112,bbq_substitution,0.88655,0.8847999999999999
gptoss120b,v2,49,674,562,112,hc_context_drift,0.6993835689233713,0.6957700074396853
gptoss120b,v2,49,674,562,112,hc_contradiction,0.88705,0.88685
gptoss120b,v2,49,674,562,112,mm_substitution,0.8509,0.85045
gptoss120b,v2,49,674,562,112,oig_context_drift,0.55537251567648,0.5557444999468594
gptoss120b,v2,49,674,562,112,oig_omission,0.6868267159125884,0.6868267159125885
gptoss120b,v2,49,674,562,112,mean,0.7587689715017772,0.7579558890427334
gptoss120b,v2,50,674,562,112,anthropic_harmless_refusal,0.7128,0.7127
gptoss120b,v2,50,674,562,112,bbq_substitution,0.8563,0.8504999999999999
gptoss120b,v2,50,674,562,112,hc_context_drift,0.6600063768732065,0.6503879264533956
gptoss120b,v2,50,674,562,112,hc_contradiction,0.8612000000000001,0.8614999999999999
gptoss120b,v2,50,674,562,112,mm_substitution,0.7572000000000001,0.7595
gptoss120b,v2,50,674,562,112,oig_context_drift,0.5481985333191626,0.5501115952811139
gptoss120b,v2,50,674,562,112,oig_omission,0.7414589104339797,0.7439212065250846
gptoss120b,v2,50,674,562,112,mean,0.733880545803764,0.7326601040370848
gptoss120b,v2,51,674,562,112,anthropic_harmless_refusal,0.47750000000000004,0.4803
gptoss120b,v2,51,674,562,112,bbq_substitution,0.8931999999999999,0.89115
gptoss120b,v2,51,674,562,112,hc_context_drift,0.5950154107769158,0.591454989903284
gptoss120b,v2,51,674,562,112,hc_contradiction,0.887,0.8858
gptoss120b,v2,51,674,562,112,mm_substitution,0.8241,0.82425
gptoss120b,v2,51,674,562,112,oig_context_drift,0.5747688383462642,0.5775321500690829
gptoss120b,v2,51,674,562,112,oig_omission,0.7719298245614036,0.7713142505386272
gptoss120b,v2,51,674,562,112,mean,0.7176448676692262,0.7174001986444278
gptoss120b,v3only,42,184,151,33,anthropic_harmless_refusal,0.7554500000000001,0.7554500000000001
gptoss120b,v3only,42,184,151,33,bbq_substitution,0.7587999999999999,0.7587999999999999
gptoss120b,v3only,42,184,151,33,hc_context_drift,0.8400999043469018,0.8400999043469018
gptoss120b,v3only,42,184,151,33,hc_contradiction,0.8465,0.8465
gptoss120b,v3only,42,184,151,33,mm_substitution,0.83595,0.83595
gptoss120b,v3only,42,184,151,33,oig_context_drift,0.6460835370390052,0.6460835370390052
gptoss120b,v3only,42,184,151,33,oig_omission,0.549092028316405,0.549092028316405
gptoss120b,v3only,42,184,151,33,mean,0.7474250671003303,0.7474250671003303
gptoss120b,v3only,43,184,151,33,anthropic_harmless_refusal,0.7925000000000001,0.7925000000000001
gptoss120b,v3only,43,184,151,33,bbq_substitution,0.86425,0.86425
gptoss120b,v3only,43,184,151,33,hc_context_drift,0.7042193644383037,0.7038473801679243
gptoss120b,v3only,43,184,151,33,hc_contradiction,0.94665,0.9467
gptoss120b,v3only,43,184,151,33,mm_substitution,0.8907,0.8907
gptoss120b,v3only,43,184,151,33,oig_context_drift,0.6766925284302264,0.6766925284302264
gptoss120b,v3only,43,184,151,33,oig_omission,0.6221914435210834,0.6221914435210834
gptoss120b,v3only,43,184,151,33,mean,0.7853147623413734,0.7852687645884622
gptoss120b,v3only,44,184,151,33,anthropic_harmless_refusal,0.384,0.384
gptoss120b,v3only,44,184,151,33,bbq_substitution,0.9102,0.9086
gptoss120b,v3only,44,184,151,33,hc_context_drift,0.748963758103943,0.7802104368158147
gptoss120b,v3only,44,184,151,33,hc_contradiction,0.9248000000000001,0.93545
gptoss120b,v3only,44,184,151,33,mm_substitution,0.9267500000000001,0.9267
gptoss120b,v3only,44,184,151,33,oig_context_drift,0.760442129875651,0.760442129875651
gptoss120b,v3only,44,184,151,33,oig_omission,0.7345337026777471,0.7345337026777471
gptoss120b,v3only,44,184,151,33,mean,0.7699556558081916,0.7757051813384589
gptoss120b,v3only,45,184,151,33,anthropic_harmless_refusal,0.7776000000000001,0.7776000000000001
gptoss120b,v3only,45,184,151,33,bbq_substitution,0.7276499999999999,0.7276499999999999
gptoss120b,v3only,45,184,151,33,hc_context_drift,0.8567329152938675,0.8567860559039218
gptoss120b,v3only,45,184,151,33,hc_contradiction,0.8032999999999999,0.8032999999999999
gptoss120b,v3only,45,184,151,33,mm_substitution,0.8593500000000001,0.8593500000000001
gptoss120b,v3only,45,184,151,33,oig_context_drift,0.5912955680731214,0.5912955680731214
gptoss120b,v3only,45,184,151,33,oig_omission,0.5444752231455833,0.5444752231455833
gptoss120b,v3only,45,184,151,33,mean,0.737200529501796,0.737208121017518
gptoss120b,v3only,46,184,151,33,anthropic_harmless_refusal,0.6618499999999999,0.6618499999999999
gptoss120b,v3only,46,184,151,33,bbq_substitution,0.8743000000000001,0.8743
gptoss120b,v3only,46,184,151,33,hc_context_drift,0.846370496333298,0.8461047932830268
gptoss120b,v3only,46,184,151,33,hc_contradiction,0.8948499999999999,0.8947999999999999
gptoss120b,v3only,46,184,151,33,mm_substitution,0.9075,0.9075
gptoss120b,v3only,46,184,151,33,oig_context_drift,0.6447550217876502,0.6447550217876502
gptoss120b,v3only,46,184,151,33,oig_omission,0.6028008618036319,0.6028008618036319
gptoss120b,v3only,46,184,151,33,mean,0.7760609114177972,0.7760158109820441
gptoss120b,v3only,47,184,151,33,anthropic_harmless_refusal,0.63755,0.63755
gptoss120b,v3only,47,184,151,33,bbq_substitution,0.9136,0.9136
