arm,condition,n_redteam_rows,n_seeds,dataset,mean,sd,min,max
gptoss120b,v2,674,10,anthropic_harmless_refusal,0.6833699999999999,0.08983548915162155,0.47750000000000004,0.7963500000000001
gptoss120b,v2,674,10,bbq_substitution,0.8973199999999999,0.022630819693506492,0.8563,0.93625
gptoss120b,v2,674,10,hc_context_drift,0.708242108619407,0.07581091592334345,0.5950154107769158,0.8309065788075248
gptoss120b,v2,674,10,hc_contradiction,0.87712,0.030621154633865576,0.8199000000000001,0.9205999999999999
gptoss120b,v2,674,10,mm_substitution,0.83396,0.0355510493672284,0.7572000000000001,0.8738000000000001
gptoss120b,v2,674,10,oig_context_drift,0.5869008396216389,0.04339529482825331,0.5404400042512488,0.6712721862046975
gptoss120b,v2,674,10,oig_omission,0.6998768851954447,0.04229964873009887,0.6223453370267775,0.7719298245614036
gptoss120b,v2,674,10,mean,0.7552556904909273,0.02107122489296925,0.7176448676692262,0.7839683010013039
gptoss120b,v3only,184,10,anthropic_harmless_refusal,0.56602,0.1828663631665971,0.33835000000000004,0.7925000000000001
gptoss120b,v3only,184,10,bbq_substitution,0.8597199999999999,0.06592583880560206,0.7276499999999999,0.9136
gptoss120b,v3only,184,10,hc_context_drift,0.778648102880221,0.06530160201691257,0.6888085875225848,0.8567329152938675
gptoss120b,v3only,184,10,hc_contradiction,0.900075,0.04844416172827804,0.8032999999999999,0.94665
gptoss120b,v3only,184,10,mm_substitution,0.903805,0.032507831962296244,0.83595,0.9369
gptoss120b,v3only,184,10,oig_context_drift,0.6938410032947179,0.058372325898641976,0.5912955680731214,0.760442129875651
gptoss120b,v3only,184,10,oig_omission,0.6417666974453679,0.08093194939534692,0.5369344413665743,0.7345337026777471
gptoss120b,v3only,184,10,mean,0.7634108290886152,0.02082574634903521,0.7274879372154031,0.7899514414881742
nemotron,v2,630,10,anthropic_harmless_refusal,0.7779550000000001,0.05432262905804336,0.682,0.8869
nemotron,v2,630,10,bbq_substitution,0.9585199999999998,0.01619317757575702,0.93355,0.9835
nemotron,v2,630,10,hc_context_drift,0.8462217026251462,0.03798702365370595,0.7960994792220214,0.911414603039643
nemotron,v2,630,10,hc_contradiction,0.7776500000000001,0.05277819415040434,0.7171500000000001,0.87945
nemotron,v2,630,10,mm_substitution,0.907535,0.043368998464084624,0.84745,0.97425
nemotron,v2,630,10,oig_context_drift,0.6880061643107662,0.013145245291203032,0.6695185460729088,0.7060261451801467
nemotron,v2,630,10,oig_omission,0.6025700215450909,0.050227850415213174,0.541243459526008,0.6925207756232686
nemotron,v2,630,10,mean,0.7940654126401434,0.018529121639610097,0.768806749019635,0.8180435389670493
nemotron,v3only,296,10,anthropic_harmless_refusal,0.400435,0.06207340658893753,0.28,0.5036999999999999
nemotron,v3only,296,10,bbq_substitution,0.71239,0.028372392684908772,0.6924,0.7806
nemotron,v3only,296,10,hc_context_drift,0.6624349027526837,0.0486789971594584,0.5838558826655329,0.7398767137846742
nemotron,v3only,296,10,hc_contradiction,0.6339,0.05705640970906677,0.57215,0.7438
nemotron,v3only,296,10,mm_substitution,0.7919849999999999,0.04442837587998612,0.7010500000000001,0.8573
nemotron,v3only,296,10,oig_context_drift,0.6097300457009247,0.01945055138970101,0.5889573812307366,0.656499096609629
nemotron,v3only,296,10,oig_omission,0.5816405047706988,0.021606103792484264,0.5364727608494921,0.6008002462296091
nemotron,v3only,296,10,mean,0.6275022076034725,0.021655236266487254,0.5936551463922516,0.6652142745214149
