arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
gptoss120b,0,42,0,anthropic_harmless_refusal,0.6406499999999999,0.6410499999999999
gptoss120b,0,42,0,bbq_substitution,0.51665,0.51725
gptoss120b,0,42,0,hc_context_drift,0.4872462535869912,0.48799022212775
gptoss120b,0,42,0,hc_contradiction,0.49040000000000006,0.49015
gptoss120b,0,42,0,mm_substitution,0.34705,0.3472
gptoss120b,0,42,0,oig_context_drift,0.5557976405569136,0.5558507811669677
gptoss120b,0,42,0,oig_omission,0.45352416128039397,0.45244690674053556
gptoss120b,0,42,0,mean,0.49875972220347126,0.498848272862179
gptoss120b,0,43,0,anthropic_harmless_refusal,0.5902999999999999,0.5915
gptoss120b,0,43,0,bbq_substitution,0.40575000000000006,0.40635
gptoss120b,0,43,0,hc_context_drift,0.46444893187373787,0.4637581039430333
gptoss120b,0,43,0,hc_contradiction,0.44830000000000003,0.445
gptoss120b,0,43,0,mm_substitution,0.45675000000000004,0.45694999999999997
gptoss120b,0,43,0,oig_context_drift,0.5531937506642576,0.5523435009033903
gptoss120b,0,43,0,oig_omission,0.4881502000615575,0.48753462603878117
gptoss120b,0,43,0,mean,0.4866989832285076,0.48620517584074346
gptoss120b,0,44,0,anthropic_harmless_refusal,0.10205000000000002,0.10135000000000001
gptoss120b,0,44,0,bbq_substitution,0.5492,0.5468999999999999
gptoss120b,0,44,0,hc_context_drift,0.5233818684238495,0.5229567435434159
gptoss120b,0,44,0,hc_contradiction,0.5235500000000001,0.52725
gptoss120b,0,44,0,mm_substitution,0.62725,0.6253500000000001
gptoss120b,0,44,0,oig_context_drift,0.44292698480178544,0.4429801254118397
gptoss120b,0,44,0,oig_omission,0.4584487534626039,0.4569098184056633
gptoss120b,0,44,0,mean,0.46097251524117705,0.460528098194417
gptoss120b,0,45,0,anthropic_harmless_refusal,0.26594999999999996,0.26515
gptoss120b,0,45,0,bbq_substitution,0.5394,0.5393500000000001
gptoss120b,0,45,0,hc_context_drift,0.500531406100542,0.4984589223084281
gptoss120b,0,45,0,hc_contradiction,0.4872,0.48779999999999996
gptoss120b,0,45,0,mm_substitution,0.45725000000000005,0.4568
gptoss120b,0,45,0,oig_context_drift,0.4141779147624615,0.41449675842278666
gptoss120b,0,45,0,oig_omission,0.5344721452754695,0.5366266543551862
gptoss120b,0,45,0,mean,0.45699735230549615,0.45695461929805725
gptoss120b,0,46,0,anthropic_harmless_refusal,0.25115,0.24994999999999995
gptoss120b,0,46,0,bbq_substitution,0.5838,0.58365
gptoss120b,0,46,0,hc_context_drift,0.5519183760229568,0.5518652354129024
gptoss120b,0,46,0,hc_contradiction,0.56245,0.5632999999999999
gptoss120b,0,46,0,mm_substitution,0.6589499999999999,0.6574500000000001
gptoss120b,0,46,0,oig_context_drift,0.5289616324795409,0.528483366989053
gptoss120b,0,46,0,oig_omission,0.453678054786088,0.4538319482917821
gptoss120b,0,46,0,mean,0.5129868661840836,0.5126472215276767
gptoss120b,0,47,0,anthropic_harmless_refusal,0.6370500000000001,0.6391499999999999
gptoss120b,0,47,0,bbq_substitution,0.4534,0.4534
gptoss120b,0,47,0,hc_context_drift,0.4667871187161229,0.4660962907854182
gptoss120b,0,47,0,hc_contradiction,0.4763,0.47619999999999996
gptoss120b,0,47,0,mm_substitution,0.34420000000000006,0.34285000000000004
gptoss120b,0,47,0,oig_context_drift,0.5538845785949622,0.5565947497077266
gptoss120b,0,47,0,oig_omission,0.4998461064943059,0.5015389350569406
gptoss120b,0,47,0,mean,0.490209686257913,0.49083285365001217
gptoss120b,0,48,0,anthropic_harmless_refusal,0.62605,0.6251499999999999
gptoss120b,0,48,0,bbq_substitution,0.511,0.51175
gptoss120b,0,48,0,hc_context_drift,0.514082261664364,0.5144011053246891
gptoss120b,0,48,0,hc_contradiction,0.50365,0.5036499999999999
gptoss120b,0,48,0,mm_substitution,0.63465,0.63165
gptoss120b,0,48,0,oig_context_drift,0.4877776596875332,0.4879370815176959
gptoss120b,0,48,0,oig_omission,0.5072329947676208,0.5056940597106802
gptoss120b,0,48,0,mean,0.5406347023027883,0.5400331780790093
gptoss120b,0,49,0,anthropic_harmless_refusal,0.5682,0.5696000000000001
gptoss120b,0,49,0,bbq_substitution,0.5406000000000001,0.5385500000000001
gptoss120b,0,49,0,hc_context_drift,0.5027101711127644,0.502869592942927
gptoss120b,0,49,0,hc_contradiction,0.51525,0.51425
gptoss120b,0,49,0,mm_substitution,0.52145,0.5206
gptoss120b,0,49,0,oig_context_drift,0.5082899351684558,0.5067488574768838
gptoss120b,0,49,0,oig_omission,0.4781471221914435,0.4756848261003386
gptoss120b,0,49,0,mean,0.5192353183532378,0.5183290395028785
gptoss120b,0,50,0,anthropic_harmless_refusal,0.11430000000000001,0.11380000000000001
gptoss120b,0,50,0,bbq_substitution,0.44394999999999996,0.4436
gptoss120b,0,50,0,hc_context_drift,0.4857051758954193,0.48692740992666594
gptoss120b,0,50,0,hc_contradiction,0.4788,0.47955
gptoss120b,0,50,0,mm_substitution,0.6666000000000001,0.66885
gptoss120b,0,50,0,oig_context_drift,0.5467637368476992,0.5455946434265065
gptoss120b,0,50,0,oig_omission,0.42690058479532167,0.42489996922129886
gptoss120b,0,50,0,mean,0.45185992821977716,0.4518888603677816
gptoss120b,0,51,0,anthropic_harmless_refusal,0.75305,0.7534
gptoss120b,0,51,0,bbq_substitution,0.40690000000000004,0.40735
gptoss120b,0,51,0,hc_context_drift,0.4756616005951748,0.47497077266447013
gptoss120b,0,51,0,hc_contradiction,0.476,0.47609999999999997
gptoss120b,0,51,0,mm_substitution,0.6277500000000001,0.6272500000000002
gptoss120b,0,51,0,oig_context_drift,0.6339674779466469,0.6341800403868635
gptoss120b,0,51,0,oig_omission,0.5012311480455525,0.5021545090797168
gptoss120b,0,51,0,mean,0.5535086037981963,0.5536293317330072
gptoss120b,1,42,434,anthropic_harmless_refusal,0.43049999999999994,0.431
gptoss120b,1,42,434,bbq_substitution,0.92025,0.9510500000000001
gptoss120b,1,42,434,hc_context_drift,0.6723349984057817,0.6716441704750771
gptoss120b,1,42,434,hc_contradiction,0.92655,0.92955
gptoss120b,1,42,434,mm_substitution,0.914,0.9312
gptoss120b,1,42,434,oig_context_drift,0.6876926347114464,0.6901371027739398
gptoss120b,1,42,434,oig_omission,0.7072945521698984,0.7076023391812866
gptoss120b,1,42,434,mean,0.7512317407553039,0.758883373204329
gptoss120b,1,43,434,anthropic_harmless_refusal,0.4147,0.41465
gptoss120b,1,43,434,bbq_substitution,0.9343,0.9634999999999999
gptoss120b,1,43,434,hc_context_drift,0.8229354872993943,0.8216601126580934
gptoss120b,1,43,434,hc_contradiction,0.9117000000000001,0.91185
gptoss120b,1,43,434,mm_substitution,0.8928,0.9039
gptoss120b,1,43,434,oig_context_drift,0.7186736103730471,0.7198427037942396
gptoss120b,1,43,434,oig_omission,0.7480763311788242,0.7480763311788243
gptoss120b,1,43,434,mean,0.7775979184073236,0.7833541639473082
gptoss120b,1,44,434,anthropic_harmless_refusal,0.33195,0.33225000000000005
gptoss120b,1,44,434,bbq_substitution,0.9057,0.9630000000000001
gptoss120b,1,44,434,hc_context_drift,0.6792964183228823,0.6968328196407695
gptoss120b,1,44,434,hc_contradiction,0.9308,0.93495
gptoss120b,1,44,434,mm_substitution,0.86905,0.8946000000000001
gptoss120b,1,44,434,oig_context_drift,0.6545860346476778,0.6625039855457541
gptoss120b,1,44,434,oig_omission,0.7259156663588797,0.7259156663588797
gptoss120b,1,44,434,mean,0.7281854456184914,0.744293210220772
gptoss120b,1,45,434,anthropic_harmless_refusal,0.5654,0.56585
gptoss120b,1,45,434,bbq_substitution,0.9040499999999999,0.95275
gptoss120b,1,45,434,hc_context_drift,0.7098522691040493,0.7420023381868424
gptoss120b,1,45,434,hc_contradiction,0.9406,0.9441
gptoss120b,1,45,434,mm_substitution,0.89275,0.9214
gptoss120b,1,45,434,oig_context_drift,0.6822722924859177,0.6865235412902541
gptoss120b,1,45,434,oig_omission,0.6975992613111727,0.6992920898738073
gptoss120b,1,45,434,mean,0.7703605461287343,0.7874168527644149
gptoss120b,1,46,434,anthropic_harmless_refusal,0.41419999999999996,0.41455
gptoss120b,1,46,434,bbq_substitution,0.90965,0.9585
gptoss120b,1,46,434,hc_context_drift,0.833085343819747,0.8295780635561697
gptoss120b,1,46,434,hc_contradiction,0.9059,0.9067500000000001
gptoss120b,1,46,434,mm_substitution,0.8721999999999999,0.8870999999999999
gptoss120b,1,46,434,oig_context_drift,0.6754171537889255,0.6804123711340206
gptoss120b,1,46,434,oig_omission,0.7385349338257926,0.7385349338257926
gptoss120b,1,46,434,mean,0.7641410616334949,0.7736321955022832
gptoss120b,1,47,434,anthropic_harmless_refusal,0.49655000000000005,0.49725
gptoss120b,1,47,434,bbq_substitution,0.9266000000000001,0.9586499999999999
gptoss120b,1,47,434,hc_context_drift,0.7004463811244553,0.6850356042087363
gptoss120b,1,47,434,hc_contradiction,0.9486,0.9494499999999999
gptoss120b,1,47,434,mm_substitution,0.8945500000000001,0.9228000000000001
gptoss120b,1,47,434,oig_context_drift,0.644701881177596,0.6474651929004146
gptoss120b,1,47,434,oig_omission,0.7176054170514005,0.7179132040627886
gptoss120b,1,47,434,mean,0.7612933827647789,0.7683662858817055
gptoss120b,1,48,434,anthropic_harmless_refusal,0.37829999999999997,0.37805
gptoss120b,1,48,434,bbq_substitution,0.89515,0.9469500000000001
gptoss120b,1,48,434,hc_context_drift,0.6717504516951855,0.6634073759166754
gptoss120b,1,48,434,hc_contradiction,0.9368000000000001,0.9390499999999999
gptoss120b,1,48,434,mm_substitution,0.86465,0.90105
gptoss120b,1,48,434,oig_context_drift,0.6534700818365394,0.6568710808800085
