arm,vintage,n_redteam_rows,n_seeds,dataset,mean,sd,min,max
gptoss120b,0,0,10,anthropic_harmless_refusal,0.45487500000000003,0.24375878816066418,0.10205000000000002,0.75305
gptoss120b,0,0,10,bbq_substitution,0.49506500000000003,0.06294822850741887,0.40575000000000006,0.5838
gptoss120b,0,0,10,hc_context_drift,0.4972473163991923,0.027281915134612193,0.46444893187373787,0.5519183760229568
gptoss120b,0,0,10,hc_contradiction,0.4961899999999999,0.03174787656941275,0.44830000000000003,0.56245
gptoss120b,0,0,10,mm_substitution,0.5341899999999999,0.1264031992386972,0.34420000000000006,0.6666000000000001
gptoss120b,0,0,10,oig_context_drift,0.5225741311510256,0.06286171952339464,0.4141779147624615,0.6339674779466469
gptoss120b,0,0,10,oig_omission,0.4801631271160357,0.03214704405979711,0.42690058479532167,0.5344721452754695
gptoss120b,0,0,10,mean,0.4971863678094648,0.03486160731576196,0.45185992821977716,0.5535086037981963
gptoss120b,1,434,10,anthropic_harmless_refusal,0.4444,0.06545672870937971,0.33195,0.5654
gptoss120b,1,434,10,bbq_substitution,0.9097249999999999,0.020291695756310468,0.8625499999999999,0.9343
gptoss120b,1,434,10,hc_context_drift,0.735551068126262,0.05910664642207169,0.6717504516951855,0.833085343819747
gptoss120b,1,434,10,hc_contradiction,0.9296849999999999,0.014113174499184943,0.9059,0.9486
gptoss120b,1,434,10,mm_substitution,0.8822850000000001,0.04068391744767075,0.79115,0.9502999999999999
gptoss120b,1,434,10,oig_context_drift,0.6749176320544159,0.035954379817818925,0.617547029439898,0.7414177914762462
gptoss120b,1,434,10,oig_omission,0.7190981840566328,0.01777927763147554,0.6900584795321637,0.7480763311788242
gptoss120b,1,434,10,mean,0.7565231263196159,0.01856030793772616,0.7281854456184914,0.7775979184073236
gptoss120b,2,674,10,anthropic_harmless_refusal,0.6801649999999999,0.10634728761624973,0.4999499999999999,0.7866000000000001
gptoss120b,2,674,10,bbq_substitution,0.893,0.023021885722551528,0.84155,0.9194
gptoss120b,2,674,10,hc_context_drift,0.7383675204591349,0.10491839836898549,0.633489212456159,0.9166223828249548
gptoss120b,2,674,10,hc_contradiction,0.8997949999999999,0.022127540029966673,0.85615,0.9353999999999999
gptoss120b,2,674,10,mm_substitution,0.8793599999999999,0.041547367880261414,0.79735,0.9302
gptoss120b,2,674,10,oig_context_drift,0.5852375385269424,0.03192700746038568,0.5415028164523329,0.639494101392284
gptoss120b,2,674,10,oig_omission,0.7189289012003692,0.05045883081762146,0.6149584487534625,0.7950138504155125
gptoss120b,2,674,10,mean,0.7706934228837781,0.023325729071685418,0.7384745554819395,0.8028301465295252
gptoss120b,3,858,10,anthropic_harmless_refusal,0.8297950000000001,0.052121356520677335,0.7703000000000001,0.928
gptoss120b,3,858,10,bbq_substitution,0.8908099999999999,0.029983873443347304,0.8441,0.9348
gptoss120b,3,858,10,hc_context_drift,0.7564459559995749,0.054796760886667774,0.7060792857902009,0.8831969391008608
gptoss120b,3,858,10,hc_contradiction,0.8979999999999999,0.01932488321080133,0.86025,0.9209
gptoss120b,3,858,10,mm_substitution,0.85806,0.028410833223340058,0.79415,0.9026
gptoss120b,3,858,10,oig_context_drift,0.5872356254649804,0.026022254932703014,0.5591454989903284,0.6203103411627165
gptoss120b,3,858,10,oig_omission,0.774792243767313,0.019012226229132446,0.7556171129578332,0.8070175438596492
gptoss120b,3,858,10,mean,0.7993055464616955,0.022775192692242208,0.7670887978944438,0.838397682132437
nemotron,0,0,10,anthropic_harmless_refusal,0.45487500000000003,0.24375878816066418,0.10205000000000002,0.75305
nemotron,0,0,10,bbq_substitution,0.49506500000000003,0.06294822850741887,0.40575000000000006,0.5838
nemotron,0,0,10,hc_context_drift,0.4972473163991923,0.027281915134612193,0.46444893187373787,0.5519183760229568
nemotron,0,0,10,hc_contradiction,0.4961899999999999,0.03174787656941275,0.44830000000000003,0.56245
nemotron,0,0,10,mm_substitution,0.5341899999999999,0.1264031992386972,0.34420000000000006,0.6666000000000001
nemotron,0,0,10,oig_context_drift,0.5225741311510256,0.06286171952339464,0.4141779147624615,0.6339674779466469
nemotron,0,0,10,oig_omission,0.4801631271160357,0.03214704405979711,0.42690058479532167,0.5344721452754695
nemotron,0,0,10,mean,0.4971863678094648,0.03486160731576196,0.45185992821977716,0.5535086037981963
nemotron,1,458,10,anthropic_harmless_refusal,0.615155,0.10607521558361839,0.34665,0.71565
nemotron,1,458,10,bbq_substitution,0.967045,0.004767858242672728,0.9601000000000001,0.97475
nemotron,1,458,10,hc_context_drift,0.8452439154001489,0.030260888653865475,0.7889786374747583,0.8971197789350621
nemotron,1,458,10,hc_contradiction,0.869215,0.012009441887300375,0.8492999999999999,0.88695
nemotron,1,458,10,mm_substitution,0.958755,0.010682864004251556,0.94375,0.9749
nemotron,1,458,10,oig_context_drift,0.737915825273674,0.01951964954087819,0.6999681156339675,0.774046126049527
nemotron,1,458,10,oig_omission,0.6869036626654356,0.02816996229113503,0.652200677131425,0.7243767313019391
nemotron,1,458,10,mean,0.8114619147627511,0.016554438746558865,0.7669817657526299,0.8258923484610676
nemotron,2,630,10,anthropic_harmless_refusal,0.8113250000000001,0.05388353825097648,0.7255,0.8851
nemotron,2,630,10,bbq_substitution,0.9541700000000001,0.00984387006099623,0.9412,0.9732500000000001
nemotron,2,630,10,hc_context_drift,0.877622489106175,0.021371210599962113,0.8305877351471995,0.9067913699649272
nemotron,2,630,10,hc_contradiction,0.7660849999999999,0.049783330822452745,0.6888000000000001,0.8262499999999999
nemotron,2,630,10,mm_substitution,0.88325,0.07392960991525806,0.7752500000000001,0.97505
nemotron,2,630,10,oig_context_drift,0.6984961207354661,0.028314001566368034,0.648634286321607,0.7375385269422893
nemotron,2,630,10,oig_omission,0.6268698060941829,0.06099854900954765,0.5497076023391814,0.7457679285934133
nemotron,2,630,10,mean,0.802545487990832,0.03456238876723557,0.7552988877434087,0.8441093412103218
nemotron,3,926,10,anthropic_harmless_refusal,0.734535,0.058336990599637754,0.64425,0.8367500000000001
nemotron,3,926,10,bbq_substitution,0.91745,0.023766129026176922,0.86315,0.93935
nemotron,3,926,10,hc_context_drift,0.768976511850356,0.0319251027933052,0.7260070145605272,0.8172494420235944
nemotron,3,926,10,hc_contradiction,0.8415649999999999,0.05315332147037788,0.75005,0.8881
nemotron,3,926,10,mm_substitution,0.9265650000000001,0.025954501322292604,0.8684000000000001,0.9609
nemotron,3,926,10,oig_context_drift,0.6750132851525136,0.029673850732071478,0.6347114464874056,0.7235625464980338
nemotron,3,926,10,oig_omission,0.6339796860572483,0.05186300950378646,0.5403200984918436,0.6986765158510311
