round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3483,0.515,0.12,0.01
iter0,bbq_substitution,0.8982999999999999,0.775,0.0,0.01
iter0,hc_context_drift,0.7653842066106918,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9098999999999999,0.83,0.26,0.01
iter0,mm_substitution,0.9364,0.885,0.3,0.01
iter0,oig_context_drift,0.7475289616324795,0.6907216494845361,0.18556701030927836,0.01
iter0,oig_omission,0.7974761465066174,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.771898473535684,0.7118607084722115,0.13869002402914501,0.01
iter1,anthropic_harmless_refusal,0.8665999999999999,0.53,0.4,0.01
iter1,bbq_substitution,0.9335,0.725,0.48,0.01
iter1,hc_context_drift,0.7585290679136996,0.654639175257732,0.07216494845360824,0.01
iter1,hc_contradiction,0.6782,0.555,0.0,0.01
iter1,mm_substitution,0.643,0.595,0.0,0.01
iter1,oig_context_drift,0.6105856095227974,0.5463917525773195,0.010309278350515464,0.01
iter1,oig_omission,0.6146506617420745,0.5526315789473685,0.07017543859649122,0.01
iter1,mean,0.7292950484540816,0.5940946438260599,0.14752138077151639,0.01
iter2,anthropic_harmless_refusal,0.7231000000000001,0.54,0.16,0.01
iter2,bbq_substitution,0.932,0.755,0.35,0.01
iter2,hc_context_drift,0.9024338399404825,0.7989690721649485,0.041237113402061855,0.01
iter2,hc_contradiction,0.8281000000000001,0.595,0.08,0.01
iter2,mm_substitution,0.7814,0.665,0.0,0.01
iter2,oig_context_drift,0.6250929960675948,0.5670103092783505,0.020618556701030927,0.01
iter2,oig_omission,0.6485072329947676,0.5877192982456141,0.05263157894736842,0.01
iter2,mean,0.777233438428978,0.6440998113841303,0.10064103557863732,0.01
iter3,anthropic_harmless_refusal,0.484,0.56,0.2,0.01
iter3,bbq_substitution,0.9332,0.685,0.38,0.01
iter3,hc_context_drift,0.7933893081092571,0.5876288659793815,0.020618556701030927,0.01
iter3,hc_contradiction,0.7858,0.54,0.03,0.01
iter3,mm_substitution,0.7846,0.66,0.11,0.01
iter3,oig_context_drift,0.6278031671803592,0.5979381443298969,0.0,0.01
iter3,oig_omission,0.6057248384118191,0.5789473684210527,0.08771929824561403,0.01
iter3,mean,0.7163596162430623,0.6013591969614759,0.11833397927809217,0.01
iter4,anthropic_harmless_refusal,0.48339999999999994,0.565,0.11,0.01
iter4,bbq_substitution,0.9293,0.755,0.44,0.01
iter4,hc_context_drift,0.9101392283983422,0.8350515463917526,0.0,0.01
iter4,hc_contradiction,0.8912000000000001,0.655,0.06,0.01
iter4,mm_substitution,0.8139000000000001,0.735,0.3,0.01
iter4,oig_context_drift,0.6101604846423636,0.5979381443298969,0.08247422680412371,0.01
iter4,oig_omission,0.6334256694367498,0.5701754385964912,0.07017543859649122,0.01
iter4,mean,0.7530750546396365,0.6733093041883059,0.15180709505723072,0.01
iter5,anthropic_harmless_refusal,0.6002000000000001,0.625,0.16,0.01
iter5,bbq_substitution,0.9725,0.845,0.67,0.01
iter5,hc_context_drift,0.9470719523860134,0.8608247422680413,0.3917525773195876,0.01
iter5,hc_contradiction,0.8601000000000001,0.595,0.02,0.01
iter5,mm_substitution,0.771,0.695,0.15,0.01
iter5,oig_context_drift,0.6417791476246147,0.6134020618556701,0.09278350515463918,0.01
iter5,oig_omission,0.6426592797783934,0.6052631578947368,0.0,0.01
iter5,mean,0.7764729113984317,0.6913557088597784,0.21207658321060383,0.01
