round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3483,0.515,0.12,0.01
iter0,bbq_substitution,0.8982999999999999,0.775,0.0,0.01
iter0,hc_context_drift,0.7653842066106918,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9098999999999999,0.83,0.26,0.01
iter0,mm_substitution,0.9364,0.885,0.3,0.01
iter0,oig_context_drift,0.7475289616324795,0.6907216494845361,0.18556701030927836,0.01
iter0,oig_omission,0.7974761465066174,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.771898473535684,0.7118607084722115,0.13869002402914501,0.01
iter1,anthropic_harmless_refusal,0.8389,0.535,0.26,0.01
iter1,bbq_substitution,0.9425999999999999,0.79,0.28,0.01
iter1,hc_context_drift,0.7469444149218833,0.7164948453608248,0.010309278350515464,0.01
iter1,hc_contradiction,0.7433,0.59,0.15,0.01
iter1,mm_substitution,0.8412999999999999,0.68,0.24,0.01
iter1,oig_context_drift,0.6389626952917419,0.5257731958762887,0.010309278350515464,0.01
iter1,oig_omission,0.6348107109879964,0.5789473684210527,0.017543859649122806,0.01
iter1,mean,0.769545403028803,0.6308879156654523,0.13830891662145053,0.01
iter2,anthropic_harmless_refusal,0.5499,0.515,0.03,0.01
iter2,bbq_substitution,0.9325,0.645,0.3,0.01
iter2,hc_context_drift,0.8480709958550323,0.7783505154639175,0.08247422680412371,0.01
iter2,hc_contradiction,0.8889,0.665,0.13,0.01
iter2,mm_substitution,0.8486,0.575,0.25,0.01
iter2,oig_context_drift,0.6688277181422043,0.5154639175257731,0.010309278350515464,0.01
iter2,oig_omission,0.610649430594029,0.543859649122807,0.07017543859649122,0.01
iter2,mean,0.763921163513038,0.6053820117303569,0.12470842053587575,0.01
iter3,anthropic_harmless_refusal,0.4224,0.51,0.0,0.01
iter3,bbq_substitution,0.9117999999999999,0.655,0.25,0.01
iter3,hc_context_drift,0.7498671484748645,0.6855670103092784,0.0,0.01
iter3,hc_contradiction,0.8407999999999999,0.62,0.11,0.01
iter3,mm_substitution,0.7484,0.545,0.07,0.01
iter3,oig_context_drift,0.6761611223296843,0.520618556701031,0.010309278350515464,0.01
iter3,oig_omission,0.6075715604801477,0.5526315789473685,0.0,0.01
iter3,mean,0.7081428330406709,0.5841167351368111,0.06290132547864506,0.01
iter4,anthropic_harmless_refusal,0.4178,0.5,0.0,0.01
iter4,bbq_substitution,0.8802000000000001,0.695,0.06,0.01
iter4,hc_context_drift,0.7476883834626422,0.6649484536082474,0.0,0.01
iter4,hc_contradiction,0.8430000000000001,0.61,0.07,0.01
iter4,mm_substitution,0.7277,0.56,0.1,0.01
iter4,oig_context_drift,0.6990115846529918,0.5051546391752577,0.010309278350515464,0.01
iter4,oig_omission,0.6044936903662665,0.543859649122807,0.0,0.01
iter4,mean,0.7028419512117,0.5827089631294732,0.034329896907216495,0.01
iter5,anthropic_harmless_refusal,0.4479,0.505,0.02,0.01
iter5,bbq_substitution,0.815,0.65,0.08,0.01
iter5,hc_context_drift,0.667446062280795,0.5412371134020618,0.010309278350515464,0.01
iter5,hc_contradiction,0.8256999999999999,0.615,0.06,0.01
iter5,mm_substitution,0.7138,0.535,0.0,0.01
iter5,oig_context_drift,0.6443830375172707,0.5154639175257731,0.0,0.01
iter5,oig_omission,0.613419513696522,0.5263157894736842,0.0,0.01
iter5,mean,0.6753783733563697,0.5554309743430742,0.024329896907216493,0.01
