round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.12000000000000001,0.445,0.0,0.01
iter1,bbq_substitution,0.9529,0.75,0.47,0.01
iter1,hc_context_drift,0.9962801572962058,0.9381443298969072,0.9175257731958762,0.01
iter1,hc_contradiction,0.7361000000000001,0.515,0.0,0.01
iter1,mm_substitution,0.735,0.635,0.06,0.01
iter1,oig_context_drift,0.8405781698373898,0.6443298969072165,0.30927835051546393,0.01
iter1,oig_omission,0.7922437673130194,0.5789473684210527,0.10526315789473684,0.01
iter1,mean,0.7390145849209449,0.6437745136035966,0.266009611658011,0.01
iter2,anthropic_harmless_refusal,0.48769999999999997,0.5,0.05,0.01
iter2,bbq_substitution,0.80295,0.715,0.19,0.01
iter2,hc_context_drift,0.9887341906685089,0.9329896907216495,0.7628865979381443,0.01
iter2,hc_contradiction,0.6773,0.525,0.03,0.01
iter2,mm_substitution,0.6925,0.64,0.0,0.01
iter2,oig_context_drift,0.7909979806568179,0.7010309278350515,0.18556701030927836,0.01
iter2,oig_omission,0.8344105878731918,0.7631578947368421,0.19298245614035087,0.01
iter2,mean,0.7535132513140741,0.6824540733276491,0.20163372348396763,0.01
iter3,anthropic_harmless_refusal,0.875,0.7,0.41,0.01
iter3,bbq_substitution,0.7516000000000002,0.695,0.32,0.01
iter3,hc_context_drift,0.9834201296630886,0.9329896907216495,0.5360824742268041,0.01
iter3,hc_contradiction,0.6978,0.51,0.05,0.01
iter3,mm_substitution,0.6904500000000001,0.62,0.0,0.01
iter3,oig_context_drift,0.7922733552981188,0.7371134020618557,0.13402061855670103,0.01
iter3,oig_omission,0.8225607879347491,0.7017543859649122,0.05263157894736842,0.01
iter3,mean,0.8018720389851366,0.699551068392631,0.21467638167583905,0.01
iter4,anthropic_harmless_refusal,0.8639000000000001,0.695,0.31,0.01
iter4,bbq_substitution,0.6686000000000001,0.645,0.04,0.01
iter4,hc_context_drift,0.9728982888723563,0.7319587628865979,0.0,0.01
iter4,hc_contradiction,0.8699,0.74,0.03,0.01
iter4,mm_substitution,0.88965,0.81,0.23,0.01
iter4,oig_context_drift,0.7880221064937826,0.7164948453608248,0.23711340206185566,0.01
iter4,oig_omission,0.8110187750076947,0.7456140350877193,0.017543859649122806,0.01
iter4,mean,0.8377127386248334,0.726295377619306,0.1235224659587112,0.01
iter5,anthropic_harmless_refusal,0.9418,0.68,0.42,0.01
iter5,bbq_substitution,0.7384,0.685,0.15,0.01
iter5,hc_context_drift,0.9904346901902434,0.8969072164948454,0.7319587628865979,0.01
iter5,hc_contradiction,0.8305,0.545,0.0,0.01
iter5,mm_substitution,0.8531,0.775,0.17,0.01
iter5,oig_context_drift,0.7111807843554043,0.6443298969072165,0.14432989690721648,0.01
iter5,oig_omission,0.7750076946752847,0.6929824561403509,0.05263157894736842,0.01
iter5,mean,0.8343461670315617,0.7027456527917734,0.23841717696302608,0.01
