round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.7568999999999999,0.5,0.43,0.01
iter1,bbq_substitution,0.67765,0.695,0.42,0.01
iter1,hc_context_drift,0.7528430226378999,0.5721649484536082,0.10309278350515463,0.01
iter1,hc_contradiction,0.6158,0.525,0.02,0.01
iter1,mm_substitution,0.8019,0.72,0.0,0.01
iter1,oig_context_drift,0.7480072271229674,0.6134020618556701,0.12371134020618557,0.01
iter1,oig_omission,0.6343490304709142,0.5877192982456141,0.0,0.01
iter1,mean,0.712492754318826,0.6018980440792704,0.1566863033873343,0.01
iter2,anthropic_harmless_refusal,0.4936999999999999,0.555,0.17,0.01
iter2,bbq_substitution,0.9712000000000001,0.73,0.51,0.01
iter2,hc_context_drift,0.9276224891061748,0.845360824742268,0.36082474226804123,0.01
iter2,hc_contradiction,0.8329,0.54,0.04,0.01
iter2,mm_substitution,0.8742,0.71,0.34,0.01
iter2,oig_context_drift,0.7792539058348389,0.5721649484536082,0.05154639175257732,0.01
iter2,oig_omission,0.6383502616189597,0.5350877192982456,0.07017543859649122,0.01
iter2,mean,0.7881752366514246,0.6410876417848747,0.22036379608815856,0.01
iter3,anthropic_harmless_refusal,0.5831999999999999,0.665,0.31,0.01
iter3,bbq_substitution,0.9544999999999999,0.855,0.1,0.01
iter3,hc_context_drift,0.9538739504729514,0.865979381443299,0.4536082474226804,0.01
iter3,hc_contradiction,0.8648,0.545,0.08,0.01
iter3,mm_substitution,0.94815,0.89,0.17,0.01
iter3,oig_context_drift,0.6017111276437453,0.5412371134020618,0.07216494845360824,0.01
iter3,oig_omission,0.6300400123114804,0.5614035087719298,0.05263157894736842,0.01
iter3,mean,0.7908964414897396,0.7033742862310416,0.17691496783195101,0.01
iter4,anthropic_harmless_refusal,0.5113,0.64,0.22,0.01
iter4,bbq_substitution,0.9618,0.91,0.23,0.01
iter4,hc_context_drift,0.8927622489106175,0.8247422680412371,0.0,0.01
iter4,hc_contradiction,0.9355,0.74,0.02,0.01
iter4,mm_substitution,0.9389000000000001,0.83,0.32,0.01
iter4,oig_context_drift,0.6188224040811988,0.5721649484536082,0.0,0.01
iter4,oig_omission,0.6715912588488766,0.6228070175438597,0.07017543859649122,0.01
iter4,mean,0.7900965588343848,0.7342448905769577,0.12288220551378447,0.01
iter5,anthropic_harmless_refusal,0.6558,0.665,0.34,0.01
iter5,bbq_substitution,0.95615,0.885,0.22,0.01
iter5,hc_context_drift,0.9280476139866085,0.788659793814433,0.26804123711340205,0.01
iter5,hc_contradiction,0.9229499999999999,0.725,0.01,0.01
iter5,mm_substitution,0.912,0.795,0.3,0.01
iter5,oig_context_drift,0.5931023488149644,0.5309278350515464,0.010309278350515464,0.01
iter5,oig_omission,0.672514619883041,0.5877192982456141,0.0,0.01
iter5,mean,0.8057949403835164,0.7110438467302276,0.1640500736377025,0.01
