round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.7228,0.605,0.0,0.01
iter1,bbq_substitution,0.9485999999999999,0.78,0.3,0.01
iter1,hc_context_drift,0.7870124349027527,0.6958762886597938,0.08247422680412371,0.01
iter1,hc_contradiction,0.767,0.55,0.02,0.01
iter1,mm_substitution,0.8449,0.735,0.25,0.01
iter1,oig_context_drift,0.5758316505473483,0.5618556701030928,0.0,0.01
iter1,oig_omission,0.5687903970452446,0.5350877192982456,0.05263157894736842,0.01
iter1,mean,0.7449906403564779,0.6375456682944475,0.10072940082164172,0.01
iter2,anthropic_harmless_refusal,0.4408,0.52,0.0,0.01
iter2,bbq_substitution,0.8579,0.68,0.14,0.01
iter2,hc_context_drift,0.9062599638643851,0.845360824742268,0.27835051546391754,0.01
iter2,hc_contradiction,0.81725,0.56,0.01,0.01
iter2,mm_substitution,0.8785,0.715,0.31,0.01
iter2,oig_context_drift,0.6227016686151557,0.5463917525773195,0.041237113402061855,0.01
iter2,oig_omission,0.6140350877192983,0.5175438596491229,0.05263157894736842,0.01
iter2,mean,0.7339209600284056,0.6263280624241016,0.1188884582590497,0.01
iter3,anthropic_harmless_refusal,0.24589999999999998,0.455,0.02,0.01
iter3,bbq_substitution,0.8451500000000001,0.665,0.06,0.01
iter3,hc_context_drift,0.9299606759485599,0.865979381443299,0.4020618556701031,0.01
iter3,hc_contradiction,0.803,0.58,0.03,0.01
iter3,mm_substitution,0.8291000000000001,0.62,0.17,0.01
iter3,oig_context_drift,0.6213200127537465,0.5463917525773195,0.030927835051546393,0.01
iter3,oig_omission,0.6140350877192983,0.5,0.0,0.01
iter3,mean,0.6983522537745149,0.6046244477172313,0.1018556701030928,0.01
iter4,anthropic_harmless_refusal,0.46369999999999995,0.515,0.06,0.01
iter4,bbq_substitution,0.88285,0.77,0.04,0.01
iter4,hc_context_drift,0.9459559995748751,0.8402061855670103,0.5463917525773195,0.01
iter4,hc_contradiction,0.8738,0.675,0.1,0.01
iter4,mm_substitution,0.8148000000000001,0.655,0.28,0.01
iter4,oig_context_drift,0.6752045913487087,0.6030927835051546,0.08247422680412371,0.01
iter4,oig_omission,0.7097568482610034,0.6666666666666666,0.0,0.01
iter4,mean,0.7665810627406554,0.6749950908198332,0.15840942562592045,0.01
iter5,anthropic_harmless_refusal,0.5182,0.575,0.1,0.01
iter5,bbq_substitution,0.9199999999999999,0.805,0.21,0.01
iter5,hc_context_drift,0.9567435434158784,0.865979381443299,0.0,0.01
iter5,hc_contradiction,0.819,0.63,0.04,0.01
iter5,mm_substitution,0.8278000000000001,0.695,0.17,0.01
iter5,oig_context_drift,0.7096397066638325,0.6597938144329897,0.07216494845360824,0.01
iter5,oig_omission,0.6986765158510311,0.6578947368421053,0.08771929824561403,0.01
iter5,mean,0.7785799665615345,0.6983811332454849,0.09712632095703176,0.01
