round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.3479,0.515,0.12,0.01
iter0,bbq_substitution,0.8991,0.78,0.0,0.01
iter0,hc_context_drift,0.766712721862047,0.6030927835051546,0.0,0.01
iter0,hc_contradiction,0.9077500000000001,0.83,0.0,0.01
iter0,mm_substitution,0.9363,0.89,0.32,0.01
iter0,oig_context_drift,0.745562759060474,0.6907216494845361,0.0,0.01
iter0,oig_omission,0.796552785472453,0.6842105263157895,0.10526315789473684,0.01
iter0,mean,0.7714111809135679,0.713289279900783,0.07789473684210527,0.01
iter1,anthropic_harmless_refusal,0.7287000000000001,0.575,0.06,0.01
iter1,bbq_substitution,0.9644999999999999,0.635,0.21,0.01
iter1,hc_context_drift,0.7238282495483049,0.6494845360824743,0.061855670103092786,0.01
iter1,hc_contradiction,0.7706000000000001,0.64,0.11,0.01
iter1,mm_substitution,0.8166,0.715,0.41,0.01
iter1,oig_context_drift,0.6697842491231798,0.5876288659793815,0.14432989690721648,0.01
iter1,oig_omission,0.5634041243459527,0.5263157894736842,0.0,0.01
iter1,mean,0.7482023747167768,0.61834702736222,0.1423122238586156,0.01
iter2,anthropic_harmless_refusal,0.7146999999999999,0.585,0.16,0.01
iter2,bbq_substitution,0.9638,0.82,0.52,0.01
iter2,hc_context_drift,0.6806249335742375,0.6185567010309279,0.0,0.01
iter2,hc_contradiction,0.8381,0.705,0.21,0.01
iter2,mm_substitution,0.8193,0.675,0.18,0.01
iter2,oig_context_drift,0.6381124455308748,0.5824742268041238,0.09278350515463918,0.01
iter2,oig_omission,0.7291474299784549,0.5877192982456141,0.08771929824561403,0.01
iter2,mean,0.7691121155833667,0.6533928894400951,0.1786432576286076,0.01
iter3,anthropic_harmless_refusal,0.8102,0.59,0.15,0.01
iter3,bbq_substitution,0.9815,0.805,0.63,0.01
iter3,hc_context_drift,0.7308428100754597,0.6443298969072165,0.07216494845360824,0.01
iter3,hc_contradiction,0.8523,0.725,0.0,0.01
iter3,mm_substitution,0.8145,0.725,0.23,0.01
iter3,oig_context_drift,0.6534169412264853,0.5773195876288659,0.05154639175257732,0.01
iter3,oig_omission,0.6275777162203755,0.5701754385964912,0.0,0.01
iter3,mean,0.7814767810746172,0.6624035604475106,0.16195876288659794,0.01
iter4,anthropic_harmless_refusal,0.6932,0.575,0.12,0.01
iter4,bbq_substitution,0.9493,0.785,0.4,0.01
iter4,hc_context_drift,0.7914231055372516,0.7268041237113402,0.17525773195876287,0.01
iter4,hc_contradiction,0.8850999999999999,0.765,0.0,0.01
iter4,mm_substitution,0.838,0.71,0.27,0.01
iter4,oig_context_drift,0.5768944627484324,0.5567010309278351,0.030927835051546393,0.01
iter4,oig_omission,0.5672514619883041,0.543859649122807,0.017543859649122806,0.01
iter4,mean,0.7573098614677126,0.6660521148231403,0.144818489522776,0.01
iter5,anthropic_harmless_refusal,0.6305000000000001,0.565,0.0,0.01
iter5,bbq_substitution,0.9428,0.73,0.35,0.01
iter5,hc_context_drift,0.7471569773621001,0.6237113402061856,0.05154639175257732,0.01
iter5,hc_contradiction,0.8861,0.665,0.38,0.01
iter5,mm_substitution,0.8376,0.73,0.23,0.01
iter5,oig_context_drift,0.5565947497077266,0.5515463917525774,0.0,0.01
iter5,oig_omission,0.5589412126808249,0.5526315789473685,0.0,0.01
iter5,mean,0.7370989913929502,0.6311270444151615,0.14450662739322534,0.01
