round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_harmless_refusal,0.70975,0.65,0.32,0.01
iter0,bbq_substitution,0.5247,0.53,0.0,0.01
iter0,hc_context_drift,0.5,0.4948453608247423,0.010309278350515464,0.01
iter0,hc_contradiction,0.49115000000000003,0.505,0.0,0.01
iter0,mm_substitution,0.37200000000000005,0.415,0.0,0.01
iter0,oig_context_drift,0.5082367945584015,0.4948453608247423,0.0,0.01
iter0,oig_omission,0.5477069867651585,0.5087719298245614,0.0,0.01
iter0,mean,0.5219348259033657,0.5140660930677209,0.047187039764359354,0.01
iter1,anthropic_harmless_refusal,0.8107500000000001,0.56,0.44,0.01
iter1,bbq_substitution,0.36145000000000005,0.375,0.0,0.01
iter1,hc_context_drift,0.5608459985120628,0.5,0.0,0.01
iter1,hc_contradiction,0.56345,0.5,0.0,0.01
iter1,mm_substitution,0.8881,0.77,0.35,0.01
iter1,oig_context_drift,0.7668721436922096,0.5154639175257731,0.010309278350515464,0.01
iter1,oig_omission,0.602954755309326,0.5,0.03508771929824561,0.01
iter1,mean,0.6506318425019426,0.5314948453608247,0.1193424282355373,0.01
iter2,anthropic_harmless_refusal,0.8585499999999999,0.62,0.61,0.01
iter2,bbq_substitution,0.36169999999999997,0.41,0.0,0.01
iter2,hc_context_drift,0.5237538526942289,0.5,0.0,0.01
iter2,hc_contradiction,0.52855,0.5,0.0,0.01
iter2,mm_substitution,0.8690000000000001,0.7,0.45,0.01
iter2,oig_context_drift,0.7156977362100116,0.5103092783505154,0.0,0.01
iter2,oig_omission,0.44906124961526617,0.5,0.0,0.01
iter2,mean,0.6151875483599295,0.5343298969072166,0.15142857142857144,0.01
iter3,anthropic_harmless_refusal,0.8422000000000001,0.6,0.53,0.01
iter3,bbq_substitution,0.3853,0.415,0.01,0.01
iter3,hc_context_drift,0.5297056010202997,0.5,0.0,0.01
iter3,hc_contradiction,0.5408,0.5,0.0,0.01
iter3,mm_substitution,0.8685999999999999,0.7,0.37,0.01
iter3,oig_context_drift,0.700340099904347,0.5103092783505154,0.0,0.01
iter3,oig_omission,0.4462911665127732,0.5,0.0,0.01
iter3,mean,0.6161766953482027,0.5321870397643593,0.13,0.01
