arm,generator,steering,added,anthropic_harmless_refusal,bbq_substitution,hc_context_drift,hc_contradiction,mm_substitution,oig_context_drift,oig_omission,mean
base probe (50 rows only),—,none,0,0.5344,0.8626,0.7145,0.9089,0.9341,0.7142,0.7764,0.7779
control: +150 unsteered,llama-3.3-70b,none,150,0.5237,0.7920,0.6398,0.8793,0.9825,0.6611,0.6844,0.7375
NEW: +150 unsteered,nemotron-3-ultra-550b,none,150,0.7009,0.9086,0.7457,0.8048,0.9191,0.7793,0.6500,0.7869
NEW: +200 unsteered,nemotron-3-ultra-550b,none,200,0.7649,0.9104,0.7689,0.7974,0.9127,0.7867,0.7081,0.8070
ΔAUROC loop iter3,llama-3.3-70b,judge memo + probe ΔAUROC,10,0.6865,0.8865,0.6721,0.9062,0.9476,0.7093,0.6827,0.7844
ΔAUROC loop iter5,llama-3.3-70b,judge memo + probe ΔAUROC,80,0.9253,0.9370,0.7708,0.9341,0.8985,0.6644,0.6099,0.8200
redteam rt_batch60 (ens1) iter1,nemotron-3-ultra-550b,attacker+judge (red team),546,0.6621,0.9757,0.8374,0.8786,0.9349,0.7368,0.6607,0.8123
redteam rt_batch60 (ens1) iter2,nemotron-3-ultra-550b,attacker+judge (red team),668,0.8455,0.9425,0.8864,0.8060,0.9561,0.7293,0.6697,0.8337
redteam rt_batch60 (ens1) iter3,nemotron-3-ultra-550b,attacker+judge (red team),928,0.6418,0.9596,0.7804,0.8458,0.9208,0.6346,0.5673,0.7643
redteam rt_ens10 iter1,nemotron-3-ultra-550b,attacker+judge (red team),250,0.6945,0.9663,0.7842,0.7053,0.7001,0.6281,0.6959,0.7392
redteam rt_ens10 iter2,nemotron-3-ultra-550b,attacker+judge (red team),430,0.2767,0.9473,0.9156,0.8063,0.9365,0.7027,0.7196,0.7578
redteam rt_ens10 iter3,nemotron-3-ultra-550b,attacker+judge (red team),560,0.0897,0.9294,0.8941,0.8294,0.9285,0.6754,0.7098,0.7223
redteam rt_ens10 iter4,nemotron-3-ultra-550b,attacker+judge (red team),696,0.1258,0.8603,0.9523,0.7917,0.9133,0.6754,0.7725,0.7273
redteam rt_ens10 iter5,nemotron-3-ultra-550b,attacker+judge (red team),830,0.3148,0.8423,0.9226,0.8191,0.8985,0.7084,0.7565,0.7518
redteam rt_ens10dev iter1,nemotron-3-ultra-550b,attacker+judge (red team),286,0.7214,0.9312,0.7869,0.8109,0.8755,0.7275,0.6230,0.7823
redteam rt_ens10dev iter2,nemotron-3-ultra-550b,attacker+judge (red team),466,0.7990,0.9156,0.8662,0.8485,0.9124,0.7560,0.7014,0.8284
redteam rt_ens10dev iter3,nemotron-3-ultra-550b,attacker+judge (red team),604,0.8252,0.9166,0.7410,0.9017,0.9757,0.7554,0.6276,0.8205
redteam rt_ens10dev iter4,nemotron-3-ultra-550b,attacker+judge (red team),740,0.8442,0.9099,0.8156,0.9176,0.9604,0.6879,0.6328,0.8241
redteam rt_ens10dev iter5,nemotron-3-ultra-550b,attacker+judge (red team),812,0.9216,0.9362,0.8683,0.9163,0.9483,0.7379,0.6879,0.8595
redteam rt_xmemodesc iter1,nemotron-3-ultra-550b,attacker+judge (red team),262,0.7287,0.9645,0.7238,0.7706,0.8166,0.6698,0.5634,0.7482
redteam rt_xmemodesc iter2,nemotron-3-ultra-550b,attacker+judge (red team),442,0.7147,0.9638,0.6806,0.8381,0.8193,0.6381,0.7291,0.7691
redteam rt_xmemodesc iter3,nemotron-3-ultra-550b,attacker+judge (red team),578,0.8102,0.9815,0.7308,0.8523,0.8145,0.6534,0.6276,0.7815
redteam rt_xmemodesc iter4,nemotron-3-ultra-550b,attacker+judge (red team),714,0.6932,0.9493,0.7914,0.8851,0.8380,0.5769,0.5673,0.7573
redteam rt_xmemodesc iter5,nemotron-3-ultra-550b,attacker+judge (red team),886,0.6305,0.9428,0.7472,0.8861,0.8376,0.5566,0.5589,0.7371
redteam rt_xmemocat iter1,nemotron-3-ultra-550b,attacker+judge (red team),208,0.7569,0.6776,0.7528,0.6158,0.8019,0.7480,0.6343,0.7125
redteam rt_xmemocat iter2,nemotron-3-ultra-550b,attacker+judge (red team),374,0.4937,0.9712,0.9276,0.8329,0.8742,0.7793,0.6384,0.7882
redteam rt_xmemocat iter3,nemotron-3-ultra-550b,attacker+judge (red team),524,0.5832,0.9545,0.9539,0.8648,0.9482,0.6017,0.6300,0.7909
redteam rt_xmemocat iter4,nemotron-3-ultra-550b,attacker+judge (red team),606,0.5113,0.9618,0.8928,0.9355,0.9389,0.6188,0.6716,0.7901
redteam rt_xmemocat iter5,nemotron-3-ultra-550b,attacker+judge (red team),710,0.6558,0.9562,0.9280,0.9229,0.9120,0.5931,0.6725,0.8058
