pair,gens,n_gens,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_hh_balanced,dev_mt_balanced,dev_mts_balanced,dev_toolace_balanced,eval_anthropic_hh_balanced,eval_mt_balanced,eval_mts_balanced,eval_toolace_balanced,seconds
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,0,150,150,300,0.93917,0.94268,0.95826,0.96103,0.94496,0.89242,0.96556,0.95308,0.98432,0.86777,921.5
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,1,150,150,300,0.93838,0.93534,0.9497,0.95158,0.94248,0.90976,0.95543,0.94478,0.97134,0.86981,623.2
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,0,300,300,600,0.9341,0.93564,0.95781,0.93696,0.94376,0.89785,0.96562,0.93023,0.96106,0.88566,647.6
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,1,300,300,600,0.9441,0.94107,0.96523,0.97578,0.94579,0.88959,0.97315,0.97009,0.96998,0.85104,694.4
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,300,0,450,450,900,0.94141,0.94713,0.96968,0.96281,0.94571,0.88746,0.97471,0.96304,0.97837,0.87239,887.0
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,300,1,450,450,900,0.93634,0.93756,0.95166,0.97184,0.95916,0.86269,0.95793,0.97628,0.98432,0.83169,734.1
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,400,0,600,600,1200,0.94556,0.94835,0.96799,0.96809,0.94448,0.9017,0.97524,0.96798,0.97404,0.87615,1075.1
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,400,1,600,600,1200,0.93554,0.9422,0.96609,0.94677,0.94387,0.88545,0.97206,0.93686,0.9854,0.8745,828.1
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,500,0,750,750,1500,0.92862,0.91969,0.96437,0.95153,0.93897,0.85963,0.97271,0.93587,0.94835,0.82183,832.4
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,500,1,750,750,1500,0.94046,0.93972,0.97165,0.94206,0.96215,0.88597,0.9786,0.92541,0.99946,0.85542,860.5
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,600,0,900,900,1800,0.91606,0.91287,0.96602,0.88999,0.93271,0.87554,0.96978,0.8719,0.96917,0.84063,833.3
