pair,gen_a,gen_b,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_hh_balanced,dev_mt_balanced,dev_mts_balanced,dev_toolace_balanced,eval_anthropic_hh_balanced,eval_mt_balanced,eval_mts_balanced,eval_toolace_balanced,seconds
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,0,100,100,200,0.88877,0.89095,0.94261,0.95288,0.88851,0.77108,0.9593,0.94414,0.90725,0.75309,775.6
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,1,100,100,200,0.91184,0.91343,0.95105,0.96716,0.92893,0.80023,0.95762,0.96034,0.95241,0.78334,679.3
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,0,200,200,400,0.89956,0.89163,0.95313,0.90352,0.91185,0.82973,0.96633,0.88936,0.91239,0.79845,698.2
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,1,200,200,400,0.90918,0.90084,0.95426,0.95792,0.91294,0.81159,0.9652,0.9432,0.91996,0.77499,948.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,0,300,300,600,0.92006,0.91937,0.9626,0.95973,0.92805,0.82988,0.97115,0.96031,0.947,0.79901,667.0
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,1,300,300,600,0.92092,0.92117,0.95337,0.97021,0.9309,0.82921,0.96398,0.96647,0.94646,0.80778,851.4
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,0,400,400,800,0.91217,0.91048,0.9617,0.95293,0.91904,0.81503,0.97197,0.9441,0.9232,0.80265,654.6
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,1,400,400,800,0.9176,0.90698,0.95901,0.95218,0.93564,0.82358,0.97062,0.9442,0.94348,0.76963,673.6
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,0,500,500,1000,0.89424,0.87926,0.93774,0.94638,0.92301,0.76984,0.9533,0.92049,0.92239,0.72088,696.8
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,1,500,500,1000,0.91406,0.90844,0.95883,0.96742,0.93247,0.79753,0.96999,0.95723,0.94511,0.76142,908.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,600,0,600,600,1200,0.91087,0.89897,0.95124,0.9508,0.91369,0.82774,0.96312,0.93984,0.91942,0.7735,733.2
gptoss+llama70b,gptoss,llama70b,100,0,100,100,200,0.90928,0.91707,0.87191,0.95764,0.90631,0.90127,0.87608,0.96659,0.95403,0.8716,732.6
gptoss+llama70b,gptoss,llama70b,100,1,100,100,200,0.91769,0.92126,0.90236,0.93683,0.92203,0.90956,0.90431,0.93535,0.96485,0.88053,710.0
gptoss+llama70b,gptoss,llama70b,200,0,200,200,400,0.91859,0.92868,0.94682,0.95849,0.87567,0.89337,0.94829,0.94063,0.947,0.87878,750.1
gptoss+llama70b,gptoss,llama70b,200,1,200,200,400,0.93655,0.93402,0.92679,0.97632,0.93702,0.90606,0.93335,0.96906,0.97107,0.86259,744.6
gptoss+llama70b,gptoss,llama70b,300,0,300,300,600,0.93505,0.94025,0.95227,0.96553,0.92829,0.89411,0.95126,0.96162,0.96809,0.88001,892.2
gptoss+llama70b,gptoss,llama70b,300,1,300,300,600,0.93594,0.93404,0.93615,0.96048,0.94917,0.89796,0.93877,0.94703,0.98107,0.86931,671.7
gptoss+llama70b,gptoss,llama70b,400,0,400,400,800,0.93361,0.93763,0.96456,0.93559,0.93894,0.89536,0.96713,0.92467,0.98729,0.87142,1039.7
gptoss+llama70b,gptoss,llama70b,400,1,400,400,800,0.90803,0.92039,0.93874,0.89012,0.90468,0.89857,0.9436,0.89264,0.95673,0.88858,717.9
gptoss+llama70b,gptoss,llama70b,500,0,500,500,1000,0.93224,0.92971,0.936,0.97107,0.94264,0.87924,0.93892,0.95835,0.97296,0.84863,890.8
gptoss+llama70b,gptoss,llama70b,500,1,500,500,1000,0.93142,0.93493,0.96417,0.9196,0.94891,0.89301,0.96722,0.90953,0.99351,0.86947,897.2
gptoss+llama70b,gptoss,llama70b,600,0,600,600,1200,0.92184,0.92623,0.95873,0.90619,0.92123,0.90123,0.96035,0.89072,0.97999,0.87386,1066.3
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,0,100,100,200,0.91612,0.91532,0.93547,0.9123,0.92631,0.89039,0.94246,0.89568,0.96539,0.85777,594.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,1,100,100,200,0.92752,0.93743,0.93804,0.92707,0.94459,0.90039,0.94269,0.94403,0.98594,0.87704,656.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,0,200,200,400,0.91975,0.93176,0.96069,0.90503,0.92807,0.88521,0.96871,0.92142,0.95754,0.87937,697.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,1,200,200,400,0.9391,0.94229,0.9623,0.97192,0.94749,0.87468,0.97373,0.97302,0.97891,0.84351,783.5
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,0,300,300,600,0.9353,0.94331,0.96243,0.95179,0.95434,0.87264,0.96935,0.95651,0.98242,0.86497,659.4
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,1,300,300,600,0.93258,0.93615,0.96345,0.94097,0.93383,0.89207,0.96854,0.92776,0.97647,0.87183,754.5
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,0,400,400,800,0.93886,0.94838,0.96801,0.94674,0.95074,0.88995,0.97639,0.94078,0.9854,0.89095,688.1
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,1,400,400,800,0.93593,0.94626,0.9643,0.93849,0.95362,0.88731,0.97183,0.94582,0.99216,0.87523,634.2
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,0,500,500,1000,0.94274,0.94547,0.96255,0.96664,0.94771,0.89405,0.97073,0.96403,0.98188,0.86523,880.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,1,500,500,1000,0.92889,0.93669,0.97047,0.9145,0.93492,0.89569,0.97715,0.91282,0.97566,0.88113,865.9
deepseekv4pro+llama70b,deepseekv4pro,llama70b,600,0,600,600,1200,0.94075,0.95078,0.96838,0.96703,0.9326,0.89498,0.97489,0.96002,0.99027,0.87795,738.1
