samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_hh_balanced,dev_mt_balanced,dev_mts_balanced,dev_toolace_balanced,eval_anthropic_hh_balanced,eval_mt_balanced,eval_mts_balanced,eval_toolace_balanced,seconds
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,100,0,50,50,150,0.85355,0.84132,0.91595,0.95158,0.89485,0.65183,0.9335,0.93552,0.89183,0.60443,772.2
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,100,1,50,50,150,0.88855,0.88172,0.9242,0.93745,0.88793,0.80462,0.93688,0.93495,0.8821,0.77296,499.1
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,200,0,100,100,250,0.86536,0.8478,0.85378,0.94892,0.89874,0.75998,0.861,0.93784,0.88453,0.70782,864.4
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,200,1,100,100,250,0.86273,0.84467,0.87898,0.90955,0.89163,0.77077,0.88513,0.88848,0.88075,0.72432,886.7
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,300,0,150,150,350,0.85647,0.854,0.86586,0.94051,0.89094,0.72857,0.87318,0.93218,0.8848,0.72583,913.4
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,300,1,150,150,350,0.89461,0.88721,0.93847,0.93473,0.90255,0.80268,0.95042,0.93724,0.88534,0.77583,657.6
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,400,0,200,200,450,0.87585,0.86583,0.8648,0.9587,0.89666,0.78322,0.86775,0.93985,0.90481,0.75092,853.2
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,400,1,200,200,450,0.88365,0.87438,0.90999,0.95942,0.89914,0.76606,0.91834,0.95044,0.91536,0.7134,990.3
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,500,0,250,250,550,0.88074,0.86291,0.91496,0.9579,0.88105,0.76905,0.92256,0.93554,0.87128,0.72226,1013.9
highstakes_gptoss_600.jsonl,highstakes_gptoss_50.jsonl,500,1,250,250,550,0.88537,0.88235,0.92381,0.96618,0.8997,0.75178,0.93339,0.9491,0.91752,0.72937,1015.8
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,100,0,50,50,150,0.88734,0.89714,0.95944,0.92912,0.89829,0.76253,0.96901,0.91975,0.92455,0.77523,607.2
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,100,1,50,50,150,0.86007,0.86905,0.94987,0.92687,0.91204,0.65149,0.96094,0.92273,0.92915,0.66339,577.3
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,200,0,100,100,250,0.86173,0.86362,0.95604,0.94346,0.86912,0.6783,0.96443,0.93267,0.89373,0.66366,624.7
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,200,1,100,100,250,0.88769,0.90097,0.96563,0.97288,0.93961,0.67263,0.97472,0.97435,0.97431,0.6805,712.1
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,300,0,150,150,350,0.88628,0.89148,0.94759,0.92521,0.91531,0.75703,0.96254,0.92097,0.92401,0.75838,667.7
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,300,1,150,150,350,0.90678,0.90373,0.9593,0.95888,0.93423,0.77472,0.97026,0.94797,0.95078,0.7459,781.7
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,400,0,200,200,450,0.91438,0.90882,0.95587,0.96098,0.94243,0.79824,0.96858,0.94688,0.94592,0.77389,638.3
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,400,1,200,200,450,0.91035,0.9081,0.95577,0.9559,0.92906,0.80066,0.96689,0.94665,0.94213,0.77673,677.7
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,500,0,250,250,550,0.89477,0.89538,0.95694,0.96154,0.90149,0.75911,0.97007,0.96206,0.92131,0.72807,796.8
highstakes_deepseekv4pro_600.jsonl,highstakes_deepseekv4pro_50.jsonl,500,1,250,250,550,0.90976,0.91107,0.95978,0.96255,0.92504,0.79168,0.97205,0.95882,0.94186,0.77154,890.8
