samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_hh_balanced,dev_mt_balanced,dev_mts_balanced,dev_toolace_balanced,eval_anthropic_hh_balanced,eval_mt_balanced,eval_mts_balanced,eval_toolace_balanced,seconds
highstakes_gptoss_600.jsonl,100,0,50,50,150,0.94001,0.93515,0.95798,0.98331,0.9501,0.86866,0.96635,0.95952,0.97025,0.84449,724.6
highstakes_gptoss_600.jsonl,100,1,50,50,150,0.94802,0.94244,0.96774,0.98145,0.93782,0.90506,0.97323,0.96722,0.95646,0.87286,639.8
highstakes_gptoss_600.jsonl,200,0,100,100,250,0.94016,0.93377,0.94947,0.97146,0.9443,0.89541,0.95716,0.95376,0.96809,0.85606,869.5
highstakes_gptoss_600.jsonl,200,1,100,100,250,0.943,0.93774,0.9621,0.97412,0.92991,0.90588,0.96985,0.9517,0.95998,0.86942,872.6
highstakes_gptoss_600.jsonl,300,0,150,150,350,0.94052,0.94008,0.9487,0.98649,0.94166,0.88521,0.95519,0.97827,0.96295,0.86392,743.8
highstakes_gptoss_600.jsonl,300,1,150,150,350,0.94097,0.93933,0.95708,0.98069,0.92701,0.89909,0.96905,0.97439,0.94781,0.86606,738.6
highstakes_gptoss_600.jsonl,400,0,200,200,450,0.94102,0.93201,0.9451,0.98556,0.93705,0.89636,0.95198,0.96277,0.95214,0.86116,652.1
highstakes_gptoss_600.jsonl,400,1,200,200,450,0.94656,0.94154,0.96136,0.98789,0.9419,0.89508,0.96776,0.97799,0.97052,0.84989,1007.0
highstakes_gptoss_600.jsonl,500,0,250,250,550,0.93633,0.92109,0.95972,0.97415,0.91768,0.89376,0.96737,0.9426,0.93835,0.83607,771.5
highstakes_gptoss_600.jsonl,500,1,250,250,550,0.94098,0.93322,0.96093,0.98256,0.92717,0.89327,0.96777,0.96057,0.95322,0.85134,679.1
highstakes_deepseekv4pro_600.jsonl,100,0,50,50,150,0.94008,0.93983,0.96986,0.9624,0.93572,0.89234,0.97907,0.94439,0.96512,0.87073,698.3
highstakes_deepseekv4pro_600.jsonl,100,1,50,50,150,0.9436,0.95052,0.96962,0.96814,0.95399,0.88266,0.98024,0.96967,0.98134,0.87083,684.7
highstakes_deepseekv4pro_600.jsonl,200,0,100,100,250,0.9352,0.93379,0.9701,0.95802,0.93508,0.8776,0.97891,0.936,0.96701,0.85325,690.6
highstakes_deepseekv4pro_600.jsonl,200,1,100,100,250,0.94505,0.94795,0.97134,0.98452,0.96127,0.86307,0.98184,0.98177,0.98513,0.84306,570.7
highstakes_deepseekv4pro_600.jsonl,300,0,150,150,350,0.93576,0.9347,0.96369,0.96537,0.94605,0.86792,0.97652,0.96121,0.96268,0.83841,593.7
highstakes_deepseekv4pro_600.jsonl,300,1,150,150,350,0.94964,0.94644,0.96743,0.9779,0.96188,0.89136,0.97872,0.96683,0.98486,0.85536,640.2
highstakes_deepseekv4pro_600.jsonl,400,0,200,200,450,0.94669,0.9409,0.96444,0.97397,0.9614,0.88695,0.97698,0.9636,0.97269,0.85034,794.5
highstakes_deepseekv4pro_600.jsonl,400,1,200,200,450,0.94258,0.94309,0.96489,0.97557,0.95026,0.87959,0.97629,0.96683,0.98161,0.84764,929.6
highstakes_deepseekv4pro_600.jsonl,500,0,250,250,550,0.93965,0.93872,0.96611,0.97575,0.93425,0.88247,0.97824,0.96892,0.96403,0.84367,1025.6
highstakes_deepseekv4pro_600.jsonl,500,1,250,250,550,0.94566,0.94159,0.96762,0.97679,0.95935,0.8789,0.97898,0.96777,0.97485,0.84478,1009.0
