pair,gens,n_gens,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,0,150,150,300,0.91346,0.88432,0.99338,0.77789,0.88438,0.99816,0.99167,0.71129,0.84524,0.98907,33.7
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,1,150,150,300,0.91554,0.90535,1.0,0.71901,0.94409,0.99908,0.99924,0.70806,0.92174,0.99235,21.1
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,2,150,150,300,0.92833,0.90066,0.99811,0.78616,0.92905,1.0,0.99632,0.72355,0.89996,0.98282,36.6
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,3,150,150,300,0.9213,0.89256,0.99338,0.77273,0.92003,0.99908,0.99654,0.71542,0.86936,0.98891,19.2
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,4,150,150,300,0.9075,0.89373,1.0,0.70455,0.92593,0.99954,0.99557,0.69347,0.89953,0.98636,20.6
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,5,150,150,300,0.9245,0.89664,1.0,0.78099,0.9207,0.99633,0.99816,0.72577,0.87979,0.98282,21.3
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,6,150,150,300,0.94421,0.90244,1.0,0.84607,0.93261,0.99816,0.9973,0.74761,0.8789,0.98594,20.8
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,100,7,150,150,300,0.92536,0.90612,1.0,0.73967,0.96269,0.99908,0.99849,0.71441,0.92699,0.98459,40.1
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,0,300,300,600,0.92987,0.91192,1.0,0.77996,0.93952,1.0,0.99913,0.74438,0.91428,0.9899,29.4
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,1,300,300,600,0.93962,0.91089,1.0,0.80165,0.95868,0.99816,0.99957,0.72711,0.9283,0.9886,27.2
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,2,300,300,600,0.93063,0.90206,1.0,0.78616,0.93818,0.99816,0.99892,0.72945,0.89362,0.98626,30.7
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,3,300,300,600,0.93537,0.89812,1.0,0.81302,0.93306,0.99541,0.99881,0.72811,0.88092,0.98464,46.1
deepseekv4pro+gptoss+llama70b,deepseekv4pro+gptoss+llama70b,3,200,4,300,300,600,0.92511,0.89541,1.0,0.76963,0.93083,1.0,0.99859,0.70094,0.89899,0.98313,47.2
