pair,gen_a,gen_b,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,0,100,100,200,0.88969,0.87464,0.99622,0.66942,0.90232,0.99082,0.99351,0.67298,0.85486,0.9772,32.1
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,1,100,100,200,0.87754,0.88187,1.0,0.61054,0.90744,0.99219,0.99546,0.68144,0.86714,0.98344,17.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,2,100,100,200,0.90834,0.87573,0.93856,0.81612,0.88695,0.99174,0.94572,0.72644,0.84513,0.98563,16.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,3,100,100,200,0.90062,0.88953,1.0,0.69112,0.9178,0.99357,0.99719,0.70183,0.86984,0.98928,16.5
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,4,100,100,200,0.90754,0.89801,1.0,0.69835,0.93272,0.99908,0.99935,0.6898,0.91386,0.98901,18.4
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,5,100,100,200,0.91445,0.89469,1.0,0.72831,0.93317,0.99633,0.99762,0.70495,0.89356,0.98261,18.8
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,6,100,100,200,0.91702,0.88287,1.0,0.79752,0.87881,0.99174,0.99211,0.70573,0.84397,0.98969,16.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,100,7,100,100,200,0.89308,0.88856,1.0,0.66529,0.91346,0.99357,0.99816,0.69804,0.87648,0.98157,17.2
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,0,200,200,400,0.92105,0.89216,0.97826,0.82438,0.88617,0.99541,0.98129,0.74816,0.84669,0.9925,21.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,1,200,200,400,0.92532,0.90086,1.0,0.78822,0.9149,0.99816,0.99708,0.73313,0.88287,0.99037,21.0
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,2,200,200,400,0.91673,0.89115,1.0,0.77273,0.89786,0.99633,0.99513,0.71753,0.86077,0.99115,22.1
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,3,200,200,400,0.92024,0.8864,0.99527,0.79752,0.89274,0.99541,0.98767,0.72522,0.84139,0.99131,21.2
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,4,200,200,400,0.89914,0.87157,0.98204,0.7686,0.86244,0.98347,0.96724,0.69748,0.83696,0.98459,21.4
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,5,200,200,400,0.90754,0.89415,1.0,0.70455,0.92838,0.99725,0.99892,0.70227,0.88925,0.98615,21.3
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,6,200,200,400,0.93168,0.89202,1.0,0.80579,0.9237,0.99725,0.99849,0.71141,0.87236,0.98584,38.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,200,7,200,200,400,0.92882,0.89444,1.0,0.79855,0.9227,0.99403,0.99697,0.71363,0.87649,0.99068,21.8
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,0,300,300,600,0.9225,0.89846,1.0,0.77686,0.91591,0.99725,0.99849,0.73235,0.87335,0.98964,25.7
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,1,300,300,600,0.90684,0.89241,1.0,0.71591,0.91513,0.99633,0.99676,0.71074,0.87681,0.98532,43.5
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,2,300,300,600,0.93626,0.91497,1.0,0.79442,0.95244,0.99816,0.99989,0.75496,0.9152,0.98985,32.5
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,3,300,300,600,0.92331,0.89727,1.0,0.77376,0.92315,0.99633,0.99924,0.72054,0.87565,0.99365,28.2
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,4,300,300,600,0.94477,0.91329,1.0,0.83368,0.94542,1.0,0.99946,0.76019,0.90531,0.98818,45.6
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,5,300,300,600,0.93215,0.90274,1.0,0.82335,0.908,0.99725,1.0,0.75106,0.86504,0.99485,26.0
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,6,300,300,600,0.9287,0.90693,1.0,0.78202,0.93462,0.99816,0.99416,0.72544,0.91449,0.99365,30.2
