samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,0,50,50,150,0.88995,0.8859,0.99055,0.66012,0.91279,0.99633,0.97902,0.72299,0.85917,0.9824,32.1
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,1,50,50,150,0.91788,0.89355,1.0,0.75413,0.92014,0.99725,0.99427,0.72477,0.86988,0.98527,25.7
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,2,50,50,150,0.88531,0.87494,0.99433,0.63843,0.91123,0.99725,0.98389,0.67086,0.8645,0.98053,21.2
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,3,50,50,150,0.90549,0.88048,0.99055,0.72004,0.9178,0.99357,0.97946,0.69492,0.86984,0.97772,17.7
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,4,50,50,150,0.92356,0.89017,0.9896,0.80888,0.89942,0.99633,0.98346,0.74649,0.84702,0.9837,19.4
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,5,50,50,150,0.92521,0.89878,0.99622,0.7686,0.93785,0.99816,0.99103,0.73179,0.88333,0.98896,19.7
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,6,50,50,150,0.90703,0.88892,1.0,0.71591,0.9168,0.99541,0.9933,0.70728,0.87102,0.98407,19.8
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,100,7,50,50,150,0.89986,0.89001,1.0,0.67665,0.92738,0.99541,0.99221,0.69793,0.8889,0.981,17.1
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,200,0,100,100,250,0.91097,0.88264,0.98677,0.7593,0.89964,0.99816,0.97329,0.73134,0.84621,0.9797,40.5
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,200,1,100,100,250,0.91624,0.89349,1.0,0.74587,0.92003,0.99908,0.99546,0.72221,0.87239,0.98391,20.4
