samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
hu_harm_gptoss_600.jsonl,100,0,50,50,150,0.91522,0.89365,0.97164,0.79029,0.90722,0.99174,0.95015,0.78225,0.86202,0.98016,27.5
hu_harm_gptoss_600.jsonl,100,1,50,50,150,0.91728,0.89539,1.0,0.75723,0.91557,0.99633,0.99124,0.73446,0.8698,0.98605,17.6
hu_harm_gptoss_600.jsonl,100,2,50,50,150,0.90348,0.87171,0.94707,0.80372,0.87414,0.98898,0.91101,0.75084,0.84509,0.9799,16.4
hu_harm_gptoss_600.jsonl,100,3,50,50,150,0.90184,0.88109,0.99055,0.71281,0.91134,0.99265,0.96832,0.70283,0.8678,0.98542,17.1
hu_harm_gptoss_600.jsonl,100,4,50,50,150,0.9056,0.8832,0.96975,0.77583,0.88784,0.98898,0.93415,0.76309,0.85255,0.98303,16.3
hu_harm_gptoss_600.jsonl,100,5,50,50,150,0.89808,0.86969,0.95274,0.78409,0.86834,0.98714,0.90928,0.75473,0.83482,0.9799,17.3
hu_harm_gptoss_600.jsonl,100,6,50,50,150,0.90558,0.87765,0.98015,0.7655,0.88494,0.99174,0.94961,0.72266,0.8552,0.98313,17.3
hu_harm_gptoss_600.jsonl,100,7,50,50,150,0.89421,0.88843,1.0,0.66322,0.91958,0.99403,0.9801,0.68222,0.90416,0.98724,17.7
hu_harm_gptoss_600.jsonl,200,0,100,100,250,0.88525,0.86104,0.90265,0.77273,0.88216,0.98347,0.8697,0.72767,0.86486,0.98193,18.3
hu_harm_gptoss_600.jsonl,200,1,100,100,250,0.91925,0.88804,0.98204,0.83471,0.87035,0.9899,0.95404,0.77512,0.84237,0.98063,18.4
hu_harm_gptoss_600.jsonl,200,2,100,100,250,0.88384,0.86031,0.87524,0.81715,0.85721,0.98577,0.85413,0.77857,0.83681,0.97173,17.9
hu_harm_gptoss_600.jsonl,200,3,100,100,250,0.91342,0.8894,0.9811,0.78409,0.89307,0.99541,0.95621,0.75061,0.86482,0.98594,17.9
hu_harm_gptoss_600.jsonl,200,4,100,100,250,0.89281,0.87482,0.93195,0.77376,0.88204,0.98347,0.92128,0.73067,0.8667,0.98063,18.0
hu_harm_gptoss_600.jsonl,200,5,100,100,250,0.92145,0.89408,0.98393,0.80165,0.90299,0.99725,0.97199,0.77044,0.8508,0.98308,18.8
hu_harm_gptoss_600.jsonl,200,6,100,100,250,0.90794,0.88563,0.98204,0.77893,0.87904,0.99174,0.95361,0.75239,0.8518,0.98469,17.7
hu_harm_gptoss_600.jsonl,200,7,100,100,250,0.89568,0.86547,0.96975,0.77376,0.85253,0.98669,0.93177,0.71586,0.83544,0.97881,17.9
hu_harm_gptoss_600.jsonl,300,0,150,150,350,0.86604,0.84864,0.88469,0.74793,0.8591,0.97245,0.87262,0.70929,0.8416,0.97105,19.9
hu_harm_gptoss_600.jsonl,300,1,150,150,350,0.9093,0.89578,0.98488,0.7686,0.8943,0.98944,0.97232,0.75952,0.86429,0.98698,20.4
hu_harm_gptoss_600.jsonl,300,2,150,150,350,0.89381,0.86625,0.94234,0.78099,0.86567,0.98623,0.89436,0.74961,0.83865,0.9824,20.4
hu_harm_gptoss_600.jsonl,300,3,150,150,350,0.88215,0.85808,0.92722,0.76446,0.85253,0.98439,0.88354,0.73513,0.83124,0.9824,20.0
hu_harm_gptoss_600.jsonl,300,4,150,150,350,0.8796,0.85276,0.94707,0.7438,0.84406,0.98347,0.86581,0.73179,0.83462,0.97881,19.7
hu_harm_gptoss_600.jsonl,300,5,150,150,350,0.90347,0.8818,0.9603,0.77893,0.88015,0.99449,0.94377,0.74605,0.85508,0.9823,20.3
hu_harm_gptoss_600.jsonl,300,6,150,150,350,0.92086,0.89574,0.99622,0.77996,0.91,0.99725,0.98811,0.73803,0.86692,0.9899,20.8
hu_harm_gptoss_600.jsonl,300,7,150,150,350,0.91395,0.88853,1.0,0.78719,0.87458,0.99403,0.98821,0.74059,0.83751,0.98782,20.3
hu_harm_gptoss_600.jsonl,400,0,200,200,450,0.8756,0.85154,0.87807,0.77066,0.86745,0.98623,0.85965,0.72744,0.84428,0.9748,22.7
hu_harm_gptoss_600.jsonl,400,1,200,200,450,0.89814,0.88539,0.99244,0.75826,0.84919,0.99265,0.97232,0.74393,0.83662,0.9887,22.4
hu_harm_gptoss_600.jsonl,400,2,200,200,450,0.91006,0.88794,1.0,0.7438,0.8992,0.99725,0.99243,0.72511,0.85011,0.98412,23.1
hu_harm_gptoss_600.jsonl,400,3,200,200,450,0.90535,0.88003,0.97353,0.80785,0.84462,0.99541,0.95534,0.75551,0.82311,0.98615,22.5
hu_harm_gptoss_600.jsonl,400,4,200,200,450,0.92918,0.90662,0.99244,0.84091,0.88795,0.99541,0.98562,0.79182,0.85826,0.99079,22.3
hu_harm_gptoss_600.jsonl,400,5,200,200,450,0.82274,0.81012,0.71739,0.77376,0.84206,0.95776,0.72026,0.74482,0.82772,0.94768,23.2
hu_harm_gptoss_600.jsonl,400,6,200,200,450,0.8995,0.88876,1.0,0.69215,0.90677,0.99908,0.98702,0.72032,0.8605,0.98719,23.2
hu_harm_gptoss_600.jsonl,400,7,200,200,450,0.87608,0.85634,0.88374,0.79339,0.8474,0.9798,0.87067,0.75897,0.82827,0.96746,22.8
hu_harm_gptoss_600.jsonl,500,0,250,250,550,0.92154,0.89692,1.0,0.78099,0.9061,0.99908,0.99319,0.75462,0.85501,0.98485,26.6
hu_harm_gptoss_600.jsonl,500,1,250,250,550,0.88632,0.8708,0.96503,0.7376,0.8454,0.99725,0.93458,0.72622,0.8347,0.98771,25.1
hu_harm_gptoss_600.jsonl,500,2,250,250,550,0.91689,0.88524,0.99622,0.77376,0.89942,0.99816,0.98573,0.73123,0.84176,0.98225,59.8
hu_harm_gptoss_600.jsonl,500,3,250,250,550,0.89095,0.86327,0.94896,0.77583,0.84818,0.99082,0.91923,0.73034,0.8235,0.98001,25.3
hu_harm_gptoss_600.jsonl,500,4,250,250,550,0.91813,0.89856,1.0,0.77686,0.89842,0.99725,0.99773,0.7505,0.85991,0.9861,25.5
hu_harm_gptoss_600.jsonl,500,5,250,250,550,0.9233,0.90079,1.0,0.76963,0.92359,1.0,0.99795,0.74827,0.87366,0.98329,25.9
hu_harm_gptoss_600.jsonl,500,6,250,250,550,0.90297,0.89141,0.98866,0.76033,0.86656,0.99633,0.98486,0.75173,0.84118,0.98787,25.1
hu_harm_gptoss_600.jsonl,500,7,250,250,550,0.89624,0.87665,0.96125,0.78306,0.85398,0.98669,0.93469,0.75607,0.83941,0.97642,25.2
hu_harm_deepseekv4pro_600.jsonl,100,0,50,50,150,0.90831,0.88535,0.99622,0.73347,0.90722,0.99633,0.98821,0.70806,0.86167,0.98344,16.8
hu_harm_deepseekv4pro_600.jsonl,100,1,50,50,150,0.91127,0.88763,0.99055,0.7438,0.91256,0.99816,0.98237,0.72566,0.86539,0.97709,16.4
hu_harm_deepseekv4pro_600.jsonl,100,2,50,50,150,0.91486,0.89949,0.99622,0.74277,0.92504,0.99541,0.98497,0.70004,0.92551,0.98745,17.7
hu_harm_deepseekv4pro_600.jsonl,100,3,50,50,150,0.91022,0.89182,1.0,0.70764,0.93874,0.99449,0.98984,0.69837,0.89691,0.98214,17.3
hu_harm_deepseekv4pro_600.jsonl,100,4,50,50,150,0.87747,0.88058,0.99811,0.60021,0.91524,0.99633,0.99622,0.65104,0.88546,0.98959,16.9
hu_harm_deepseekv4pro_600.jsonl,100,5,50,50,150,0.89778,0.8786,0.99622,0.70041,0.89998,0.99449,0.98973,0.68111,0.8635,0.98006,16.3
hu_harm_deepseekv4pro_600.jsonl,100,6,50,50,150,0.91219,0.90332,1.0,0.69628,0.95433,0.99816,0.99157,0.68746,0.94572,0.98855,29.3
hu_harm_deepseekv4pro_600.jsonl,100,7,50,50,150,0.9146,0.9087,1.0,0.70455,0.95845,0.99541,0.99535,0.7123,0.94375,0.98339,18.9
