pair,gens,n_gens,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,0,150,150,300,0.64134,0.67344,0.84559,0.38235,0.57025,0.6769,0.69983,0.71488,0.59961,0.81835,0.69915,0.5872,0.6083,0.79115,0.61648,0.59341,35.4
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,1,150,150,300,0.68988,0.72958,0.75952,0.45458,0.64096,0.74567,0.76125,0.80119,0.66602,0.7087,0.81895,0.71416,0.68,0.8257,0.69338,0.6662,31.1
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,2,150,150,300,0.66234,0.73369,0.4827,0.484,0.65152,0.87457,0.83651,0.63912,0.66797,0.4719,0.87405,0.65953,0.89625,0.88285,0.64518,0.70606,32.6
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,3,150,150,300,0.68169,0.71225,0.71583,0.49265,0.85354,0.68296,0.82396,0.65014,0.55273,0.7129,0.61955,0.90291,0.69365,0.86425,0.63476,0.55771,34.6
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,4,150,150,300,0.68309,0.73614,0.50562,0.42171,0.71304,0.90095,0.91869,0.67126,0.65039,0.5375,0.7653,0.68992,0.89965,0.96755,0.6438,0.64928,30.2
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,5,150,150,300,0.67493,0.74768,0.52768,0.38927,0.84114,0.75649,0.87933,0.70753,0.62305,0.5558,0.77495,0.87831,0.7667,0.9514,0.68041,0.62619,25.8
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,6,150,150,300,0.64377,0.70192,0.43599,0.45545,0.62167,0.8936,0.89836,0.58219,0.61914,0.41855,0.77865,0.60378,0.89965,0.95175,0.65501,0.60603,22.6
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,100,7,150,150,300,0.68529,0.73368,0.7141,0.46324,0.71625,0.81315,0.77465,0.73554,0.58008,0.7801,0.7266,0.73988,0.82155,0.81015,0.66792,0.58957,22.1
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,0,300,300,600,0.66747,0.65408,0.24913,0.57699,0.65794,0.83651,0.98054,0.62902,0.74219,0.2523,0.53965,0.59225,0.8995,0.9859,0.64199,0.66697,28.7
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,1,300,300,600,0.66272,0.69529,0.13841,0.51298,0.80854,0.77984,0.96194,0.70294,0.73438,0.1065,0.69075,0.83622,0.81775,0.98345,0.73074,0.7016,29.2
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,2,300,300,600,0.68651,0.71485,0.36332,0.44983,0.81956,0.88841,0.984,0.59734,0.70312,0.36055,0.6669,0.81943,0.9044,0.9936,0.63551,0.62358,32.0
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,3,300,300,600,0.66657,0.71938,0.3724,0.4308,0.86501,0.83478,0.92517,0.60698,0.63086,0.3967,0.6805,0.86003,0.85575,0.968,0.61202,0.66267,29.0
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,4,300,300,600,0.71014,0.76896,0.63581,0.39533,0.85354,0.80839,0.88927,0.68549,0.70312,0.64745,0.70795,0.87772,0.83235,0.9493,0.66096,0.70699,33.5
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,5,300,300,600,0.68443,0.69938,0.39057,0.59256,0.71396,0.86851,0.94637,0.62672,0.65234,0.4042,0.6874,0.65475,0.87095,0.995,0.65103,0.63235,29.4
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,6,300,300,600,0.73358,0.81166,0.76341,0.44464,0.81359,0.82958,0.85467,0.69284,0.73633,0.75465,0.88,0.85269,0.85405,0.9537,0.65719,0.7293,28.8
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,200,7,300,300,600,0.65091,0.70638,0.25735,0.37889,0.76722,0.85597,0.97837,0.62718,0.69141,0.30885,0.68695,0.75513,0.86985,0.9817,0.6515,0.69067,27.7
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,300,0,450,450,900,0.65759,0.71349,0.47318,0.31964,0.70478,0.86332,0.95242,0.58081,0.70898,0.43955,0.66435,0.72059,0.8688,0.97735,0.59959,0.72422,35.7
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,300,1,450,450,900,0.73175,0.75036,0.44723,0.50649,0.88613,0.8737,0.93599,0.66804,0.80469,0.4405,0.64405,0.87023,0.8887,0.98555,0.68004,0.74346,43.3
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,300,2,450,450,900,0.68861,0.74166,0.37846,0.38538,0.90771,0.87889,0.97189,0.55969,0.73828,0.36515,0.6612,0.92975,0.8981,0.98965,0.61292,0.73484,36.7
gptoss+llama70b+nemotron,gptoss+llama70b+nemotron,3,300,3,450,450,900,0.65569,0.69393,0.26471,0.45891,0.76263,0.82093,0.95761,0.60239,0.72266,0.28415,0.67695,0.76379,0.8672,0.98705,0.56908,0.7093,36.0
