pair,gen_a,gen_b,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
gptoss+nemotron,gptoss,nemotron,100,0,100,100,200,0.55043,0.55345,0.66176,0.52076,0.5023,0.49394,0.58607,0.58815,0.5,0.7242,0.54485,0.51132,0.48935,0.5468,0.53762,0.52001,33.6
gptoss+nemotron,gptoss,nemotron,100,1,100,100,200,0.66823,0.67997,0.74611,0.59343,0.5831,0.72405,0.71194,0.67447,0.64453,0.683,0.8371,0.59985,0.6509,0.7664,0.60586,0.61665,20.3
gptoss+nemotron,gptoss,nemotron,100,2,100,100,200,0.57372,0.61815,0.7301,0.49135,0.58678,0.52984,0.61073,0.58678,0.48047,0.78365,0.6124,0.64327,0.5272,0.6275,0.59778,0.53524,20.3
gptoss+nemotron,gptoss,nemotron,100,3,100,100,200,0.52491,0.53747,0.57699,0.47924,0.49036,0.484,0.62327,0.56933,0.45117,0.60375,0.5062,0.51004,0.4893,0.61895,0.54623,0.48784,18.7
gptoss+nemotron,gptoss,nemotron,100,4,100,100,200,0.56185,0.56448,0.71497,0.57353,0.4899,0.5,0.48789,0.63545,0.53125,0.7333,0.6192,0.49304,0.49555,0.4802,0.58375,0.54632,18.6
gptoss+nemotron,gptoss,nemotron,100,5,100,100,200,0.54139,0.54957,0.79758,0.47232,0.48898,0.48616,0.54542,0.55005,0.44922,0.77305,0.4993,0.49113,0.48985,0.53715,0.56393,0.49261,18.2
gptoss+nemotron,gptoss,nemotron,100,6,100,100,200,0.5735,0.60539,0.51168,0.50692,0.60101,0.625,0.5917,0.6079,0.57031,0.535,0.6406,0.67233,0.57655,0.64665,0.60272,0.56387,20.8
gptoss+nemotron,gptoss,nemotron,100,7,100,100,200,0.57833,0.58758,0.5705,0.55969,0.5877,0.54109,0.6449,0.61708,0.52734,0.6228,0.5464,0.62764,0.55905,0.64575,0.59804,0.51339,20.3
gptoss+nemotron,gptoss,nemotron,200,0,200,200,400,0.61899,0.66045,0.55839,0.36894,0.76676,0.70502,0.71064,0.67631,0.54688,0.57015,0.65775,0.79764,0.6538,0.80295,0.59533,0.54555,23.2
gptoss+nemotron,gptoss,nemotron,200,1,200,200,400,0.62471,0.65802,0.60121,0.48227,0.8168,0.63884,0.64144,0.63774,0.55469,0.61975,0.73735,0.85487,0.5848,0.6669,0.57333,0.5691,24.3
gptoss+nemotron,gptoss,nemotron,200,2,200,200,400,0.63722,0.66477,0.52422,0.47708,0.80716,0.66782,0.71799,0.64325,0.62305,0.5697,0.6472,0.8299,0.655,0.77675,0.61978,0.55509,26.5
gptoss+nemotron,gptoss,nemotron,200,3,200,200,400,0.59653,0.66546,0.62111,0.35078,0.67998,0.67128,0.71367,0.60376,0.53516,0.619,0.60625,0.81799,0.6574,0.7602,0.58444,0.61296,24.2
gptoss+nemotron,gptoss,nemotron,200,4,200,200,400,0.55387,0.581,0.51125,0.41393,0.59917,0.56142,0.63841,0.63728,0.51562,0.5521,0.56495,0.60299,0.53055,0.64815,0.61223,0.55602,24.5
gptoss+nemotron,gptoss,nemotron,200,5,200,200,400,0.60915,0.65851,0.5904,0.41825,0.76538,0.66955,0.58997,0.68365,0.54688,0.6247,0.71395,0.78871,0.61145,0.6539,0.6345,0.58233,23.6
gptoss+nemotron,gptoss,nemotron,200,6,200,200,400,0.61191,0.65181,0.54628,0.4083,0.81359,0.62803,0.6263,0.6359,0.625,0.58685,0.7012,0.81943,0.6006,0.7254,0.56393,0.56525,23.5
gptoss+nemotron,gptoss,nemotron,200,7,200,200,400,0.5945,0.65543,0.32093,0.3724,0.75712,0.72318,0.72535,0.66483,0.59766,0.39695,0.6516,0.7563,0.7226,0.83135,0.60224,0.62696,23.3
gptoss+nemotron,gptoss,nemotron,300,0,300,300,600,0.58112,0.64355,0.516,0.32699,0.66988,0.63538,0.64403,0.66621,0.60938,0.56725,0.6736,0.70916,0.59115,0.7018,0.62233,0.63958,28.5
gptoss+nemotron,gptoss,nemotron,300,1,300,300,600,0.59297,0.65086,0.72448,0.3564,0.64876,0.63581,0.63841,0.62351,0.52344,0.72065,0.6614,0.71267,0.59235,0.7448,0.58859,0.53555,29.2
gptoss+nemotron,gptoss,nemotron,300,2,300,300,600,0.59753,0.63971,0.40874,0.40571,0.74931,0.62024,0.68901,0.66713,0.64258,0.4657,0.67155,0.81364,0.5744,0.74725,0.60293,0.60249,30.1
gptoss+nemotron,gptoss,nemotron,300,3,300,300,600,0.61958,0.68109,0.66306,0.38452,0.73095,0.61765,0.72275,0.66345,0.55469,0.7017,0.71755,0.75662,0.6122,0.8409,0.58051,0.55817,29.0
gptoss+nemotron,gptoss,nemotron,300,4,300,300,600,0.57859,0.61689,0.4628,0.31488,0.68871,0.66609,0.6981,0.58678,0.63281,0.48335,0.56535,0.73169,0.62615,0.79965,0.55404,0.55802,28.3
gptoss+nemotron,gptoss,nemotron,300,5,300,300,600,0.59232,0.63292,0.43123,0.27725,0.80716,0.72016,0.68426,0.64417,0.58203,0.46555,0.50495,0.84302,0.7371,0.76735,0.55293,0.55956,28.6
gptoss+nemotron,gptoss,nemotron,300,6,300,300,600,0.58553,0.64591,0.6224,0.38927,0.68779,0.59299,0.67907,0.61938,0.50781,0.6693,0.65925,0.72431,0.5718,0.7767,0.56983,0.55017,27.9
gptoss+nemotron,gptoss,nemotron,300,7,300,300,600,0.57743,0.61898,0.54325,0.36981,0.68549,0.63625,0.64965,0.61065,0.54688,0.6052,0.5275,0.73398,0.6091,0.71205,0.60118,0.54386,35.8
gptoss+nemotron,gptoss,nemotron,400,0,400,400,800,0.56509,0.62365,0.62111,0.36332,0.63958,0.56791,0.58478,0.64968,0.5293,0.64035,0.6551,0.69922,0.5576,0.6728,0.59751,0.54294,33.6
gptoss+nemotron,gptoss,nemotron,400,1,400,400,800,0.59905,0.65971,0.64533,0.34516,0.69789,0.54931,0.65398,0.6708,0.63086,0.6361,0.6912,0.78712,0.54995,0.7561,0.58609,0.61142,33.2
gptoss+nemotron,gptoss,nemotron,400,2,400,400,800,0.60863,0.66137,0.52379,0.36159,0.72176,0.66133,0.74308,0.63361,0.61523,0.5076,0.69005,0.80997,0.6387,0.86375,0.53162,0.58787,33.2
gptoss+nemotron,gptoss,nemotron,400,3,400,400,800,0.60034,0.67834,0.25995,0.38235,0.80073,0.8019,0.72837,0.62167,0.60742,0.32925,0.65855,0.83611,0.81655,0.88055,0.61101,0.61634,34.1
gptoss+nemotron,gptoss,nemotron,400,4,400,400,800,0.62019,0.68682,0.53849,0.3378,0.73829,0.68123,0.75779,0.69008,0.59766,0.58615,0.6122,0.82559,0.67895,0.8857,0.59204,0.62712,37.6
gptoss+nemotron,gptoss,nemotron,400,5,400,400,800,0.64285,0.69692,0.6077,0.33175,0.75712,0.75779,0.81055,0.61983,0.61523,0.6014,0.6137,0.80471,0.7919,0.90375,0.57402,0.58895,33.9
gptoss+nemotron,gptoss,nemotron,400,6,400,400,800,0.57568,0.61868,0.66306,0.41652,0.62534,0.54369,0.65138,0.59458,0.53516,0.6167,0.57605,0.71586,0.5482,0.73325,0.62546,0.51524,35.1
gptoss+nemotron,gptoss,nemotron,400,7,400,400,800,0.57647,0.63726,0.25952,0.36073,0.76354,0.67517,0.74092,0.59871,0.63672,0.29535,0.7196,0.78441,0.6436,0.84345,0.58407,0.59034,33.2
gptoss+nemotron,gptoss,nemotron,500,0,500,500,1000,0.59587,0.67097,0.40268,0.31401,0.77778,0.72059,0.77595,0.60193,0.57812,0.4607,0.6109,0.80768,0.7414,0.9058,0.58598,0.58433,38.5
gptoss+nemotron,gptoss,nemotron,500,1,500,500,1000,0.61598,0.67384,0.55623,0.31012,0.77319,0.64749,0.70458,0.66988,0.65039,0.5698,0.61,0.84897,0.6183,0.8387,0.60612,0.62496,39.7
gptoss+nemotron,gptoss,nemotron,500,2,500,500,1000,0.60009,0.6431,0.5372,0.3404,0.86685,0.58824,0.68988,0.62534,0.55273,0.53315,0.5532,0.92629,0.55435,0.78025,0.59613,0.55833,38.6
gptoss+nemotron,gptoss,nemotron,500,3,500,500,1000,0.65046,0.70839,0.5186,0.33261,0.82185,0.79758,0.74481,0.66391,0.67383,0.5207,0.57675,0.863,0.841,0.88965,0.62647,0.64112,38.1
gptoss+nemotron,gptoss,nemotron,500,4,500,500,1000,0.60865,0.68284,0.52163,0.34343,0.76171,0.6955,0.69853,0.63039,0.60938,0.59275,0.61745,0.80965,0.72255,0.866,0.57418,0.59726,37.5
gptoss+nemotron,gptoss,nemotron,500,5,500,500,1000,0.57596,0.63203,0.31401,0.28547,0.79752,0.65917,0.72232,0.59504,0.6582,0.3758,0.526,0.85663,0.66905,0.85635,0.55729,0.5831,37.7
gptoss+nemotron,gptoss,nemotron,500,6,500,500,1000,0.59905,0.65272,0.39619,0.34732,0.77319,0.65874,0.77422,0.61478,0.62891,0.40535,0.56565,0.84988,0.7044,0.8831,0.54756,0.61311,38.1
gptoss+nemotron,gptoss,nemotron,500,7,500,500,1000,0.60448,0.66572,0.54455,0.34905,0.71763,0.66825,0.74654,0.61157,0.59375,0.54285,0.5722,0.8148,0.6917,0.8806,0.57477,0.5831,37.3
gptoss+nemotron,gptoss,nemotron,600,0,600,600,1200,0.59321,0.66199,0.29931,0.30234,0.81175,0.69204,0.78806,0.59688,0.66211,0.3312,0.5657,0.9196,0.73005,0.9173,0.57248,0.59757,42.5
gptoss+llama70b,gptoss,llama70b,100,0,100,100,200,0.70173,0.73147,0.72967,0.47145,0.63682,0.84775,0.89317,0.71212,0.62109,0.6914,0.7545,0.62456,0.8344,0.92175,0.69582,0.59788,29.0
gptoss+llama70b,gptoss,llama70b,100,1,100,100,200,0.70278,0.74375,0.54628,0.59732,0.60973,0.85467,0.84948,0.7764,0.68555,0.54455,0.88115,0.59018,0.8699,0.91405,0.70916,0.69729,19.7
gptoss+llama70b,gptoss,llama70b,100,2,100,100,200,0.66912,0.71532,0.53763,0.49481,0.61662,0.86202,0.84991,0.62167,0.70117,0.47945,0.8621,0.60192,0.8568,0.909,0.61808,0.6799,17.7
gptoss+llama70b,gptoss,llama70b,100,3,100,100,200,0.72871,0.76622,0.73702,0.54931,0.78512,0.83737,0.94939,0.6607,0.58203,0.7345,0.77855,0.79079,0.8738,0.96875,0.64034,0.57679,40.6
gptoss+llama70b,gptoss,llama70b,100,4,100,100,200,0.67716,0.71486,0.4122,0.5026,0.68228,0.88452,0.93642,0.68733,0.63477,0.3937,0.7897,0.69657,0.8619,0.9681,0.68573,0.60834,41.1
