samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,0,50,50,150,0.57959,0.5778,0.5545,0.54455,0.54821,0.56401,0.65268,0.67172,0.52148,0.52645,0.6134,0.58343,0.5462,0.681,0.58768,0.50646,31.5
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,1,50,50,150,0.53019,0.52099,0.59948,0.48443,0.49954,0.49913,0.59689,0.56703,0.46484,0.5468,0.4913,0.50133,0.50485,0.57755,0.53252,0.49261,17.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,2,50,50,150,0.59249,0.63234,0.62457,0.46713,0.55739,0.59645,0.7141,0.65657,0.53125,0.6324,0.64225,0.57296,0.58345,0.811,0.63769,0.54663,22.4
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,3,50,50,150,0.62668,0.62702,0.60424,0.56661,0.62994,0.72751,0.70588,0.60376,0.54883,0.5762,0.6048,0.68318,0.67055,0.75455,0.58603,0.51385,23.6
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,4,50,50,150,0.63181,0.66075,0.72621,0.56401,0.54086,0.57396,0.7686,0.70018,0.54883,0.71125,0.8248,0.57859,0.56345,0.7979,0.59167,0.55756,19.1
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,5,50,50,150,0.60413,0.63523,0.65441,0.42474,0.5528,0.65874,0.71972,0.68136,0.53711,0.6641,0.6481,0.5745,0.63145,0.77825,0.63205,0.51816,18.9
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,6,50,50,150,0.52802,0.52136,0.61073,0.47621,0.49541,0.50433,0.54758,0.57163,0.49023,0.56175,0.5216,0.50043,0.5036,0.57465,0.51642,0.47107,18.7
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,100,7,50,50,150,0.56303,0.5564,0.76298,0.47318,0.48577,0.49784,0.57958,0.64187,0.5,0.67735,0.55805,0.49676,0.4968,0.57555,0.58226,0.508,21.5
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,0,100,100,250,0.53949,0.58408,0.49394,0.39706,0.52158,0.60467,0.72016,0.54683,0.49219,0.5372,0.5741,0.54262,0.5746,0.78255,0.55872,0.51878,21.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,1,100,100,250,0.61988,0.67217,0.54801,0.45502,0.58219,0.77249,0.76687,0.63453,0.58008,0.57575,0.72945,0.65602,0.7362,0.85245,0.60543,0.54986,24.1
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,2,100,100,250,0.60162,0.63978,0.52076,0.51773,0.66345,0.70199,0.63408,0.64601,0.52734,0.62555,0.6698,0.70278,0.6272,0.68265,0.65358,0.51693,22.2
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,3,100,100,250,0.57708,0.60542,0.46237,0.45199,0.63774,0.62976,0.72059,0.60193,0.53516,0.4618,0.5388,0.74668,0.5885,0.77955,0.60214,0.52047,21.9
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,4,100,100,250,0.60653,0.6279,0.57699,0.43988,0.55418,0.78374,0.7686,0.62626,0.49609,0.6133,0.58185,0.56217,0.7127,0.7844,0.59151,0.5494,21.6
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,5,100,100,250,0.61157,0.65299,0.57958,0.54196,0.75895,0.65571,0.57569,0.6359,0.5332,0.6338,0.71635,0.85222,0.59145,0.64485,0.56212,0.57018,25.5
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,6,100,100,250,0.61931,0.67975,0.45588,0.38322,0.82782,0.73529,0.70631,0.63682,0.58984,0.47845,0.71835,0.82336,0.73375,0.8163,0.60819,0.57987,22.1
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,200,7,100,100,250,0.58531,0.59061,0.57785,0.54455,0.59688,0.59862,0.60683,0.61387,0.55859,0.5875,0.55145,0.65724,0.5635,0.6459,0.58683,0.54186,21.7
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,300,0,150,150,350,0.56255,0.59541,0.53676,0.42301,0.65748,0.58564,0.58694,0.62259,0.52539,0.59205,0.5851,0.68323,0.56795,0.61215,0.59002,0.5374,24.9
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,300,1,150,150,350,0.63381,0.67098,0.59602,0.44334,0.7562,0.71367,0.734,0.62121,0.57227,0.5879,0.6696,0.78542,0.67905,0.793,0.62802,0.55386,25.2
