samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_gptoss_600.jsonl,100,0,50,50,150,0.68544,0.73483,0.59299,0.4801,0.71809,0.82007,0.87154,0.72544,0.58984,0.5352,0.8788,0.70991,0.82585,0.93,0.68907,0.57495,33.8
instructions_gptoss_600.jsonl,100,1,50,50,150,0.60881,0.66166,0.63062,0.45458,0.55326,0.67561,0.81618,0.64509,0.48633,0.633,0.6806,0.55755,0.6582,0.90975,0.63992,0.55263,20.2
instructions_gptoss_600.jsonl,100,2,50,50,150,0.71122,0.75871,0.55666,0.41176,0.7741,0.85078,0.95804,0.69284,0.73438,0.50655,0.8202,0.7784,0.86765,0.97425,0.72112,0.64281,23.2
instructions_gptoss_600.jsonl,100,3,50,50,150,0.69242,0.70548,0.72362,0.6064,0.65152,0.78547,0.82483,0.66529,0.58984,0.71445,0.7617,0.60469,0.7665,0.88515,0.62972,0.57618,19.4
instructions_gptoss_600.jsonl,100,4,50,50,150,0.69583,0.73367,0.61678,0.54931,0.70707,0.72491,0.90484,0.71166,0.65625,0.5593,0.91915,0.70539,0.70645,0.9511,0.69163,0.60265,21.0
instructions_gptoss_600.jsonl,100,5,50,50,150,0.68364,0.72817,0.60986,0.49654,0.67355,0.80839,0.88495,0.69697,0.61523,0.6292,0.8429,0.6548,0.75115,0.9238,0.69333,0.60203,22.1
instructions_gptoss_600.jsonl,100,6,50,50,150,0.64809,0.68692,0.56488,0.47189,0.75344,0.71929,0.78114,0.6483,0.59766,0.5797,0.7771,0.77479,0.66695,0.8374,0.62355,0.54894,19.2
instructions_gptoss_600.jsonl,100,7,50,50,150,0.64925,0.69666,0.52249,0.47448,0.72084,0.73313,0.80363,0.70615,0.58398,0.474,0.783,0.74737,0.7061,0.89575,0.69635,0.57402,19.5
instructions_gptoss_600.jsonl,200,0,100,100,250,0.59601,0.64998,0.45242,0.44853,0.56703,0.70891,0.86202,0.54132,0.5918,0.46845,0.79855,0.58194,0.67875,0.90815,0.54629,0.56771,21.5
instructions_gptoss_600.jsonl,200,1,100,100,250,0.63357,0.68654,0.57223,0.51038,0.56887,0.77984,0.83521,0.62351,0.54492,0.5939,0.78375,0.61935,0.75625,0.8713,0.626,0.55525,23.2
